state,year,quarter,pincode,txn_count,txn_amount
andaman-&-nicobar-islands,2018,4,721061,19627,15356900.57
andaman-&-nicobar-islands,2018,4,790184,14928,11680822.12
andaman-&-nicobar-islands,2018,4,761067,11533,9023860.0
andaman-&-nicobar-islands,2018,4,724938,11058,8652739.22
andaman-&-nicobar-islands,2018,4,716824,8511,6659832.64
andaman-&-nicobar-islands,2018,4,763842,7776,6084408.29
andaman-&-nicobar-islands,2018,4,728539,7192,5627420.22
andaman-&-nicobar-islands,2018,4,773366,6049,4733179.03
andaman-&-nicobar-islands,2019,1,711403,53548,43272309.83
andaman-&-nicobar-islands,2019,1,778841,24367,19691140.84
andaman-&-nicobar-islands,2019,1,778486,16396,13250162.62
andaman-&-nicobar-islands,2019,1,797050,12797,10341281.77
andaman-&-nicobar-islands,2019,1,710564,9584,7745330.55
andaman-&-nicobar-islands,2019,1,748375,8925,7212784.98
andaman-&-nicobar-islands,2019,1,780641,6506,5258152.45
andaman-&-nicobar-islands,2019,1,784135,6491,5246087.8
andaman-&-nicobar-islands,2019,1,740539,5664,4577114.51
andaman-&-nicobar-islands,2019,1,712938,4790,3871434.82
andaman-&-nicobar-islands,2019,2,761372,59885,48309865.87
andaman-&-nicobar-islands,2019,2,735341,31050,25048721.5
andaman-&-nicobar-islands,2019,2,748151,18841,15199714.12
andaman-&-nicobar-islands,2019,2,731822,15926,12847935.54
andaman-&-nicobar-islands,2019,2,719284,12167,9815298.45
andaman-&-nicobar-islands,2019,2,766520,9427,7605239.54
andaman-&-nicobar-islands,2019,2,727751,9317,7516760.94
andaman-&-nicobar-islands,2019,2,739317,7452,6012075.59
andaman-&-nicobar-islands,2019,2,716997,6923,5585008.33
andaman-&-nicobar-islands,2019,2,724160,5974,4819883.35
andaman-&-nicobar-islands,2019,3,742351,64442,51862409.36
andaman-&-nicobar-islands,2019,3,767018,31589,25422557.31
andaman-&-nicobar-islands,2019,3,727797,23433,18858673.04
andaman-&-nicobar-islands,2019,3,750395,14889,11982996.93
andaman-&-nicobar-islands,2019,3,763280,13136,10572372.7
andaman-&-nicobar-islands,2019,3,779453,10232,8234524.68
andaman-&-nicobar-islands,2019,3,775103,9164,7375687.08
andaman-&-nicobar-islands,2019,3,716426,7576,6097322.66
andaman-&-nicobar-islands,2019,3,710487,6441,5184059.23
andaman-&-nicobar-islands,2019,3,729083,6436,5180083.29
andaman-&-nicobar-islands,2019,4,794795,84490,68295027.48
andaman-&-nicobar-islands,2019,4,739974,38696,31278995.01
andaman-&-nicobar-islands,2019,4,796523,25341,20484331.05
andaman-&-nicobar-islands,2019,4,734154,21826,17642608.4
andaman-&-nicobar-islands,2019,4,721201,15279,12351013.78
andaman-&-nicobar-islands,2019,4,732440,12361,9992410.77
andaman-&-nicobar-islands,2019,4,767610,10650,8609076.37
andaman-&-nicobar-islands,2019,4,752363,9588,7750401.97
andaman-&-nicobar-islands,2019,4,782606,8257,6674979.65
andaman-&-nicobar-islands,2019,4,725273,7883,6372462.17
andaman-&-nicobar-islands,2020,1,710132,71528,57255007.63
andaman-&-nicobar-islands,2020,1,798584,35755,28620235.42
andaman-&-nicobar-islands,2020,1,774111,19348,15487588.78
andaman-&-nicobar-islands,2020,1,780008,16644,13322993.8
andaman-&-nicobar-islands,2020,1,779787,12300,9845685.93
andaman-&-nicobar-islands,2020,1,761119,10867,8699108.3
andaman-&-nicobar-islands,2020,1,795952,9402,7526164.21
andaman-&-nicobar-islands,2020,1,742945,7323,5861788.2
andaman-&-nicobar-islands,2020,1,748233,6418,5137380.7
andaman-&-nicobar-islands,2020,1,726217,6105,4887275.11
andaman-&-nicobar-islands,2020,2,796940,69544,56562361.82
andaman-&-nicobar-islands,2020,2,784551,35898,29197193.65
andaman-&-nicobar-islands,2020,2,785453,23762,19326548.18
andaman-&-nicobar-islands,2020,2,753539,18887,15361633.05
andaman-&-nicobar-islands,2020,2,724318,14484,11780769.4
andaman-&-nicobar-islands,2020,2,751911,12565,10219655.39
andaman-&-nicobar-islands,2020,2,713127,10664,8673806.81
andaman-&-nicobar-islands,2020,2,784543,8829,7181231.96
andaman-&-nicobar-islands,2020,2,781273,8233,6696359.96
andaman-&-nicobar-islands,2020,2,773178,6760,5498492.96
andaman-&-nicobar-islands,2020,3,759469,80846,66254566.69
andaman-&-nicobar-islands,2020,3,774280,39340,32239409.18
andaman-&-nicobar-islands,2020,3,772963,22746,18641074.95
andaman-&-nicobar-islands,2020,3,743793,18693,15319413.13
andaman-&-nicobar-islands,2020,3,799629,14993,12287028.47
andaman-&-nicobar-islands,2020,3,787300,11269,9235150.0
andaman-&-nicobar-islands,2020,3,797075,10583,8672958.21
andaman-&-nicobar-islands,2020,3,768191,8921,7311067.0
andaman-&-nicobar-islands,2020,3,799990,8293,6796753.53
andaman-&-nicobar-islands,2020,3,720757,7369,6039182.74
andaman-&-nicobar-islands,2020,4,752717,91329,75228801.86
andaman-&-nicobar-islands,2020,4,745687,47089,38788133.39
andaman-&-nicobar-islands,2020,4,739370,29791,24539144.82
andaman-&-nicobar-islands,2020,4,776001,23650,19481058.12
andaman-&-nicobar-islands,2020,4,788174,19431,16006224.82
andaman-&-nicobar-islands,2020,4,714439,16303,13429208.93
andaman-&-nicobar-islands,2020,4,799075,12878,10607935.35
andaman-&-nicobar-islands,2020,4,757063,11794,9714916.47
andaman-&-nicobar-islands,2020,4,781300,10519,8665188.52
andaman-&-nicobar-islands,2020,4,760213,9309,7667889.85
andaman-&-nicobar-islands,2021,1,764131,74765,61530819.45
andaman-&-nicobar-islands,2021,1,796421,34439,28343393.49
andaman-&-nicobar-islands,2021,1,739277,25374,20882966.9
andaman-&-nicobar-islands,2021,1,724705,19250,15842646.3
andaman-&-nicobar-islands,2021,1,779244,14000,11521829.56
andaman-&-nicobar-islands,2021,1,767434,12441,10239114.47
andaman-&-nicobar-islands,2021,1,735254,10865,8942088.59
andaman-&-nicobar-islands,2021,1,768535,7936,6531981.54
andaman-&-nicobar-islands,2021,1,796705,7627,6277660.46
andaman-&-nicobar-islands,2021,1,761285,7475,6152208.23
andaman-&-nicobar-islands,2021,2,786242,81447,66993896.14
andaman-&-nicobar-islands,2021,2,726124,45455,37388543.82
andaman-&-nicobar-islands,2021,2,721834,26999,22208122.04
andaman-&-nicobar-islands,2021,2,723797,18960,15595449.29
andaman-&-nicobar-islands,2021,2,730955,16926,13922630.21
andaman-&-nicobar-islands,2021,2,777244,12010,9878880.56
andaman-&-nicobar-islands,2021,2,762818,12006,9875575.14
andaman-&-nicobar-islands,2021,2,789187,9823,8080040.5
andaman-&-nicobar-islands,2021,2,747778,8076,6643514.08
andaman-&-nicobar-islands,2021,2,714758,7522,6187210.01
andaman-&-nicobar-islands,2021,3,791524,99886,81842310.28
andaman-&-nicobar-islands,2021,3,790125,43857,35934673.46
andaman-&-nicobar-islands,2021,3,789806,29292,24000978.84
andaman-&-nicobar-islands,2021,3,792771,23241,19042599.67
andaman-&-nicobar-islands,2021,3,747421,17477,14320055.19
andaman-&-nicobar-islands,2021,3,721316,12849,10528173.63
andaman-&-nicobar-islands,2021,3,770653,11388,9330910.71
andaman-&-nicobar-islands,2021,3,790411,10102,8277357.07
andaman-&-nicobar-islands,2021,3,732540,9680,7931855.86
andaman-&-nicobar-islands,2021,3,735765,8286,6789951.6
andaman-&-nicobar-islands,2021,4,715609,113535,95225620.16
andaman-&-nicobar-islands,2021,4,753354,49400,41434076.1
andaman-&-nicobar-islands,2021,4,758770,31029,26025395.64
andaman-&-nicobar-islands,2021,4,743402,23764,19932004.4
andaman-&-nicobar-islands,2021,4,772594,19360,16238567.57
andaman-&-nicobar-islands,2021,4,729555,15799,13251216.49
andaman-&-nicobar-islands,2021,4,775008,14617,12260441.13
andaman-&-nicobar-islands,2021,4,785335,12729,10676549.0
andaman-&-nicobar-islands,2021,4,731760,10854,9103915.08
andaman-&-nicobar-islands,2021,4,763330,10435,8753007.09
andaman-&-nicobar-islands,2022,1,741128,86087,72528640.69
andaman-&-nicobar-islands,2022,1,719583,41193,34705764.74
andaman-&-nicobar-islands,2022,1,729292,30677,25845489.06
andaman-&-nicobar-islands,2022,1,754863,19418,16360526.71
andaman-&-nicobar-islands,2022,1,794861,16236,13679122.41
andaman-&-nicobar-islands,2022,1,794661,13908,11717862.17
andaman-&-nicobar-islands,2022,1,786670,12360,10413688.24
andaman-&-nicobar-islands,2022,1,760562,11017,9282614.38
andaman-&-nicobar-islands,2022,1,758685,8660,7296105.39
andaman-&-nicobar-islands,2022,1,713886,8366,7048740.09
andaman-&-nicobar-islands,2022,2,793799,95684,80241954.73
andaman-&-nicobar-islands,2022,2,728712,43762,36699389.44
andaman-&-nicobar-islands,2022,2,754928,27956,23444649.94
andaman-&-nicobar-islands,2022,2,716137,22715,19049412.13
andaman-&-nicobar-islands,2022,2,770053,16959,14222244.33
andaman-&-nicobar-islands,2022,2,771914,14856,12458578.12
andaman-&-nicobar-islands,2022,2,710826,11696,9809176.26
andaman-&-nicobar-islands,2022,2,748379,10381,8705987.52
andaman-&-nicobar-islands,2022,2,731962,9321,7817024.42
andaman-&-nicobar-islands,2022,2,783498,8481,7112428.83
andaman-&-nicobar-islands,2022,3,786908,109244,91356074.39
andaman-&-nicobar-islands,2022,3,710447,51524,43087264.38
andaman-&-nicobar-islands,2022,3,754861,33193,27758139.89
andaman-&-nicobar-islands,2022,3,766219,25188,21063744.46
andaman-&-nicobar-islands,2022,3,771140,19549,16348703.7
andaman-&-nicobar-islands,2022,3,729899,15979,13362602.63
andaman-&-nicobar-islands,2022,3,791471,14244,11912314.07
andaman-&-nicobar-islands,2022,3,734263,11061,9250306.22
andaman-&-nicobar-islands,2022,3,780433,10880,9098836.82
andaman-&-nicobar-islands,2022,3,737583,8200,6857936.42
andaman-&-nicobar-islands,2022,4,717824,122169,102853972.73
andaman-&-nicobar-islands,2022,4,724635,59329,49949224.97
andaman-&-nicobar-islands,2022,4,716584,36437,30676260.26
andaman-&-nicobar-islands,2022,4,780508,28813,24258161.96
andaman-&-nicobar-islands,2022,4,714896,19687,16574927.09
andaman-&-nicobar-islands,2022,4,738912,19173,16142100.81
andaman-&-nicobar-islands,2022,4,775365,14879,12527318.28
andaman-&-nicobar-islands,2022,4,783590,12153,10232063.22
andaman-&-nicobar-islands,2022,4,722010,11969,10076737.11
andaman-&-nicobar-islands,2022,4,794245,10779,9075031.28
andaman-&-nicobar-islands,2023,1,750307,94824,80884758.78
andaman-&-nicobar-islands,2023,1,728597,46576,39729424.71
andaman-&-nicobar-islands,2023,1,719656,28183,24039958.2
andaman-&-nicobar-islands,2023,1,763245,19763,16858557.83
andaman-&-nicobar-islands,2023,1,745448,17938,15301119.96
andaman-&-nicobar-islands,2023,1,772726,12680,10816619.93
andaman-&-nicobar-islands,2023,1,717774,10870,9272591.86
andaman-&-nicobar-islands,2023,1,785376,10105,8620157.1
andaman-&-nicobar-islands,2023,1,747806,9558,8153611.71
andaman-&-nicobar-islands,2023,1,784307,7528,6421437.12
andaman-&-nicobar-islands,2023,2,771275,100859,85460104.58
andaman-&-nicobar-islands,2023,2,752557,58048,49185894.09
andaman-&-nicobar-islands,2023,2,786354,32113,27210442.85
andaman-&-nicobar-islands,2023,2,795620,23615,20009866.96
andaman-&-nicobar-islands,2023,2,781812,20774,17602253.5
andaman-&-nicobar-islands,2023,2,711245,17224,14594853.98
andaman-&-nicobar-islands,2023,2,737716,13379,11337024.87
andaman-&-nicobar-islands,2023,2,767275,12992,11009069.55
andaman-&-nicobar-islands,2023,2,729783,11369,9633414.25
andaman-&-nicobar-islands,2023,2,783019,9283,7866115.86
andaman-&-nicobar-islands,2023,3,772516,110857,94630509.16
andaman-&-nicobar-islands,2023,3,739346,55881,47701930.1
andaman-&-nicobar-islands,2023,3,787820,33116,28268650.4
andaman-&-nicobar-islands,2023,3,785194,27709,23653185.31
andaman-&-nicobar-islands,2023,3,770428,20283,17314733.9
andaman-&-nicobar-islands,2023,3,744600,17388,14843020.1
andaman-&-nicobar-islands,2023,3,758744,14717,12562923.51
andaman-&-nicobar-islands,2023,3,731153,13100,11182477.49
andaman-&-nicobar-islands,2023,3,774385,10532,8990945.91
andaman-&-nicobar-islands,2023,3,792595,9919,8467278.51
andaman-&-nicobar-islands,2023,4,770199,125557,106418637.98
andaman-&-nicobar-islands,2023,4,781474,70394,59664386.66
andaman-&-nicobar-islands,2023,4,761302,40755,34543287.73
andaman-&-nicobar-islands,2023,4,798933,31428,26637666.21
andaman-&-nicobar-islands,2023,4,739165,24381,20665095.17
andaman-&-nicobar-islands,2023,4,763339,19253,16318777.65
andaman-&-nicobar-islands,2023,4,732590,19145,16227030.07
andaman-&-nicobar-islands,2023,4,772024,15943,13513266.29
andaman-&-nicobar-islands,2023,4,710133,13059,11068866.64
andaman-&-nicobar-islands,2023,4,712559,11916,10099914.11
andhra-pradesh,2018,1,566419,2057641,1619638640.63
andhra-pradesh,2018,1,595430,1096852,863369334.06
andhra-pradesh,2018,1,581094,665674,523974940.07
andhra-pradesh,2018,1,574173,552961,435254329.05
andhra-pradesh,2018,1,537392,430158,338592105.97
andhra-pradesh,2018,1,579347,331544,260969611.71
andhra-pradesh,2018,1,532400,300401,236456142.53
andhra-pradesh,2018,1,542277,255225,200896827.92
andhra-pradesh,2018,1,552355,215432,169573973.46
andhra-pradesh,2018,1,529149,191994,151125177.33
andhra-pradesh,2018,2,589571,2677661,2096714645.55
andhra-pradesh,2018,2,517573,1215296,951624949.16
andhra-pradesh,2018,2,517317,843221,660275915.25
andhra-pradesh,2018,2,567059,571113,447204760.05
andhra-pradesh,2018,2,542699,482589,377886649.85
andhra-pradesh,2018,2,589248,345059,270194962.53
andhra-pradesh,2018,2,522765,305636,239325335.55
andhra-pradesh,2018,2,525663,297452,232916725.79
andhra-pradesh,2018,2,594714,254106,198975235.99
andhra-pradesh,2018,2,555879,222426,174168882.7
andhra-pradesh,2018,3,557873,3358132,2668326555.08
andhra-pradesh,2018,3,576777,1511350,1200898566.0
andhra-pradesh,2018,3,573126,967171,768501165.46
andhra-pradesh,2018,3,572116,673790,535384706.34
andhra-pradesh,2018,3,592515,544669,432786596.39
andhra-pradesh,2018,3,562584,441096,350489647.04
andhra-pradesh,2018,3,525678,415092,329827165.71
andhra-pradesh,2018,3,514500,396660,315181353.36
andhra-pradesh,2018,3,597816,307151,244058500.02
andhra-pradesh,2018,3,511261,297489,236380876.42
andhra-pradesh,2018,4,595500,3743324,3002306229.29
andhra-pradesh,2018,4,571504,1585362,1271528695.2
andhra-pradesh,2018,4,534950,1138162,912854539.83
andhra-pradesh,2018,4,591117,837313,671561122.14
andhra-pradesh,2018,4,542641,656170,526277123.09
andhra-pradesh,2018,4,513780,521216,418037573.58
andhra-pradesh,2018,4,595769,451653,362245703.18
andhra-pradesh,2018,4,552175,437817,351148145.64
andhra-pradesh,2018,4,580654,333634,267588914.02
andhra-pradesh,2018,4,549418,296716,237979479.2
andhra-pradesh,2019,1,518728,3187342,2495716954.92
andhra-pradesh,2019,1,516644,1538377,1204562750.16
andhra-pradesh,2019,1,516114,1002237,784760537.35
andhra-pradesh,2019,1,578294,856545,670682664.75
andhra-pradesh,2019,1,520461,692349,542115650.57
andhra-pradesh,2019,1,555605,538771,421863015.62
andhra-pradesh,2019,1,519829,481701,377176738.49
andhra-pradesh,2019,1,576404,414316,324413686.1
andhra-pradesh,2019,1,542491,324103,253775636.84
andhra-pradesh,2019,1,568183,289848,226953915.93
andhra-pradesh,2019,2,556276,3358406,2627019188.34
andhra-pradesh,2019,2,593605,1711033,1338407855.99
andhra-pradesh,2019,2,566607,1202973,940992044.79
andhra-pradesh,2019,2,571299,858166,671276752.19
andhra-pradesh,2019,2,529672,713977,558489057.78
andhra-pradesh,2019,2,569680,556359,435196848.92
andhra-pradesh,2019,2,596773,501918,392611963.16
andhra-pradesh,2019,2,541554,415941,325358609.27
andhra-pradesh,2019,2,540325,375294,293563261.1
andhra-pradesh,2019,2,532088,319320,249779707.36
andhra-pradesh,2019,3,573488,3796026,3049437728.99
andhra-pradesh,2019,3,513660,1767372,1419772088.55
andhra-pradesh,2019,3,595123,1249747,1003952128.77
andhra-pradesh,2019,3,565132,982142,788978678.17
andhra-pradesh,2019,3,566221,673094,540712898.97
andhra-pradesh,2019,3,532884,578191,464475205.91
andhra-pradesh,2019,3,530576,546320,438872038.06
andhra-pradesh,2019,3,538327,465182,373691919.96
andhra-pradesh,2019,3,562445,402272,323155103.38
andhra-pradesh,2019,3,542820,329553,264737940.13
andhra-pradesh,2019,4,575784,4734072,3842542730.44
andhra-pradesh,2019,4,593188,2117781,1718956379.27
andhra-pradesh,2019,4,586028,1449977,1176914886.12
andhra-pradesh,2019,4,585989,1124104,912410872.12
andhra-pradesh,2019,4,559762,885471,718717403.12
andhra-pradesh,2019,4,515526,685234,556189853.64
andhra-pradesh,2019,4,520459,647823,525824472.44
andhra-pradesh,2019,4,510438,513384,416702644.49
andhra-pradesh,2019,4,575382,499480,405417432.63
andhra-pradesh,2019,4,571772,414666,336575794.96
andhra-pradesh,2020,1,547607,3880558,3133465548.41
andhra-pradesh,2020,1,599502,1745464,1409424218.74
andhra-pradesh,2020,1,577116,1340672,1082563745.0
andhra-pradesh,2020,1,513835,926428,748070781.87
andhra-pradesh,2020,1,552358,749007,604807147.29
andhra-pradesh,2020,1,516947,611016,493382106.11
andhra-pradesh,2020,1,589817,480287,387821429.24
andhra-pradesh,2020,1,592834,479231,386968972.56
andhra-pradesh,2020,1,588275,421074,340008682.28
andhra-pradesh,2020,1,518177,340833,275215354.18
andhra-pradesh,2020,2,519992,4099031,3360242642.1
andhra-pradesh,2020,2,545589,2028466,1662866417.67
andhra-pradesh,2020,2,534089,1477195,1210953050.4
andhra-pradesh,2020,2,578730,1036677,849832006.04
andhra-pradesh,2020,2,554608,837679,686700427.22
andhra-pradesh,2020,2,544809,702371,575779558.0
andhra-pradesh,2020,2,544671,556044,455825596.08
andhra-pradesh,2020,2,549286,490832,402367330.79
andhra-pradesh,2020,2,537377,487716,399812930.41
andhra-pradesh,2020,2,559386,436088,357490212.97
andhra-pradesh,2020,3,543560,4740950,3862572161.92
andhra-pradesh,2020,3,590234,2206476,1797671976.18
andhra-pradesh,2020,3,545754,1618989,1319031719.35
andhra-pradesh,2020,3,574732,1134625,924407861.97
andhra-pradesh,2020,3,552433,927401,755577510.56
andhra-pradesh,2020,3,558698,723084,589114927.11
andhra-pradesh,2020,3,571405,627846,511522180.06
andhra-pradesh,2020,3,519416,558005,454621448.06
andhra-pradesh,2020,3,581205,458082,373211126.99
andhra-pradesh,2020,3,524118,449593,366294857.51
andhra-pradesh,2020,4,518004,5013752,4111053173.88
andhra-pradesh,2020,4,566666,2802081,2297581189.54
andhra-pradesh,2020,4,516758,1830207,1500688149.78
andhra-pradesh,2020,4,576553,1180580,968023345.16
andhra-pradesh,2020,4,529197,982235,805389145.37
andhra-pradesh,2020,4,586669,783324,642290674.16
andhra-pradesh,2020,4,597776,763701,626200738.8
andhra-pradesh,2020,4,511973,591107,484681786.31
andhra-pradesh,2020,4,561649,557466,457097549.03
andhra-pradesh,2020,4,519916,524183,429807169.97
andhra-pradesh,2021,1,572016,4627062,3820290866.43
andhra-pradesh,2021,1,589173,2017253,1665526658.74
andhra-pradesh,2021,1,529412,1402127,1157653322.2
andhra-pradesh,2021,1,513714,1032178,852208399.21
andhra-pradesh,2021,1,579776,844368,697144935.68
andhra-pradesh,2021,1,520013,722968,596911973.13
andhra-pradesh,2021,1,523105,624165,515336265.92
andhra-pradesh,2021,1,555267,542540,447943652.0
andhra-pradesh,2021,1,519811,487803,402750209.42
andhra-pradesh,2021,1,540642,374463,309172562.78
andhra-pradesh,2021,2,520956,4323497,3519762902.0
andhra-pradesh,2021,2,526970,2238435,1822311867.47
andhra-pradesh,2021,2,516185,1650538,1343704278.33
andhra-pradesh,2021,2,522834,1219718,992973890.05
andhra-pradesh,2021,2,550238,956314,778536367.34
andhra-pradesh,2021,2,548834,792544,645211112.21
andhra-pradesh,2021,2,527271,581979,473789615.92
andhra-pradesh,2021,2,533808,551102,448653134.9
andhra-pradesh,2021,2,544635,522901,425694533.56
andhra-pradesh,2021,2,515595,455069,370472718.06
andhra-pradesh,2021,3,516154,5525793,4574164750.32
andhra-pradesh,2021,3,525579,2341202,1938010773.94
andhra-pradesh,2021,3,548617,1632563,1351410785.59
andhra-pradesh,2021,3,528081,1248960,1033869525.39
andhra-pradesh,2021,3,535906,939696,777865764.34
andhra-pradesh,2021,3,559241,853537,706544985.33
andhra-pradesh,2021,3,543597,653540,540990477.51
andhra-pradesh,2021,3,513291,572026,473514751.87
andhra-pradesh,2021,3,591589,553253,457974812.48
andhra-pradesh,2021,3,553055,450191,372661314.21
andhra-pradesh,2021,4,516978,6436856,5451356034.5
andhra-pradesh,2021,4,543023,2949248,2497710018.57
andhra-pradesh,2021,4,539648,1990464,1685718948.01
andhra-pradesh,2021,4,549794,1289771,1092304017.15
andhra-pradesh,2021,4,579380,1024992,868063149.09
andhra-pradesh,2021,4,532813,970848,822208741.04
andhra-pradesh,2021,4,550736,798472,676224532.79
andhra-pradesh,2021,4,586208,707197,598923868.77
andhra-pradesh,2021,4,551194,627202,531176240.0
andhra-pradesh,2021,4,531191,529738,448633988.65
andhra-pradesh,2022,1,570966,5335867,4526138425.38
andhra-pradesh,2022,1,578802,2434381,2064959210.78
andhra-pradesh,2022,1,515540,1630918,1383423257.7
andhra-pradesh,2022,1,519302,1058159,897581193.69
andhra-pradesh,2022,1,597252,893424,757845479.36
andhra-pradesh,2022,1,517502,790708,670716636.61
andhra-pradesh,2022,1,533803,656227,556643157.34
andhra-pradesh,2022,1,522039,523487,444047004.85
andhra-pradesh,2022,1,544687,484630,411086674.65
andhra-pradesh,2022,1,560959,471736,400149697.65
andhra-pradesh,2022,2,590963,6026623,5052973552.23
andhra-pradesh,2022,2,564636,2493569,2090713432.96
andhra-pradesh,2022,2,528659,1657887,1390042733.98
andhra-pradesh,2022,2,568589,1295939,1086569873.72
andhra-pradesh,2022,2,568045,1088393,912554726.1
andhra-pradesh,2022,2,553817,864342,724701405.07
andhra-pradesh,2022,2,578379,676143,566906996.8
andhra-pradesh,2022,2,579597,575482,482509005.02
andhra-pradesh,2022,2,532086,527996,442694669.19
andhra-pradesh,2022,2,586640,524811,440023942.47
andhra-pradesh,2022,3,525417,6300432,5259660061.39
andhra-pradesh,2022,3,587038,2847710,2377295312.84
andhra-pradesh,2022,3,594276,1752209,1462761220.33
andhra-pradesh,2022,3,570461,1284622,1072415244.01
andhra-pradesh,2022,3,513064,1093470,912839656.12
andhra-pradesh,2022,3,536821,955621,797761947.01
andhra-pradesh,2022,3,528754,742433,619790716.34
andhra-pradesh,2022,3,552782,704962,588509452.71
andhra-pradesh,2022,3,560284,625114,521851311.26
andhra-pradesh,2022,3,561883,493068,411617855.34
andhra-pradesh,2022,4,578192,6595914,5546569602.91
andhra-pradesh,2022,4,566176,3746263,3150270205.71
andhra-pradesh,2022,4,594990,2120590,1783225375.97
andhra-pradesh,2022,4,578362,1627544,1368617876.28
andhra-pradesh,2022,4,513028,1359651,1143344529.95
andhra-pradesh,2022,4,569542,1003217,843615136.85
andhra-pradesh,2022,4,516326,927738,780144295.75
andhra-pradesh,2022,4,596469,856563,720293046.63
andhra-pradesh,2022,4,529873,658646,553862348.57
andhra-pradesh,2022,4,514499,650224,546780205.86
andhra-pradesh,2023,1,564784,5336516,4571414275.81
andhra-pradesh,2023,1,555224,2407079,2061974096.32
andhra-pradesh,2023,1,553988,1603898,1373945562.85
andhra-pradesh,2023,1,588831,1328586,1138105663.46
andhra-pradesh,2023,1,527723,1066165,913307991.09
andhra-pradesh,2023,1,570906,832442,713094178.2
andhra-pradesh,2023,1,526409,697368,597386280.52
andhra-pradesh,2023,1,522494,621934,532766891.59
andhra-pradesh,2023,1,587172,590142,505532988.2
andhra-pradesh,2023,1,539941,503241,431090934.43
andhra-pradesh,2023,2,552557,6504764,5496688742.31
andhra-pradesh,2023,2,556070,3099901,2619494038.86
andhra-pradesh,2023,2,577407,1699870,1436433371.68
andhra-pradesh,2023,2,543642,1462632,1235961184.04
andhra-pradesh,2023,2,574240,1042076,880580678.0
andhra-pradesh,2023,2,517535,815788,689361594.95
andhra-pradesh,2023,2,570903,700592,592018416.34
andhra-pradesh,2023,2,528477,626508,529414983.23
andhra-pradesh,2023,2,598738,606293,512333088.59
andhra-pradesh,2023,2,590087,476444,402607116.47
andhra-pradesh,2023,3,599212,6687555,5774446420.23
andhra-pradesh,2023,3,518554,3004561,2594323403.15
andhra-pradesh,2023,3,596164,2024564,1748133603.57
andhra-pradesh,2023,3,560749,1610966,1391007317.9
andhra-pradesh,2023,3,560278,1251928,1080992308.89
andhra-pradesh,2023,3,586481,993458,857812808.78
andhra-pradesh,2023,3,556156,788071,680469712.08
andhra-pradesh,2023,3,598864,757689,654235811.96
andhra-pradesh,2023,3,533447,612271,528672540.61
andhra-pradesh,2023,3,575350,578035,499110987.82
andhra-pradesh,2023,4,518976,7292138,6419943393.3
andhra-pradesh,2023,4,518887,3725198,3279636916.28
andhra-pradesh,2023,4,542154,2400311,2113216100.65
andhra-pradesh,2023,4,516439,1714774,1509674395.46
andhra-pradesh,2023,4,518313,1435529,1263829243.81
andhra-pradesh,2023,4,523843,1083290,953720939.08
andhra-pradesh,2023,4,510638,948814,835329138.64
andhra-pradesh,2023,4,586537,759954,669058176.36
andhra-pradesh,2023,4,517357,758548,667820711.81
andhra-pradesh,2023,4,528830,630665,555233209.23
arunachal-pradesh,2018,1,793518,77985,61040755.3
arunachal-pradesh,2018,1,796042,35926,28120325.69
arunachal-pradesh,2018,1,718923,24678,19316365.15
