state,year,quarter,registered_users,app_opens
himachal-pradesh,2021,1,377495,2835828
himachal-pradesh,2021,2,379277,2619960
himachal-pradesh,2021,3,429365,2964892
himachal-pradesh,2021,4,472392,3540452
himachal-pradesh,2022,1,461599,3893118
himachal-pradesh,2022,2,486627,4107898
himachal-pradesh,2022,3,496277,3369288
himachal-pradesh,2022,4,619715,5450204
himachal-pradesh,2023,1,476009,3706835
himachal-pradesh,2023,2,525657,3837634
himachal-pradesh,2023,3,564785,4246799
himachal-pradesh,2023,4,631329,5683921
jammu-&-kashmir,2018,1,223396,1879021
jammu-&-kashmir,2018,2,212960,1448692
jammu-&-kashmir,2018,3,264557,2136840
jammu-&-kashmir,2018,4,310889,2785754
jammu-&-kashmir,2019,1,293406,2460619
jammu-&-kashmir,2019,2,336317,3033346
jammu-&-kashmir,2019,3,399585,2920733
jammu-&-kashmir,2019,4,426000,3472749
jammu-&-kashmir,2020,1,325590,2767345
jammu-&-kashmir,2020,2,376475,2566220
jammu-&-kashmir,2020,3,385807,2908597
jammu-&-kashmir,2020,4,585335,3853183
jammu-&-kashmir,2021,1,458562,3568460
jammu-&-kashmir,2021,2,441027,3519253
jammu-&-kashmir,2021,3,498771,4445568
jammu-&-kashmir,2021,4,549596,3998445
jammu-&-kashmir,2022,1,506407,3904366
jammu-&-kashmir,2022,2,499977,4456642
jammu-&-kashmir,2022,3,530065,4877512
jammu-&-kashmir,2022,4,639818,4802799
jammu-&-kashmir,2023,1,530355,4787388
jammu-&-kashmir,2023,2,553712,4229653
jammu-&-kashmir,2023,3,643648,5230498
jammu-&-kashmir,2023,4,743644,5654247
jharkhand,2018,1,367443,3067505
jharkhand,2018,2,425294,2806896
jharkhand,2018,3,503448,3290454
jharkhand,2018,4,634165,4677286
jharkhand,2019,1,505067,3424386
jharkhand,2019,2,602462,5095021
jharkhand,2019,3,652486,4626146
jharkhand,2019,4,857252,7377145
jharkhand,2020,1,638734,5652416
jharkhand,2020,2,808683,6435186
jharkhand,2020,3,937444,6443833
jharkhand,2020,4,956112,8591479
jharkhand,2021,1,816592,6882877
jharkhand,2021,2,883061,7311531
jharkhand,2021,3,975228,7197559
jharkhand,2021,4,1093932,9832256
jharkhand,2022,1,880800,7875433
jharkhand,2022,2,976476,8292557
jharkhand,2022,3,1022424,8892735
jharkhand,2022,4,1223339,10797989
jharkhand,2023,1,1145967,10242141
jharkhand,2023,2,1032832,6961184
jharkhand,2023,3,1236117,8591447
jharkhand,2023,4,1287804,9831702
karnataka,2018,1,1807957,16843232
karnataka,2018,2,2038527,15531946
karnataka,2018,3,2141215,14045676
karnataka,2018,4,2629645,22715493
karnataka,2019,1,2179910,17341443
karnataka,2019,2,2474703,22498993
karnataka,2019,3,3296555,27685319
karnataka,2019,4,3604225,30705495
karnataka,2020,1,2816700,24455059
karnataka,2020,2,3158337,23195052
karnataka,2020,3,3376712,28522165
karnataka,2020,4,3863715,28648826
karnataka,2021,1,3292763,22958146
karnataka,2021,2,3678259,34213719
karnataka,2021,3,4301251,31573465
karnataka,2021,4,4865041,43412021
karnataka,2022,1,3881340,26005633
karnataka,2022,2,3892443,26781558
karnataka,2022,3,4349463,33679688
karnataka,2022,4,4986560,37395909
karnataka,2023,1,3946173,25729032
karnataka,2023,2,5340579,39693417
karnataka,2023,3,5380899,45306633
karnataka,2023,4,6083888,41675259
kerala,2018,1,877187,7340328
kerala,2018,2,1003557,8427368
kerala,2018,3,1189400,8985899
kerala,2018,4,1578362,11998672
kerala,2019,1,1257381,10537269
kerala,2019,2,1461556,12918907
kerala,2019,3,1588164,11933267
kerala,2019,4,2002343,13689772
kerala,2020,1,1412478,10831032
kerala,2020,2,1838402,15651129
kerala,2020,3,1942182,17943719
kerala,2020,4,2376476,19798918
kerala,2021,1,1860439,16164421
kerala,2021,2,2166836,15479677
kerala,2021,3,2082064,18439157
kerala,2021,4,2435449,22212311
kerala,2022,1,1951814,13895907
kerala,2022,2,2362069,20157860
kerala,2022,3,2250243,19083423
kerala,2022,4,2519982,22521301
kerala,2023,1,2286280,17177755
kerala,2023,2,2219116,15847059
kerala,2023,3,2854826,22400124
kerala,2023,4,2788534,21322954
ladakh,2018,1,21199,196603
ladakh,2018,2,24057,203159
ladakh,2018,3,30699,236323
ladakh,2018,4,33881,223038
ladakh,2019,1,29296,223325
ladakh,2019,2,33242,251758
ladakh,2019,3,39583,269566
ladakh,2019,4,41236,376983
ladakh,2020,1,36567,279842
ladakh,2020,2,39434,274904
ladakh,2020,3,40685,337158
ladakh,2020,4,51204,425902
ladakh,2021,1,45521,431537
ladakh,2021,2,43434,325877
ladakh,2021,3,52557,475747
ladakh,2021,4,54795,356487
ladakh,2022,1,51393,466839
ladakh,2022,2,48273,315941
ladakh,2022,3,58677,414636
ladakh,2022,4,68715,582917
ladakh,2023,1,55335,380337
ladakh,2023,2,61246,485376
ladakh,2023,3,57935,476515
ladakh,2023,4,80223,638480
lakshadweep,2018,1,9215,84405
lakshadweep,2018,2,10884,81108
lakshadweep,2018,3,15396,117145
lakshadweep,2018,4,16971,129822
lakshadweep,2019,1,13387,90622
lakshadweep,2019,2,16072,138771
lakshadweep,2019,3,19656,131891
lakshadweep,2019,4,18905,156856
lakshadweep,2020,1,19885,171017
lakshadweep,2020,2,18386,150264
lakshadweep,2020,3,20381,134892
lakshadweep,2020,4,22281,206738
lakshadweep,2021,1,20019,144931
lakshadweep,2021,2,22749,192185
lakshadweep,2021,3,25163,237961
lakshadweep,2021,4,25327,203180
lakshadweep,2022,1,23494,209395
lakshadweep,2022,2,23694,220956
lakshadweep,2022,3,30068,265216
lakshadweep,2022,4,31166,290523
lakshadweep,2023,1,26594,246926
lakshadweep,2023,2,30956,208376
lakshadweep,2023,3,34228,314774
lakshadweep,2023,4,34834,288184
madhya-pradesh,2018,1,812572,5811973
madhya-pradesh,2018,2,895173,6856638
madhya-pradesh,2018,3,1001538,7738358
madhya-pradesh,2018,4,1222401,9442346
madhya-pradesh,2019,1,1197431,10478721
madhya-pradesh,2019,2,1259156,8881548
madhya-pradesh,2019,3,1456612,11773708
madhya-pradesh,2019,4,1925357,13221250
madhya-pradesh,2020,1,1535265,11258901
madhya-pradesh,2020,2,1667079,15395110
madhya-pradesh,2020,3,1940046,14326997
madhya-pradesh,2020,4,2258853,19849211
madhya-pradesh,2021,1,1613720,13255569
madhya-pradesh,2021,2,1874535,17366079
madhya-pradesh,2021,3,2122976,16667260
madhya-pradesh,2021,4,2431026,22086587
madhya-pradesh,2022,1,1854894,16982266
madhya-pradesh,2022,2,1898602,17317581
madhya-pradesh,2022,3,2184037,19609290
madhya-pradesh,2022,4,2333299,15394314
madhya-pradesh,2023,1,2153644,19021957
madhya-pradesh,2023,2,2153917,17074226
madhya-pradesh,2023,3,2624647,19475435
madhya-pradesh,2023,4,3254693,25798613
maharashtra,2018,1,2050459,16161573
maharashtra,2018,2,2542728,17744125
maharashtra,2018,3,2776863,19191434
maharashtra,2018,4,3076154,21729378
maharashtra,2019,1,2863125,26988147
maharashtra,2019,2,3536492,25040866
maharashtra,2019,3,3943583,33521942
maharashtra,2019,4,3937525,28226608
maharashtra,2020,1,3794232,30800150
maharashtra,2020,2,3723943,25636202
maharashtra,2020,3,3856907,34936165
maharashtra,2020,4,4819272,39153275
maharashtra,2021,1,4798462,42492474
maharashtra,2021,2,4933847,44974535
maharashtra,2021,3,5109401,36506589
maharashtra,2021,4,5732786,49161685
maharashtra,2022,1,4328747,35757480
maharashtra,2022,2,5045876,35208282
maharashtra,2022,3,5406809,48248277
maharashtra,2022,4,5812857,41646885
maharashtra,2023,1,5849513,48197643
maharashtra,2023,2,5072195,40537588
maharashtra,2023,3,6111727,51827847
maharashtra,2023,4,7322374,49878549
manipur,2018,1,60169,534939
manipur,2018,2,70370,573758
manipur,2018,3,75889,565879
manipur,2018,4,104577,784985
manipur,2019,1,98606,789256
manipur,2019,2,106306,773872
manipur,2019,3,98319,850862
manipur,2019,4,118632,891942
manipur,2020,1,113839,971958
manipur,2020,2,135540,947621
manipur,2020,3,146481,1109181
manipur,2020,4,169245,1456579
manipur,2021,1,127895,1164062
manipur,2021,2,129730,1168331
manipur,2021,3,159078,1181978
manipur,2021,4,177978,1385152
manipur,2022,1,132185,1120518
manipur,2022,2,160010,1392822
manipur,2022,3,168496,1513933
manipur,2022,4,178397,1333089
manipur,2023,1,140104,1017899
manipur,2023,2,176191,1250949
manipur,2023,3,185798,1744556
manipur,2023,4,216569,1438282
meghalaya,2018,1,55672,424695
meghalaya,2018,2,65852,574467
meghalaya,2018,3,89419,810579
meghalaya,2018,4,108358,711313
meghalaya,2019,1,92770,692333
meghalaya,2019,2,104412,927836
meghalaya,2019,3,109036,1000188
meghalaya,2019,4,133375,1131415
meghalaya,2020,1,108119,789816
meghalaya,2020,2,126476,1060572
meghalaya,2020,3,134148,1006404
meghalaya,2020,4,156573,1269720
meghalaya,2021,1,126846,867159
meghalaya,2021,2,137014,1155516
meghalaya,2021,3,164278,1414107
meghalaya,2021,4,168406,1366988
meghalaya,2022,1,152518,1059048
meghalaya,2022,2,155182,1356372
meghalaya,2022,3,190331,1645318
meghalaya,2022,4,219456,1670761
meghalaya,2023,1,142096,1018689
meghalaya,2023,2,156423,1361365
meghalaya,2023,3,185305,1473600
meghalaya,2023,4,217378,1434224
mizoram,2018,1,37245,337696
mizoram,2018,2,51704,407510
mizoram,2018,3,56089,371834
mizoram,2018,4,63902,462877
mizoram,2019,1,53724,505419
mizoram,2019,2,61742,454951
mizoram,2019,3,78039,538611
mizoram,2019,4,90578,834515
mizoram,2020,1,82225,713422
mizoram,2020,2,75552,700936
mizoram,2020,3,90297,729282
mizoram,2020,4,111747,864165
mizoram,2021,1,81253,606959
mizoram,2021,2,83309,575950
mizoram,2021,3,101901,882555
mizoram,2021,4,101562,940766
mizoram,2022,1,95131,781829
mizoram,2022,2,114772,926645
mizoram,2022,3,119033,798599
mizoram,2022,4,144544,1274734
mizoram,2023,1,107461,985047
mizoram,2023,2,106744,765363
mizoram,2023,3,129285,1125841
mizoram,2023,4,130587,1182793
nagaland,2018,1,39627,325176
nagaland,2018,2,42767,314128
nagaland,2018,3,60933,485065
nagaland,2018,4,70495,580931
nagaland,2019,1,56508,466765
nagaland,2019,2,68793,559007
nagaland,2019,3,77558,528408
nagaland,2019,4,83385,748129
nagaland,2020,1,67772,560672
nagaland,2020,2,69354,484899
nagaland,2020,3,91245,865239
nagaland,2020,4,90368,674204
nagaland,2021,1,83476,728844
nagaland,2021,2,100809,840239
nagaland,2021,3,109708,759298
nagaland,2021,4,108785,1031624
nagaland,2022,1,96939,725555
nagaland,2022,2,108422,821024
nagaland,2022,3,113817,767883
nagaland,2022,4,129820,883825
nagaland,2023,1,103655,688261
nagaland,2023,2,108762,916853
nagaland,2023,3,117004,792435
nagaland,2023,4,147815,1004237
odisha,2018,1,541798,4648470
odisha,2018,2,588968,4680078
odisha,2018,3,684643,4665431
odisha,2018,4,922718,7245434
odisha,2019,1,795876,6959603
odisha,2019,2,957244,7116212
odisha,2019,3,1003451,7942190
odisha,2019,4,1075752,9839401
odisha,2020,1,967426,8879035
odisha,2020,2,1164183,9269474
odisha,2020,3,1281963,9640810
odisha,2020,4,1459200,10632158
odisha,2021,1,1280894,10788303
odisha,2021,2,1299364,8960743
odisha,2021,3,1456294,12427779
odisha,2021,4,1461121,12699429
odisha,2022,1,1239426,9280123
odisha,2022,2,1345291,12076394
odisha,2022,3,1389488,9562609
odisha,2022,4,1826767,16252804
odisha,2023,1,1346376,10827116
odisha,2023,2,1492124,12924856
odisha,2023,3,1720360,12452330
odisha,2023,4,1914059,14988931
puducherry,2018,1,65779,472571
puducherry,2018,2,75580,508594
puducherry,2018,3,92028,852566
puducherry,2018,4,105376,920332
puducherry,2019,1,85605,718153
puducherry,2019,2,113328,905765
puducherry,2019,3,106597,865028
puducherry,2019,4,126231,1180309
puducherry,2020,1,121626,1069985
puducherry,2020,2,120166,1105340
puducherry,2020,3,126180,968072
puducherry,2020,4,143627,1296998
puducherry,2021,1,123958,1097957
puducherry,2021,2,145553,1015511
puducherry,2021,3,140007,1234119
puducherry,2021,4,158644,1159237
puducherry,2022,1,158745,1440331
puducherry,2022,2,159265,1375761
puducherry,2022,3,170133,1479269
puducherry,2022,4,222173,1767270
puducherry,2023,1,155737,1135633
puducherry,2023,2,186556,1616388
puducherry,2023,3,178267,1631221
puducherry,2023,4,225948,1558606
punjab,2018,1,662641,5131468
punjab,2018,2,725940,6336458
punjab,2018,3,911321,6334998
punjab,2018,4,1087866,8664440
punjab,2019,1,854142,5909690
punjab,2019,2,1034410,7718693
punjab,2019,3,1267058,11449806
punjab,2019,4,1190936,10425016
punjab,2020,1,1051091,7511357
punjab,2020,2,1401815,9655880
punjab,2020,3,1338845,12561132
punjab,2020,4,1449577,10399694
punjab,2021,1,1439672,9390165
punjab,2021,2,1527409,10653066
punjab,2021,3,1385965,12247013
punjab,2021,4,1832947,15949624
punjab,2022,1,1574786,14293118
punjab,2022,2,1643827,13189000
punjab,2022,3,1800407,14469716
punjab,2022,4,2100228,14221480
punjab,2023,1,1530210,11896541
punjab,2023,2,1867390,13735480
punjab,2023,3,1952217,17877012
punjab,2023,4,2257191,20424592
rajasthan,2018,1,920213,7702462
rajasthan,2018,2,1115157,7578596
rajasthan,2018,3,1329259,11489036
rajasthan,2018,4,1729594,15164955
rajasthan,2019,1,1274858,10774915
rajasthan,2019,2,1556846,10523888
rajasthan,2019,3,2016126,18109845
rajasthan,2019,4,2201327,14761275
rajasthan,2020,1,1831767,12167225
rajasthan,2020,2,1839221,15700041
rajasthan,2020,3,2041121,14070913
rajasthan,2020,4,2294737,18300040
rajasthan,2021,1,1839447,15975588
rajasthan,2021,2,2257080,15470202
rajasthan,2021,3,2273381,18638105
rajasthan,2021,4,2848686,23747625
rajasthan,2022,1,2482006,22701204
rajasthan,2022,2,2373174,20255670
rajasthan,2022,3,2873349,22689520
rajasthan,2022,4,2822720,25714617
rajasthan,2023,1,2572903,23780394
rajasthan,2023,2,2608464,18370835
rajasthan,2023,3,3185857,26255104
rajasthan,2023,4,3529374,28220005
sikkim,2018,1,38105,286137
sikkim,2018,2,48725,456171
sikkim,2018,3,58302,517959
sikkim,2018,4,59294,458966
sikkim,2019,1,55713,378689
sikkim,2019,2,68067,578383
sikkim,2019,3,76705,623052
sikkim,2019,4,75848,582509
sikkim,2020,1,69453,623257
sikkim,2020,2,83481,785354
sikkim,2020,3,92793,605519
sikkim,2020,4,111700,776370
sikkim,2021,1,92630,845342
sikkim,2021,2,89372,711631
sikkim,2021,3,90432,834641
sikkim,2021,4,113604,789415
sikkim,2022,1,100871,668761
sikkim,2022,2,113743,770637
sikkim,2022,3,124283,1104839
sikkim,2022,4,132695,1205403
sikkim,2023,1,105474,943084
sikkim,2023,2,106795,838010
sikkim,2023,3,135222,996159
sikkim,2023,4,152654,1072538
tamil-nadu,2018,1,1418504,11735027
tamil-nadu,2018,2,1818284,13238200
tamil-nadu,2018,3,1943704,18007494
tamil-nadu,2018,4,2438987,19571110
tamil-nadu,2019,1,2215727,16068989
tamil-nadu,2019,2,2170595,17102358
tamil-nadu,2019,3,2930992,21887238
tamil-nadu,2019,4,3226738,27457396
tamil-nadu,2020,1,2538773,22926761
tamil-nadu,2020,2,3028654,25988957
tamil-nadu,2020,3,3406195,29418234
tamil-nadu,2020,4,3114599,27278497
tamil-nadu,2021,1,2719991,18801194
tamil-nadu,2021,2,3307596,22875718
tamil-nadu,2021,3,3323652,22174449
tamil-nadu,2021,4,3659942,32830992
tamil-nadu,2022,1,2996756,22116207
tamil-nadu,2022,2,3870466,31840451
tamil-nadu,2022,3,4298832,39991481
tamil-nadu,2022,4,4951927,40040614
tamil-nadu,2023,1,3819634,27490890
