state,year,quarter,district,txn_count,txn_amount
andhra-pradesh,2023,1,Chittoor,1052772,901835781.11
andhra-pradesh,2023,1,West Godavari,822825,704855839.57
andhra-pradesh,2023,2,Visakhapatnam,7735485,6536678853.83
andhra-pradesh,2023,2,Krishna,3569042,3015930136.26
andhra-pradesh,2023,2,Guntur,2117312,1789182031.41
andhra-pradesh,2023,2,East Godavari,1481199,1251650295.69
andhra-pradesh,2023,2,Chittoor,1196597,1011154697.02
andhra-pradesh,2023,2,West Godavari,935235,790297200.26
andhra-pradesh,2023,3,Visakhapatnam,8314109,7178913655.28
andhra-pradesh,2023,3,Krishna,3836011,3312248088.47
andhra-pradesh,2023,3,Guntur,2275690,1964970836.77
andhra-pradesh,2023,3,East Godavari,1591994,1374626106.06
andhra-pradesh,2023,3,Chittoor,1286104,1110501590.24
andhra-pradesh,2023,3,West Godavari,1005192,867944638.18
andhra-pradesh,2023,4,Visakhapatnam,9422162,8295201100.67
andhra-pradesh,2023,4,Krishna,4347251,3827287150.75
andhra-pradesh,2023,4,Guntur,2578980,2270514597.42
andhra-pradesh,2023,4,East Godavari,1804165,1588374026.42
andhra-pradesh,2023,4,Chittoor,1457508,1283179385.62
andhra-pradesh,2023,4,West Godavari,1139157,1002905963.73
arunachal-pradesh,2018,1,Arunachal Pradesh District 1,99998,78270937.26
arunachal-pradesh,2018,1,Arunachal Pradesh District 2,44598,34907883.95
arunachal-pradesh,2018,1,Arunachal Pradesh District 3,28897,22618993.2
arunachal-pradesh,2018,1,Arunachal Pradesh District 4,22468,17586860.98
arunachal-pradesh,2018,1,Arunachal Pradesh District 5,17940,14042377.41
arunachal-pradesh,2018,2,Arunachal Pradesh District 1,122754,97821434.73
arunachal-pradesh,2018,2,Arunachal Pradesh District 2,54746,43627167.52
arunachal-pradesh,2018,2,Arunachal Pradesh District 3,35473,28268760.35
arunachal-pradesh,2018,2,Arunachal Pradesh District 4,27581,21979703.24
arunachal-pradesh,2018,2,Arunachal Pradesh District 5,22023,17549879.34
arunachal-pradesh,2018,3,Arunachal Pradesh District 1,137987,107803542.25
arunachal-pradesh,2018,3,Arunachal Pradesh District 2,61540,48079065.79
arunachal-pradesh,2018,3,Arunachal Pradesh District 3,39875,31153422.65
arunachal-pradesh,2018,3,Arunachal Pradesh District 4,31004,24222603.91
arunachal-pradesh,2018,3,Arunachal Pradesh District 5,24755,19340742.29
arunachal-pradesh,2018,4,Arunachal Pradesh District 1,171101,138349703.78
arunachal-pradesh,2018,4,Arunachal Pradesh District 2,76309,61702281.5
arunachal-pradesh,2018,4,Arunachal Pradesh District 3,49445,39980753.0
arunachal-pradesh,2018,4,Arunachal Pradesh District 4,38445,31086084.98
arunachal-pradesh,2018,4,Arunachal Pradesh District 5,30696,24820946.61
arunachal-pradesh,2019,1,Arunachal Pradesh District 1,142601,113378085.5
arunachal-pradesh,2019,1,Arunachal Pradesh District 2,63598,50565244.13
arunachal-pradesh,2019,1,Arunachal Pradesh District 3,41209,32764372.51
arunachal-pradesh,2019,1,Arunachal Pradesh District 4,32041,25475159.72
arunachal-pradesh,2019,1,Arunachal Pradesh District 5,25583,20340856.03
arunachal-pradesh,2019,2,Arunachal Pradesh District 1,161292,130529662.31
arunachal-pradesh,2019,2,Arunachal Pradesh District 2,71934,58214638.32
arunachal-pradesh,2019,2,Arunachal Pradesh District 3,46610,37720891.66
arunachal-pradesh,2019,2,Arunachal Pradesh District 4,36241,29328983.47
arunachal-pradesh,2019,2,Arunachal Pradesh District 5,28936,23417974.09
arunachal-pradesh,2019,3,Arunachal Pradesh District 1,173362,139629433.7
arunachal-pradesh,2019,3,Arunachal Pradesh District 2,77317,62273025.44
arunachal-pradesh,2019,3,Arunachal Pradesh District 3,50098,40350573.56
arunachal-pradesh,2019,3,Arunachal Pradesh District 4,38953,31373630.18
arunachal-pradesh,2019,3,Arunachal Pradesh District 5,31102,25050539.49
arunachal-pradesh,2019,4,Arunachal Pradesh District 1,212300,170389488.64
arunachal-pradesh,2019,4,Arunachal Pradesh District 2,94683,75991635.01
arunachal-pradesh,2019,4,Arunachal Pradesh District 3,61351,49239715.54
arunachal-pradesh,2019,4,Arunachal Pradesh District 4,47702,38285171.41
arunachal-pradesh,2019,4,Arunachal Pradesh District 5,38088,30569117.85
arunachal-pradesh,2020,1,Arunachal Pradesh District 1,176680,145622551.02
arunachal-pradesh,2020,1,Arunachal Pradesh District 2,78797,64945882.72
arunachal-pradesh,2020,1,Arunachal Pradesh District 3,51057,42082484.34
arunachal-pradesh,2020,1,Arunachal Pradesh District 4,39698,32720236.27
arunachal-pradesh,2020,1,Arunachal Pradesh District 5,31697,26125748.48
arunachal-pradesh,2020,2,Arunachal Pradesh District 1,202076,165585672.59
arunachal-pradesh,2020,2,Arunachal Pradesh District 2,90123,73849191.6
arunachal-pradesh,2020,2,Arunachal Pradesh District 3,58396,47851492.95
arunachal-pradesh,2020,2,Arunachal Pradesh District 4,45405,37205791.91
arunachal-pradesh,2020,2,Arunachal Pradesh District 5,36254,29707278.19
arunachal-pradesh,2020,3,Arunachal Pradesh District 1,208553,172779014.79
arunachal-pradesh,2020,3,Arunachal Pradesh District 2,93012,77057334.54
arunachal-pradesh,2020,3,Arunachal Pradesh District 3,60268,49930248.67
arunachal-pradesh,2020,3,Arunachal Pradesh District 4,46860,38822079.05
arunachal-pradesh,2020,3,Arunachal Pradesh District 5,37416,30997816.29
arunachal-pradesh,2020,4,Arunachal Pradesh District 1,237241,193301308.37
arunachal-pradesh,2020,4,Arunachal Pradesh District 2,105806,86210027.32
arunachal-pradesh,2020,4,Arunachal Pradesh District 3,68558,55860848.65
arunachal-pradesh,2020,4,Arunachal Pradesh District 4,53306,43433276.22
arunachal-pradesh,2020,4,Arunachal Pradesh District 5,42562,34679665.53
arunachal-pradesh,2021,1,Arunachal Pradesh District 1,192416,158315910.8
arunachal-pradesh,2021,1,Arunachal Pradesh District 2,85815,70606966.46
arunachal-pradesh,2021,1,Arunachal Pradesh District 3,55605,45750653.25
arunachal-pradesh,2021,1,Arunachal Pradesh District 4,43234,35572333.89
arunachal-pradesh,2021,1,Arunachal Pradesh District 5,34520,28403029.87
arunachal-pradesh,2021,2,Arunachal Pradesh District 1,221174,183274743.07
arunachal-pradesh,2021,2,Arunachal Pradesh District 2,98640,81738301.42
arunachal-pradesh,2021,2,Arunachal Pradesh District 3,63915,52963338.79
arunachal-pradesh,2021,2,Arunachal Pradesh District 4,49696,41180386.24
arunachal-pradesh,2021,2,Arunachal Pradesh District 5,39680,32880826.54
arunachal-pradesh,2021,3,Arunachal Pradesh District 1,242071,197127396.26
arunachal-pradesh,2021,3,Arunachal Pradesh District 2,107960,87916415.89
arunachal-pradesh,2021,3,Arunachal Pradesh District 3,69954,56966524.13
arunachal-pradesh,2021,3,Arunachal Pradesh District 4,54391,44292967.93
arunachal-pradesh,2021,3,Arunachal Pradesh District 5,43429,35366093.63
arunachal-pradesh,2021,4,Arunachal Pradesh District 1,269909,221926943.58
arunachal-pradesh,2021,4,Arunachal Pradesh District 2,120376,98976711.7
arunachal-pradesh,2021,4,Arunachal Pradesh District 3,77999,64133178.98
arunachal-pradesh,2021,4,Arunachal Pradesh District 4,60646,49865230.2
arunachal-pradesh,2021,4,Arunachal Pradesh District 5,48423,39815313.42
arunachal-pradesh,2022,1,Arunachal Pradesh District 1,222162,185035443.27
arunachal-pradesh,2022,1,Arunachal Pradesh District 2,99081,82523552.25
arunachal-pradesh,2022,1,Arunachal Pradesh District 3,64201,53472151.74
arunachal-pradesh,2022,1,Arunachal Pradesh District 4,49918,41576001.66
arunachal-pradesh,2022,1,Arunachal Pradesh District 5,39857,33196709.01
arunachal-pradesh,2022,2,Arunachal Pradesh District 1,238142,197018431.44
arunachal-pradesh,2022,2,Arunachal Pradesh District 2,106208,87867818.91
arunachal-pradesh,2022,2,Arunachal Pradesh District 3,68819,56935035.12
arunachal-pradesh,2022,2,Arunachal Pradesh District 4,53508,44268484.39
arunachal-pradesh,2022,2,Arunachal Pradesh District 5,42724,35346544.54
arunachal-pradesh,2022,3,Arunachal Pradesh District 1,265795,224398849.86
arunachal-pradesh,2022,3,Arunachal Pradesh District 2,118541,100079151.77
arunachal-pradesh,2022,3,Arunachal Pradesh District 3,76810,64847518.6
arunachal-pradesh,2022,3,Arunachal Pradesh District 4,59722,50420648.01
arunachal-pradesh,2022,3,Arunachal Pradesh District 5,47685,40258791.44
arunachal-pradesh,2022,4,Arunachal Pradesh District 1,308956,261556413.55
arunachal-pradesh,2022,4,Arunachal Pradesh District 2,137790,116650972.25
arunachal-pradesh,2022,4,Arunachal Pradesh District 3,89283,75585433.72
arunachal-pradesh,2022,4,Arunachal Pradesh District 4,69420,58769658.89
arunachal-pradesh,2022,4,Arunachal Pradesh District 5,55428,46925129.57
arunachal-pradesh,2023,1,Arunachal Pradesh District 1,256416,217756875.7
arunachal-pradesh,2023,1,Arunachal Pradesh District 2,114358,97116912.26
arunachal-pradesh,2023,1,Arunachal Pradesh District 3,74099,62928099.04
arunachal-pradesh,2023,1,Arunachal Pradesh District 4,57614,48928248.91
arunachal-pradesh,2023,1,Arunachal Pradesh District 5,46002,39067172.8
arunachal-pradesh,2023,2,Arunachal Pradesh District 1,277746,232485635.3
arunachal-pradesh,2023,2,Arunachal Pradesh District 2,123871,103685759.51
arunachal-pradesh,2023,2,Arunachal Pradesh District 3,80264,67184464.49
arunachal-pradesh,2023,2,Arunachal Pradesh District 4,62407,52237684.78
