state,year,quarter,policy_count,premium_amount
dadra-&-nagar-haveli-&-daman-&-diu,2023,4,3071,1701533.52
delhi,2020,1,31833,22965040.55
delhi,2020,2,32643,23548904.61
delhi,2020,3,42024,30316752.5
delhi,2020,4,49518,35722962.91
delhi,2021,1,43356,31277689.9
delhi,2021,2,44690,32239484.19
delhi,2021,3,55421,39980992.77
delhi,2021,4,59341,42809122.84
delhi,2022,1,50120,36156894.76
delhi,2022,2,55758,40223925.16
delhi,2022,3,65841,47497939.33
delhi,2022,4,71555,51620106.0
delhi,2023,1,57725,41643037.11
delhi,2023,2,72991,52655730.76
delhi,2023,3,81554,58833240.17
delhi,2023,4,86020,62054857.23
goa,2020,1,3541,2400971.78
goa,2020,2,3383,2294009.87
goa,2020,3,4687,3178008.04
goa,2020,4,5417,3672839.32
goa,2021,1,4193,2843101.01
goa,2021,2,4424,2999730.05
goa,2021,3,6159,4176376.87
goa,2021,4,5955,4038124.91
goa,2022,1,4901,3323555.66
goa,2022,2,6437,4364918.99
goa,2022,3,6513,4416068.45
goa,2022,4,7717,5232152.15
goa,2023,1,7002,4747721.56
goa,2023,2,8171,5540463.02
goa,2023,3,7692,5215742.91
goa,2023,4,9445,6403832.99
gujarat,2020,1,29051,18255747.01
gujarat,2020,2,35076,22041819.19
gujarat,2020,3,36183,22737492.84
gujarat,2020,4,41102,25828929.59
gujarat,2021,1,34786,21859860.74
gujarat,2021,2,39339,24720884.33
gujarat,2021,3,43122,27098148.26
gujarat,2021,4,59824,37593959.22
gujarat,2022,1,48079,30213079.31
gujarat,2022,2,54608,34316058.36
gujarat,2022,3,52316,32875488.86
gujarat,2022,4,70651,44397477.96
gujarat,2023,1,56070,35234532.54
gujarat,2023,2,69803,43864705.43
gujarat,2023,3,76358,47983721.21
gujarat,2023,4,83895,52720057.91
haryana,2020,1,19180,11577136.37
haryana,2020,2,23184,13994253.96
haryana,2020,3,27014,16305850.64
haryana,2020,4,27765,16758968.23
haryana,2021,1,24748,14938047.32
haryana,2021,2,27833,16800452.43
haryana,2021,3,32160,19411858.5
haryana,2021,4,36981,22321803.62
haryana,2022,1,28798,17383072.99
haryana,2022,2,34213,20651159.54
haryana,2022,3,45851,27676157.19
haryana,2022,4,49762,30036668.66
haryana,2023,1,39933,24103716.87
haryana,2023,2,43262,26113411.67
haryana,2023,3,46634,28148315.47
haryana,2023,4,61133,36900275.88
himachal-pradesh,2020,1,3893,1915562.53
himachal-pradesh,2020,2,5383,2648865.04
himachal-pradesh,2020,3,5668,2788734.08
himachal-pradesh,2020,4,6177,3039415.97
himachal-pradesh,2021,1,6126,3014394.66
himachal-pradesh,2021,2,6765,3328580.72
himachal-pradesh,2021,3,7558,3718940.21
himachal-pradesh,2021,4,8298,4082644.19
himachal-pradesh,2022,1,8305,4086123.06
himachal-pradesh,2022,2,7606,3742408.65
himachal-pradesh,2022,3,9088,4471498.19
himachal-pradesh,2022,4,11622,5718080.93
himachal-pradesh,2023,1,9486,4667402.71
himachal-pradesh,2023,2,10518,5175125.16
himachal-pradesh,2023,3,11074,5448620.85
himachal-pradesh,2023,4,14127,6950915.67
jammu-&-kashmir,2020,1,4140,1831800.77
jammu-&-kashmir,2020,2,5023,2222187.76
jammu-&-kashmir,2020,3,6190,2738664.87
jammu-&-kashmir,2020,4,7985,3532877.13
jammu-&-kashmir,2021,1,6206,2745616.54
jammu-&-kashmir,2021,2,7257,3210874.44
jammu-&-kashmir,2021,3,7773,3439092.48
jammu-&-kashmir,2021,4,9344,4133991.03
jammu-&-kashmir,2022,1,8064,3567747.39
jammu-&-kashmir,2022,2,8940,3955182.79
jammu-&-kashmir,2022,3,10837,4794388.86
jammu-&-kashmir,2022,4,12252,5420392.45
jammu-&-kashmir,2023,1,10827,4790117.92
jammu-&-kashmir,2023,2,11176,4944662.91
jammu-&-kashmir,2023,3,13747,6081701.86
jammu-&-kashmir,2023,4,15699,6945629.34
jharkhand,2020,1,7634,3140649.92
jharkhand,2020,2,9766,4018081.62
jharkhand,2020,3,12310,5064480.01
jharkhand,2020,4,14344,5901330.78
jharkhand,2021,1,12596,5182364.99
jharkhand,2021,2,13248,5450296.51
jharkhand,2021,3,13263,5456779.39
jharkhand,2021,4,15744,6477217.25
jharkhand,2022,1,14700,6047648.97
jharkhand,2022,2,15625,6428389.27
jharkhand,2022,3,18758,7717360.92
jharkhand,2022,4,21844,8986670.48
jharkhand,2023,1,18565,7637782.4
jharkhand,2023,2,22885,9414953.97
jharkhand,2023,3,23367,9613299.79
jharkhand,2023,4,29543,12154036.66
karnataka,2020,1,38356,26719113.51
karnataka,2020,2,54208,37761543.14
karnataka,2020,3,60833,42376361.1
karnataka,2020,4,65744,45797941.36
karnataka,2021,1,66725,46481081.0
karnataka,2021,2,62049,43223839.58
karnataka,2021,3,76256,53119982.47
karnataka,2021,4,82706,57613370.29
karnataka,2022,1,70474,49092307.65
karnataka,2022,2,85303,59422417.69
karnataka,2022,3,82824,57695580.18
karnataka,2022,4,123147,85784530.96
karnataka,2023,1,95394,66451547.52
karnataka,2023,2,108715,75731283.54
karnataka,2023,3,109351,76174225.94
karnataka,2023,4,120433,83893684.88
kerala,2020,1,19952,12909415.52
kerala,2020,2,25748,16659357.46
kerala,2020,3,32161,20808511.35
kerala,2020,4,38287,24771749.76
kerala,2021,1,29334,18979677.16
kerala,2021,2,36724,23760922.91
kerala,2021,3,41673,26962786.32
kerala,2021,4,46803,30282061.11
kerala,2022,1,40706,26337117.45
kerala,2022,2,45607,29508038.7
kerala,2022,3,46809,30285798.33
kerala,2022,4,49847,32251121.16
kerala,2023,1,54770,35436628.71
kerala,2023,2,56983,36868497.35
kerala,2023,3,57881,37449340.27
kerala,2023,4,66613,43099081.75
ladakh,2020,1,453,180954.91
ladakh,2020,2,459,183252.57
ladakh,2020,3,630,251565.32
ladakh,2020,4,740,295578.05
ladakh,2021,1,639,255158.48
ladakh,2021,2,650,259373.07
ladakh,2021,3,778,310508.34
ladakh,2021,4,846,337651.88
ladakh,2022,1,772,308414.42
ladakh,2022,2,911,363785.43
ladakh,2022,3,1012,404161.82
ladakh,2022,4,1146,457361.27
ladakh,2023,1,923,368653.08
ladakh,2023,2,1000,399218.82
ladakh,2023,3,1279,510394.52
ladakh,2023,4,1544,616115.72
lakshadweep,2020,1,227,97738.21
lakshadweep,2020,2,268,115647.7
lakshadweep,2020,3,310,133721.77
lakshadweep,2020,4,333,143241.32
lakshadweep,2021,1,334,143965.01
lakshadweep,2021,2,362,155986.48
lakshadweep,2021,3,414,178291.29
lakshadweep,2021,4,490,210865.47
lakshadweep,2022,1,393,169012.06
lakshadweep,2022,2,462,198813.86
lakshadweep,2022,3,459,197390.5
lakshadweep,2022,4,548,235702.53
lakshadweep,2023,1,489,210544.14
lakshadweep,2023,2,593,255000.34
lakshadweep,2023,3,634,272999.51
lakshadweep,2023,4,813,349810.1
madhya-pradesh,2020,1,21287,9813355.24
madhya-pradesh,2020,2,21414,9872126.27
madhya-pradesh,2020,3,27878,12852028.11
madhya-pradesh,2020,4,32917,15174917.07
madhya-pradesh,2021,1,28349,13069064.44
madhya-pradesh,2021,2,26041,12005239.7
madhya-pradesh,2021,3,32265,14874302.27
madhya-pradesh,2021,4,36866,16995677.7
madhya-pradesh,2022,1,30391,14010660.3
madhya-pradesh,2022,2,36340,16753010.94
madhya-pradesh,2022,3,41469,19117616.52
madhya-pradesh,2022,4,45909,21164133.02
madhya-pradesh,2023,1,39852,18372033.41
madhya-pradesh,2023,2,45457,20955904.89
madhya-pradesh,2023,3,46130,21265948.08
madhya-pradesh,2023,4,59260,27319047.13
maharashtra,2020,1,56617,40141469.95
maharashtra,2020,2,56030,39725280.25
maharashtra,2020,3,63287,44870941.8
maharashtra,2020,4,86571,61379226.24
maharashtra,2021,1,74943,53135200.42
maharashtra,2021,2,85302,60479294.75
maharashtra,2021,3,89322,63329386.78
maharashtra,2021,4,111076,78753019.3
maharashtra,2022,1,90421,64108510.54
maharashtra,2022,2,115931,82195155.05
maharashtra,2022,3,119476,84708655.24
maharashtra,2022,4,115735,82056117.56
maharashtra,2023,1,122710,87001611.71
maharashtra,2023,2,115769,82080629.15
maharashtra,2023,3,153235,108644141.51
maharashtra,2023,4,173110,122735007.43
manipur,2020,1,1444,585392.8
manipur,2020,2,1733,702325.11
manipur,2020,3,2003,811931.02
manipur,2020,4,2237,906493.5
manipur,2021,1,1831,742278.22
manipur,2021,2,2240,907762.04
manipur,2021,3,2266,918358.08
manipur,2021,4,2530,1025383.03
manipur,2022,1,2405,974808.61
manipur,2022,2,2584,1047249.32
manipur,2022,3,3115,1262341.92
manipur,2022,4,3433,1391056.89
manipur,2023,1,2847,1153862.86
manipur,2023,2,3281,1329759.24
manipur,2023,3,4169,1689444.9
manipur,2023,4,3860,1564234.22
meghalaya,2020,1,1423,594600.52
meghalaya,2020,2,1481,618573.59
meghalaya,2020,3,1701,710725.03
meghalaya,2020,4,2188,914032.79
meghalaya,2021,1,1718,717473.35
meghalaya,2021,2,2194,916251.71
meghalaya,2021,3,2259,943479.75
meghalaya,2021,4,2541,1061343.12
meghalaya,2022,1,2303,962128.79
meghalaya,2022,2,2539,1060448.5
meghalaya,2022,3,3347,1397794.0
meghalaya,2022,4,3409,1423676.66
meghalaya,2023,1,2941,1228265.9
meghalaya,2023,2,2935,1225962.96
meghalaya,2023,3,3682,1537712.33
meghalaya,2023,4,4690,1958931.38
mizoram,2020,1,862,354963.4
mizoram,2020,2,960,395035.7
mizoram,2020,3,1135,466989.92
mizoram,2020,4,1465,602735.57
mizoram,2021,1,1167,480276.91
mizoram,2021,2,1325,545214.58
mizoram,2021,3,1555,640093.0
mizoram,2021,4,1759,723660.05
mizoram,2022,1,1455,598614.74
mizoram,2022,2,1805,742622.04
mizoram,2022,3,1923,791375.06
mizoram,2022,4,2197,903991.46
mizoram,2023,1,2067,850622.35
mizoram,2023,2,1953,803519.22
mizoram,2023,3,2174,894613.42
mizoram,2023,4,3001,1234732.21
nagaland,2020,1,849,338961.58
nagaland,2020,2,1060,423156.8
nagaland,2020,3,1110,443223.83
nagaland,2020,4,1319,526536.82
nagaland,2021,1,1147,457986.14
nagaland,2021,2,1551,619076.52
nagaland,2021,3,1468,585919.04
nagaland,2021,4,1567,625565.97
nagaland,2022,1,1609,642148.9
nagaland,2022,2,1689,674215.67
nagaland,2022,3,2049,817791.2
nagaland,2022,4,2221,886424.66
nagaland,2023,1,1952,779188.06
nagaland,2023,2,2153,859434.87
nagaland,2023,3,2167,864784.15
nagaland,2023,4,2803,1118630.29
odisha,2020,1,11916,5124177.13
odisha,2020,2,14377,6182521.27
odisha,2020,3,16207,6969121.6
odisha,2020,4,17559,7550413.63
odisha,2021,1,18430,7925274.72
odisha,2021,2,20418,8780119.37
odisha,2021,3,22129,9515482.01
odisha,2021,4,24044,10338994.38
odisha,2022,1,21227,9127670.28
odisha,2022,2,23251,9998211.61
odisha,2022,3,26503,11396422.96
odisha,2022,4,29205,12558213.12
odisha,2023,1,26768,11510369.63
odisha,2023,2,26767,11510017.47
odisha,2023,3,34668,14907338.7
odisha,2023,4,38886,16721083.05
puducherry,2020,1,1451,893932.62
puducherry,2020,2,1587,977919.25
puducherry,2020,3,2012,1239673.52
puducherry,2020,4,2429,1496805.29
puducherry,2021,1,2091,1288211.79
puducherry,2021,2,2211,1362459.53
puducherry,2021,3,2842,1750901.33
puducherry,2021,4,2868,1767055.63
puducherry,2022,1,2610,1608366.98
puducherry,2022,2,2842,1751033.14
puducherry,2022,3,2989,1841436.6
puducherry,2022,4,3794,2337593.3
puducherry,2023,1,3027,1865190.58
puducherry,2023,2,3822,2354489.44
puducherry,2023,3,3939,2426467.3
puducherry,2023,4,4896,3016445.05
punjab,2020,1,16487,9338379.58
punjab,2020,2,18091,10246787.46
punjab,2020,3,18821,10660514.95
punjab,2020,4,21919,12415467.57
punjab,2021,1,23002,13028476.94
punjab,2021,2,20988,11888058.55
punjab,2021,3,23431,13271761.22
punjab,2021,4,31247,17698825.59
punjab,2022,1,27917,15812662.12
punjab,2022,2,30503,17277191.0
punjab,2022,3,30100,17048926.52
punjab,2022,4,40075,22698644.49
punjab,2023,1,31100,17615296.91
punjab,2023,2,37548,21267486.16
punjab,2023,3,43161,24446891.51
punjab,2023,4,45229,25618238.08
rajasthan,2020,1,24107,11561928.31
rajasthan,2020,2,29435,14117181.08
rajasthan,2020,3,32008,15351291.48
rajasthan,2020,4,33310,15975938.29
rajasthan,2021,1,32342,15511430.36
rajasthan,2021,2,36399,17457125.97
rajasthan,2021,3,41817,20055588.11
rajasthan,2021,4,45184,21670441.58
rajasthan,2022,1,40987,19657600.06
rajasthan,2022,2,48379,23202612.83
rajasthan,2022,3,53619,25715865.72
rajasthan,2022,4,59293,28437358.55
rajasthan,2023,1,53382,25602080.72
rajasthan,2023,2,51351,24628089.64
rajasthan,2023,3,61560,29524313.09
rajasthan,2023,4,75570,36243793.42
sikkim,2020,1,901,415419.76
sikkim,2020,2,997,459902.18
sikkim,2020,3,1390,640878.28
sikkim,2020,4,1467,676662.83
sikkim,2021,1,1420,654886.51
sikkim,2021,2,1637,755071.18
sikkim,2021,3,1534,707381.18
sikkim,2021,4,1820,839303.69
sikkim,2022,1,1664,767181.95
sikkim,2022,2,1993,919000.74
sikkim,2022,3,2091,964106.85
sikkim,2022,4,2594,1196233.39
sikkim,2023,1,2076,957280.57
sikkim,2023,2,2174,1002494.06
sikkim,2023,3,2748,1266903.24
sikkim,2023,4,2658,1225699.98
tamil-nadu,2020,1,36191,24089050.61
tamil-nadu,2020,2,44096,29350892.95
tamil-nadu,2020,3,52035,34634766.18
tamil-nadu,2020,4,60451,40236215.04
tamil-nadu,2021,1,47255,31453424.26
tamil-nadu,2021,2,50440,33573434.51
tamil-nadu,2021,3,64558,42969997.42
tamil-nadu,2021,4,69138,46018632.77
tamil-nadu,2022,1,64207,42736502.78
tamil-nadu,2022,2,65474,43579578.47
tamil-nadu,2022,3,87444,58202767.92
tamil-nadu,2022,4,88370,58819107.74
tamil-nadu,2023,1,80818,53792834.3
tamil-nadu,2023,2,81356,54150556.49
tamil-nadu,2023,3,104048,69254529.34
tamil-nadu,2023,4,130781,87048263.08
telangana,2020,1,35328,23952413.47
telangana,2020,2,39516,26791997.34
telangana,2020,3,41202,27935085.45
telangana,2020,4,52828,35817442.51
telangana,2021,1,41780,28327210.31
telangana,2021,2,44789,30367179.57
telangana,2021,3,56666,38419747.16
telangana,2021,4,64944,44032288.23
telangana,2022,1,54879,37208038.68
telangana,2022,2,66509,45093597.59
telangana,2022,3,69000,46782331.88
telangana,2022,4,72586,49213956.54
telangana,2023,1,69953,47428400.11
telangana,2023,2,84665,57403094.89
telangana,2023,3,89794,60880487.64
telangana,2023,4,92914,62996004.74
tripura,2020,1,1699,730615.96
tripura,2020,2,1918,824856.55
tripura,2020,3,2313,994602.97
tripura,2020,4,2664,1145604.71
tripura,2021,1,2495,1073115.88
tripura,2021,2,2995,1288231.47
tripura,2021,3,2885,1240971.32
tripura,2021,4,3450,1483582.27
tripura,2022,1,3585,1541614.29
tripura,2022,2,3499,1504677.35
tripura,2022,3,4344,1868203.38
tripura,2022,4,4793,2061072.33
tripura,2023,1,3782,1626324.02
tripura,2023,2,4576,1967954.24
tripura,2023,3,5400,2322181.11
tripura,2023,4,5381,2314036.32
uttar-pradesh,2020,1,38117,17572293.06
uttar-pradesh,2020,2,37874,17460248.97
uttar-pradesh,2020,3,52020,23981226.03
uttar-pradesh,2020,4,53652,24734014.99
uttar-pradesh,2021,1,55691,25673771.32
uttar-pradesh,2021,2,52886,24380902.56
uttar-pradesh,2021,3,70346,32429957.32
uttar-pradesh,2021,4,83739,38603916.64
uttar-pradesh,2022,1,63047,29064813.98
uttar-pradesh,2022,2,74776,34472146.22
uttar-pradesh,2022,3,77263,35618331.15
uttar-pradesh,2022,4,88249,40683091.82
uttar-pradesh,2023,1,81027,37353735.92
uttar-pradesh,2023,2,100161,46174477.9
uttar-pradesh,2023,3,107606,49606729.42
uttar-pradesh,2023,4,109977,50699483.94
uttarakhand,2020,1,6390,3263142.3
uttarakhand,2020,2,7997,4083604.73
uttarakhand,2020,3,8025,4097716.43
uttarakhand,2020,4,11105,5670262.01
uttarakhand,2021,1,8754,4470130.89
uttarakhand,2021,2,9643,4924162.65
uttarakhand,2021,3,12395,6329281.45
uttarakhand,2021,4,14661,7486366.64
uttarakhand,2022,1,12252,6256135.84
uttarakhand,2022,2,13487,6886708.68
uttarakhand,2022,3,13670,6980264.77
uttarakhand,2022,4,16947,8653391.21
uttarakhand,2023,1,13689,6989847.3
uttarakhand,2023,2,15363,7844655.13
uttarakhand,2023,3,18590,9492507.99
uttarakhand,2023,4,22483,11479966.6
west-bengal,2020,1,21652,10921452.89
west-bengal,2020,2,28631,14441773.43
west-bengal,2020,3,28254,14251648.57
west-bengal,2020,4,33750,17023702.73
west-bengal,2021,1,27739,13991944.45
west-bengal,2021,2,38560,19450166.75
west-bengal,2021,3,36338,18329077.22
west-bengal,2021,4,40230,20292438.25
west-bengal,2022,1,34501,17402618.7
west-bengal,2022,2,43993,22190118.25
west-bengal,2022,3,49962,25201107.68
west-bengal,2022,4,50429,25436854.04
west-bengal,2023,1,53170,26819354.45
west-bengal,2023,2,54205,27341446.51
west-bengal,2023,3,60136,30332672.27
west-bengal,2023,4,64338,32452462.15
