state,year,quarter,pincode,registered_users
andaman-&-nicobar-islands,2019,1,748375,1882
andaman-&-nicobar-islands,2019,1,780641,1372
andaman-&-nicobar-islands,2019,1,784135,1368
andaman-&-nicobar-islands,2019,1,740539,1194
andaman-&-nicobar-islands,2019,1,712938,1010
andaman-&-nicobar-islands,2019,2,761372,10600
andaman-&-nicobar-islands,2019,2,735341,5496
andaman-&-nicobar-islands,2019,2,748151,3335
andaman-&-nicobar-islands,2019,2,731822,2819
andaman-&-nicobar-islands,2019,2,719284,2153
andaman-&-nicobar-islands,2019,2,766520,1668
andaman-&-nicobar-islands,2019,2,727751,1649
andaman-&-nicobar-islands,2019,2,739317,1319
andaman-&-nicobar-islands,2019,2,716997,1225
andaman-&-nicobar-islands,2019,2,724160,1057
andaman-&-nicobar-islands,2019,3,742351,13102
andaman-&-nicobar-islands,2019,3,767018,6422
andaman-&-nicobar-islands,2019,3,727797,4764
andaman-&-nicobar-islands,2019,3,750395,3027
andaman-&-nicobar-islands,2019,3,763280,2671
andaman-&-nicobar-islands,2019,3,779453,2080
andaman-&-nicobar-islands,2019,3,775103,1863
andaman-&-nicobar-islands,2019,3,716426,1540
andaman-&-nicobar-islands,2019,3,710487,1309
andaman-&-nicobar-islands,2019,3,729083,1308
andaman-&-nicobar-islands,2019,4,794795,15034
andaman-&-nicobar-islands,2019,4,739974,6885
andaman-&-nicobar-islands,2019,4,796523,4509
andaman-&-nicobar-islands,2019,4,734154,3883
andaman-&-nicobar-islands,2019,4,721201,2718
andaman-&-nicobar-islands,2019,4,732440,2199
andaman-&-nicobar-islands,2019,4,767610,1895
andaman-&-nicobar-islands,2019,4,752363,1706
andaman-&-nicobar-islands,2019,4,782606,1469
andaman-&-nicobar-islands,2019,4,725273,1402
andaman-&-nicobar-islands,2020,1,710132,13590
andaman-&-nicobar-islands,2020,1,798584,6793
andaman-&-nicobar-islands,2020,1,774111,3676
andaman-&-nicobar-islands,2020,1,780008,3162
andaman-&-nicobar-islands,2020,1,779787,2337
andaman-&-nicobar-islands,2020,1,761119,2064
andaman-&-nicobar-islands,2020,1,795952,1786
andaman-&-nicobar-islands,2020,1,742945,1391
andaman-&-nicobar-islands,2020,1,748233,1219
andaman-&-nicobar-islands,2020,1,726217,1160
andaman-&-nicobar-islands,2020,2,796940,12693
andaman-&-nicobar-islands,2020,2,784551,6552
andaman-&-nicobar-islands,2020,2,785453,4337
andaman-&-nicobar-islands,2020,2,753539,3447
andaman-&-nicobar-islands,2020,2,724318,2643
andaman-&-nicobar-islands,2020,2,751911,2293
andaman-&-nicobar-islands,2020,2,713127,1946
andaman-&-nicobar-islands,2020,2,784543,1611
andaman-&-nicobar-islands,2020,2,781273,1502
andaman-&-nicobar-islands,2020,2,773178,1233
andaman-&-nicobar-islands,2020,3,759469,16659
andaman-&-nicobar-islands,2020,3,774280,8106
andaman-&-nicobar-islands,2020,3,772963,4687
andaman-&-nicobar-islands,2020,3,743793,3852
andaman-&-nicobar-islands,2020,3,799629,3089
andaman-&-nicobar-islands,2020,3,787300,2322
andaman-&-nicobar-islands,2020,3,797075,2180
andaman-&-nicobar-islands,2020,3,768191,1838
andaman-&-nicobar-islands,2020,3,799990,1709
andaman-&-nicobar-islands,2020,3,720757,1518
andaman-&-nicobar-islands,2020,4,752717,17864
andaman-&-nicobar-islands,2020,4,745687,9211
andaman-&-nicobar-islands,2020,4,739370,5827
andaman-&-nicobar-islands,2020,4,776001,4626
andaman-&-nicobar-islands,2020,4,788174,3801
andaman-&-nicobar-islands,2020,4,714439,3189
andaman-&-nicobar-islands,2020,4,799075,2519
andaman-&-nicobar-islands,2020,4,757063,2307
andaman-&-nicobar-islands,2020,4,781300,2057
andaman-&-nicobar-islands,2020,4,760213,1820
andaman-&-nicobar-islands,2021,1,764131,15231
andaman-&-nicobar-islands,2021,1,796421,7016
andaman-&-nicobar-islands,2021,1,739277,5169
andaman-&-nicobar-islands,2021,1,724705,3921
andaman-&-nicobar-islands,2021,1,779244,2852
andaman-&-nicobar-islands,2021,1,767434,2534
andaman-&-nicobar-islands,2021,1,735254,2213
andaman-&-nicobar-islands,2021,1,768535,1616
andaman-&-nicobar-islands,2021,1,796705,1554
andaman-&-nicobar-islands,2021,1,761285,1522
andaman-&-nicobar-islands,2021,2,786242,14504
andaman-&-nicobar-islands,2021,2,726124,8094
andaman-&-nicobar-islands,2021,2,721834,4808
andaman-&-nicobar-islands,2021,2,723797,3376
andaman-&-nicobar-islands,2021,2,730955,3014
andaman-&-nicobar-islands,2021,2,777244,2138
andaman-&-nicobar-islands,2021,2,762818,2138
andaman-&-nicobar-islands,2021,2,789187,1749
andaman-&-nicobar-islands,2021,2,747778,1438
andaman-&-nicobar-islands,2021,2,714758,1339
andaman-&-nicobar-islands,2021,3,791524,20802
andaman-&-nicobar-islands,2021,3,790125,9133
andaman-&-nicobar-islands,2021,3,789806,6100
andaman-&-nicobar-islands,2021,3,792771,4840
andaman-&-nicobar-islands,2021,3,747421,3639
andaman-&-nicobar-islands,2021,3,721316,2676
andaman-&-nicobar-islands,2021,3,770653,2371
andaman-&-nicobar-islands,2021,3,790411,2103
andaman-&-nicobar-islands,2021,3,732540,2016
andaman-&-nicobar-islands,2021,3,735765,1725
andaman-&-nicobar-islands,2021,4,715609,22608
andaman-&-nicobar-islands,2021,4,753354,9837
andaman-&-nicobar-islands,2021,4,758770,6178
andaman-&-nicobar-islands,2021,4,743402,4732
andaman-&-nicobar-islands,2021,4,772594,3855
andaman-&-nicobar-islands,2021,4,729555,3146
andaman-&-nicobar-islands,2021,4,775008,2910
andaman-&-nicobar-islands,2021,4,785335,2534
andaman-&-nicobar-islands,2021,4,731760,2161
andaman-&-nicobar-islands,2021,4,763330,2078
andaman-&-nicobar-islands,2022,1,741128,17644
andaman-&-nicobar-islands,2022,1,719583,8442
andaman-&-nicobar-islands,2022,1,729292,6287
andaman-&-nicobar-islands,2022,1,754863,3980
andaman-&-nicobar-islands,2022,1,794861,3327
andaman-&-nicobar-islands,2022,1,794661,2850
andaman-&-nicobar-islands,2022,1,786670,2533
andaman-&-nicobar-islands,2022,1,760562,2258
andaman-&-nicobar-islands,2022,1,758685,1774
andaman-&-nicobar-islands,2022,1,713886,1714
andaman-&-nicobar-islands,2022,2,793799,20868
andaman-&-nicobar-islands,2022,2,728712,9544
andaman-&-nicobar-islands,2022,2,754928,6097
andaman-&-nicobar-islands,2022,2,716137,4954
andaman-&-nicobar-islands,2022,2,770053,3698
andaman-&-nicobar-islands,2022,2,771914,3240
andaman-&-nicobar-islands,2022,2,710826,2551
andaman-&-nicobar-islands,2022,2,748379,2264
andaman-&-nicobar-islands,2022,2,731962,2032
andaman-&-nicobar-islands,2022,2,783498,1849
andaman-&-nicobar-islands,2022,3,786908,22658
andaman-&-nicobar-islands,2022,3,710447,10686
andaman-&-nicobar-islands,2022,3,754861,6884
andaman-&-nicobar-islands,2022,3,766219,5224
andaman-&-nicobar-islands,2022,3,771140,4054
andaman-&-nicobar-islands,2022,3,729899,3314
andaman-&-nicobar-islands,2022,3,791471,2954
andaman-&-nicobar-islands,2022,3,734263,2294
andaman-&-nicobar-islands,2022,3,780433,2256
andaman-&-nicobar-islands,2022,3,737583,1700
andaman-&-nicobar-islands,2022,4,717824,26016
andaman-&-nicobar-islands,2022,4,724635,12634
andaman-&-nicobar-islands,2022,4,716584,7759
andaman-&-nicobar-islands,2022,4,780508,6135
andaman-&-nicobar-islands,2022,4,714896,4192
andaman-&-nicobar-islands,2022,4,738912,4083
andaman-&-nicobar-islands,2022,4,775365,3168
andaman-&-nicobar-islands,2022,4,783590,2588
andaman-&-nicobar-islands,2022,4,722010,2548
andaman-&-nicobar-islands,2022,4,794245,2295
andaman-&-nicobar-islands,2023,1,750307,19197
andaman-&-nicobar-islands,2023,1,728597,9429
andaman-&-nicobar-islands,2023,1,719656,5705
andaman-&-nicobar-islands,2023,1,763245,4001
andaman-&-nicobar-islands,2023,1,745448,3631
andaman-&-nicobar-islands,2023,1,772726,2567
andaman-&-nicobar-islands,2023,1,717774,2200
andaman-&-nicobar-islands,2023,1,785376,2045
andaman-&-nicobar-islands,2023,1,747806,1935
andaman-&-nicobar-islands,2023,1,784307,1524
andaman-&-nicobar-islands,2023,2,771275,21306
andaman-&-nicobar-islands,2023,2,752557,12262
andaman-&-nicobar-islands,2023,2,786354,6784
andaman-&-nicobar-islands,2023,2,795620,4988
andaman-&-nicobar-islands,2023,2,781812,4388
andaman-&-nicobar-islands,2023,2,711245,3638
andaman-&-nicobar-islands,2023,2,737716,2826
andaman-&-nicobar-islands,2023,2,767275,2744
andaman-&-nicobar-islands,2023,2,729783,2401
andaman-&-nicobar-islands,2023,2,783019,1961
andaman-&-nicobar-islands,2023,3,772516,24502
andaman-&-nicobar-islands,2023,3,739346,12351
andaman-&-nicobar-islands,2023,3,787820,7319
andaman-&-nicobar-islands,2023,3,785194,6124
andaman-&-nicobar-islands,2023,3,770428,4483
andaman-&-nicobar-islands,2023,3,744600,3843
andaman-&-nicobar-islands,2023,3,758744,3252
andaman-&-nicobar-islands,2023,3,731153,2895
andaman-&-nicobar-islands,2023,3,774385,2327
andaman-&-nicobar-islands,2023,3,792595,2192
andaman-&-nicobar-islands,2023,4,770199,27732
andaman-&-nicobar-islands,2023,4,781474,15548
andaman-&-nicobar-islands,2023,4,761302,9001
andaman-&-nicobar-islands,2023,4,798933,6941
andaman-&-nicobar-islands,2023,4,739165,5385
andaman-&-nicobar-islands,2023,4,763339,4252
andaman-&-nicobar-islands,2023,4,732590,4228
andaman-&-nicobar-islands,2023,4,772024,3521
andaman-&-nicobar-islands,2023,4,710133,2884
andaman-&-nicobar-islands,2023,4,712559,2632
andhra-pradesh,2018,1,566419,396865
andhra-pradesh,2018,1,595430,211554
andhra-pradesh,2018,1,581094,128391
andhra-pradesh,2018,1,574173,106651
andhra-pradesh,2018,1,537392,82966
andhra-pradesh,2018,1,579347,63946
andhra-pradesh,2018,1,532400,57939
andhra-pradesh,2018,1,542277,49226
andhra-pradesh,2018,1,552355,41551
andhra-pradesh,2018,1,529149,37030
andhra-pradesh,2018,2,589571,508816
andhra-pradesh,2018,2,517573,230933
andhra-pradesh,2018,2,517317,160231
andhra-pradesh,2018,2,567059,108524
andhra-pradesh,2018,2,542699,91702
andhra-pradesh,2018,2,589248,65569
andhra-pradesh,2018,2,522765,58077
andhra-pradesh,2018,2,525663,56522
andhra-pradesh,2018,2,594714,48285
andhra-pradesh,2018,2,555879,42266
andhra-pradesh,2018,3,557873,660573
andhra-pradesh,2018,3,576777,297295
andhra-pradesh,2018,3,573126,190250
andhra-pradesh,2018,3,572116,132540
andhra-pradesh,2018,3,592515,107141
andhra-pradesh,2018,3,562584,86767
andhra-pradesh,2018,3,525678,81652
andhra-pradesh,2018,3,514500,78026
andhra-pradesh,2018,3,597816,60419
andhra-pradesh,2018,3,511261,58518
andhra-pradesh,2018,4,595500,659993
andhra-pradesh,2018,4,571504,279518
andhra-pradesh,2018,4,534950,200671
andhra-pradesh,2018,4,591117,147628
andhra-pradesh,2018,4,542641,115690
andhra-pradesh,2018,4,513780,91896
andhra-pradesh,2018,4,595769,79632
andhra-pradesh,2018,4,552175,77192
andhra-pradesh,2018,4,580654,58823
andhra-pradesh,2018,4,549418,52314
andhra-pradesh,2019,1,518728,576608
andhra-pradesh,2019,1,516644,278301
andhra-pradesh,2019,1,516114,181310
andhra-pradesh,2019,1,578294,154953
andhra-pradesh,2019,1,520461,125249
andhra-pradesh,2019,1,555605,97466
andhra-pradesh,2019,1,519829,87142
andhra-pradesh,2019,1,576404,74952
andhra-pradesh,2019,1,542491,58632
andhra-pradesh,2019,1,568183,52435
andhra-pradesh,2019,2,556276,679118
andhra-pradesh,2019,2,593605,345995
andhra-pradesh,2019,2,566607,243258
andhra-pradesh,2019,2,571299,173533
andhra-pradesh,2019,2,529672,144376
andhra-pradesh,2019,2,569680,112503
andhra-pradesh,2019,2,596773,101495
andhra-pradesh,2019,2,541554,84109
andhra-pradesh,2019,2,540325,75889
andhra-pradesh,2019,2,532088,64571
andhra-pradesh,2019,3,573488,769854
andhra-pradesh,2019,3,513660,358432
andhra-pradesh,2019,3,595123,253455
andhra-pradesh,2019,3,565132,199183
andhra-pradesh,2019,3,566221,136507
andhra-pradesh,2019,3,532884,117260
andhra-pradesh,2019,3,530576,110796
andhra-pradesh,2019,3,538327,94341
andhra-pradesh,2019,3,562445,81583
andhra-pradesh,2019,3,542820,66835
andhra-pradesh,2019,4,575784,918357
andhra-pradesh,2019,4,593188,410826
andhra-pradesh,2019,4,586028,281279
andhra-pradesh,2019,4,585989,218063
andhra-pradesh,2019,4,559762,171771
andhra-pradesh,2019,4,515526,132927
andhra-pradesh,2019,4,520459,125670
andhra-pradesh,2019,4,510438,99590
andhra-pradesh,2019,4,575382,96893
andhra-pradesh,2019,4,571772,80440
andhra-pradesh,2020,1,547607,817347
andhra-pradesh,2020,1,599502,367640
andhra-pradesh,2020,1,577116,282381
andhra-pradesh,2020,1,513835,195130
andhra-pradesh,2020,1,552358,157760
andhra-pradesh,2020,1,516947,128696
andhra-pradesh,2020,1,589817,101161
andhra-pradesh,2020,1,592834,100938
andhra-pradesh,2020,1,588275,88689
andhra-pradesh,2020,1,518177,71788
andhra-pradesh,2020,2,519992,877075
andhra-pradesh,2020,2,545589,434033
andhra-pradesh,2020,2,534089,316077
andhra-pradesh,2020,2,578730,221819
andhra-pradesh,2020,2,554608,179239
andhra-pradesh,2020,2,544809,150287
andhra-pradesh,2020,2,544671,118977
andhra-pradesh,2020,2,549286,105024
andhra-pradesh,2020,2,537377,104357
andhra-pradesh,2020,2,559386,93310
andhra-pradesh,2020,3,543560,885921
andhra-pradesh,2020,3,590234,412314
andhra-pradesh,2020,3,545754,302533
andhra-pradesh,2020,3,574732,212022
andhra-pradesh,2020,3,552433,173299
andhra-pradesh,2020,3,558698,135119
andhra-pradesh,2020,3,571405,117322
andhra-pradesh,2020,3,519416,104272
andhra-pradesh,2020,3,581205,85599
andhra-pradesh,2020,3,524118,84013
andhra-pradesh,2020,4,518004,1074558
andhra-pradesh,2020,4,566666,600547
andhra-pradesh,2020,4,516758,392253
andhra-pradesh,2020,4,576553,253024
andhra-pradesh,2020,4,529197,210514
andhra-pradesh,2020,4,586669,167883
andhra-pradesh,2020,4,597776,163678
andhra-pradesh,2020,4,511973,126687
andhra-pradesh,2020,4,561649,119477
andhra-pradesh,2020,4,519916,112344
andhra-pradesh,2021,1,572016,948842
andhra-pradesh,2021,1,589173,413665
andhra-pradesh,2021,1,529412,287525
andhra-pradesh,2021,1,513714,211662
andhra-pradesh,2021,1,579776,173149
andhra-pradesh,2021,1,520013,148254
andhra-pradesh,2021,1,523105,127993
andhra-pradesh,2021,1,555267,111255
andhra-pradesh,2021,1,519811,100030
andhra-pradesh,2021,1,540642,76788
andhra-pradesh,2021,2,520956,765121
andhra-pradesh,2021,2,526970,396131
andhra-pradesh,2021,2,516185,292092
andhra-pradesh,2021,2,522834,215851
andhra-pradesh,2021,2,550238,169237
andhra-pradesh,2021,2,548834,140255
andhra-pradesh,2021,2,527271,102991
andhra-pradesh,2021,2,533808,97527
andhra-pradesh,2021,2,544635,92536
andhra-pradesh,2021,2,515595,80532
andhra-pradesh,2021,3,516154,1171914
andhra-pradesh,2021,3,525579,496523
andhra-pradesh,2021,3,548617,346235
andhra-pradesh,2021,3,528081,264880
andhra-pradesh,2021,3,535906,199291
andhra-pradesh,2021,3,559241,181018
andhra-pradesh,2021,3,543597,138603
andhra-pradesh,2021,3,513291,121315
andhra-pradesh,2021,3,591589,117334
andhra-pradesh,2021,3,553055,95476
andhra-pradesh,2021,4,516978,1198554
andhra-pradesh,2021,4,543023,549155
andhra-pradesh,2021,4,539648,370628
andhra-pradesh,2021,4,549794,240157
andhra-pradesh,2021,4,579380,190855
andhra-pradesh,2021,4,532813,180773
andhra-pradesh,2021,4,550736,148677
andhra-pradesh,2021,4,586208,131681
andhra-pradesh,2021,4,551194,116786
andhra-pradesh,2021,4,531191,98638
andhra-pradesh,2022,1,570966,1017739
andhra-pradesh,2022,1,578802,464323
andhra-pradesh,2022,1,515540,311074
andhra-pradesh,2022,1,519302,201828
andhra-pradesh,2022,1,597252,170407
andhra-pradesh,2022,1,517502,150816
andhra-pradesh,2022,1,533803,125165
andhra-pradesh,2022,1,522039,99847
andhra-pradesh,2022,1,544687,92436
andhra-pradesh,2022,1,560959,89976
andhra-pradesh,2022,2,590963,1303636
andhra-pradesh,2022,2,564636,539391
andhra-pradesh,2022,2,528659,358622
andhra-pradesh,2022,2,568589,280328
andhra-pradesh,2022,2,568045,235433
andhra-pradesh,2022,2,553817,186968
andhra-pradesh,2022,2,578379,146258
andhra-pradesh,2022,2,579597,124484
andhra-pradesh,2022,2,532086,114212
andhra-pradesh,2022,2,586640,113523
andhra-pradesh,2022,3,525417,1215735
andhra-pradesh,2022,3,587038,549495
andhra-pradesh,2022,3,594276,338107
andhra-pradesh,2022,3,570461,247881
andhra-pradesh,2022,3,513064,210996
andhra-pradesh,2022,3,536821,184397
andhra-pradesh,2022,3,528754,143260
andhra-pradesh,2022,3,552782,136030
andhra-pradesh,2022,3,560284,120622
andhra-pradesh,2022,3,561883,95142
andhra-pradesh,2022,4,578192,1280541
andhra-pradesh,2022,4,566176,727305
andhra-pradesh,2022,4,594990,411694
andhra-pradesh,2022,4,578362,315974
andhra-pradesh,2022,4,513028,263964
andhra-pradesh,2022,4,569542,194766
andhra-pradesh,2022,4,516326,180112
andhra-pradesh,2022,4,596469,166294
andhra-pradesh,2022,4,529873,127870
andhra-pradesh,2022,4,514499,126235
andhra-pradesh,2023,1,564784,1092197
andhra-pradesh,2023,1,555224,492644
andhra-pradesh,2023,1,553988,328261
andhra-pradesh,2023,1,588831,271915
andhra-pradesh,2023,1,527723,218206
andhra-pradesh,2023,1,570906,170371
andhra-pradesh,2023,1,526409,142726
andhra-pradesh,2023,1,522494,127288
andhra-pradesh,2023,1,587172,120781
andhra-pradesh,2023,1,539941,102995
andhra-pradesh,2023,2,552557,1365779
andhra-pradesh,2023,2,556070,650874
andhra-pradesh,2023,2,577407,356915
andhra-pradesh,2023,2,543642,307103
andhra-pradesh,2023,2,574240,218800
andhra-pradesh,2023,2,517535,171287
andhra-pradesh,2023,2,570903,147100
andhra-pradesh,2023,2,528477,131545
andhra-pradesh,2023,2,598738,127301
andhra-pradesh,2023,2,590087,100037
andhra-pradesh,2023,3,599212,1282206
andhra-pradesh,2023,3,518554,576065
andhra-pradesh,2023,3,596164,388170
andhra-pradesh,2023,3,560749,308870
andhra-pradesh,2023,3,560278,240032
andhra-pradesh,2023,3,586481,190475
andhra-pradesh,2023,3,556156,151097
andhra-pradesh,2023,3,598864,145272
andhra-pradesh,2023,3,533447,117390
andhra-pradesh,2023,3,575350,110826
andhra-pradesh,2023,4,518976,1650296
andhra-pradesh,2023,4,518887,843056
andhra-pradesh,2023,4,542154,543218
andhra-pradesh,2023,4,516439,388073
andhra-pradesh,2023,4,518313,324877
andhra-pradesh,2023,4,523843,245161
andhra-pradesh,2023,4,510638,214727
andhra-pradesh,2023,4,586537,171986
andhra-pradesh,2023,4,517357,171668
andhra-pradesh,2023,4,528830,142727
arunachal-pradesh,2018,1,793518,15780
arunachal-pradesh,2018,1,796042,7269
arunachal-pradesh,2018,1,718923,4993
arunachal-pradesh,2018,1,765429,3969
arunachal-pradesh,2018,1,716068,2663
arunachal-pradesh,2018,1,751021,2240
arunachal-pradesh,2018,1,726220,2067
arunachal-pradesh,2018,1,796754,1601
arunachal-pradesh,2018,1,760481,1428
arunachal-pradesh,2018,1,790741,1268
arunachal-pradesh,2018,2,777436,19230
arunachal-pradesh,2018,2,730643,9487
arunachal-pradesh,2018,2,779310,6382
arunachal-pradesh,2018,2,755854,4469
arunachal-pradesh,2018,2,780048,3762
arunachal-pradesh,2018,2,754928,2930
arunachal-pradesh,2018,2,760116,2345
arunachal-pradesh,2018,2,760805,2104
arunachal-pradesh,2018,2,770265,1939
arunachal-pradesh,2018,2,798258,1783
arunachal-pradesh,2018,3,712802,20658
arunachal-pradesh,2018,3,736009,9534
arunachal-pradesh,2018,3,742137,6545
arunachal-pradesh,2018,3,794798,4703
arunachal-pradesh,2018,3,711134,3766
arunachal-pradesh,2018,3,712177,2874
arunachal-pradesh,2018,3,755772,2839
arunachal-pradesh,2018,3,750119,2232
arunachal-pradesh,2018,3,769572,2161
arunachal-pradesh,2018,3,711215,1850
arunachal-pradesh,2018,4,754535,24808
arunachal-pradesh,2018,4,796782,14070
arunachal-pradesh,2018,4,751979,7834
arunachal-pradesh,2018,4,724433,6381
arunachal-pradesh,2018,4,717888,4898
arunachal-pradesh,2018,4,792407,4379
arunachal-pradesh,2018,4,742979,3731
arunachal-pradesh,2018,4,738094,2829
arunachal-pradesh,2018,4,720215,2790
arunachal-pradesh,2018,4,735575,2195
arunachal-pradesh,2019,1,769053,19932
arunachal-pradesh,2019,1,749037,9348
arunachal-pradesh,2019,1,777364,6468
arunachal-pradesh,2019,1,715985,5225
arunachal-pradesh,2019,1,745931,4085
arunachal-pradesh,2019,1,783000,3334
arunachal-pradesh,2019,1,749966,2562
arunachal-pradesh,2019,1,718541,2379
arunachal-pradesh,2019,1,789832,2245
arunachal-pradesh,2019,1,794677,1686
arunachal-pradesh,2019,2,725166,22073
arunachal-pradesh,2019,2,717627,10628
arunachal-pradesh,2019,2,746006,7149
arunachal-pradesh,2019,2,768521,5838
arunachal-pradesh,2019,2,778724,4033
arunachal-pradesh,2019,2,724413,3444
arunachal-pradesh,2019,2,715588,2897
arunachal-pradesh,2019,2,781651,2777
arunachal-pradesh,2019,2,789902,2193
arunachal-pradesh,2019,2,778712,1981
arunachal-pradesh,2019,3,755154,23267
arunachal-pradesh,2019,3,778844,13331
arunachal-pradesh,2019,3,766786,7498
arunachal-pradesh,2019,3,727755,6541
arunachal-pradesh,2019,3,774863,4991
arunachal-pradesh,2019,3,770077,4056
arunachal-pradesh,2019,3,765253,3361
arunachal-pradesh,2019,3,755702,2921
arunachal-pradesh,2019,3,732505,2619
arunachal-pradesh,2019,3,724662,2359
arunachal-pradesh,2019,4,754533,29760
arunachal-pradesh,2019,4,747132,14598
arunachal-pradesh,2019,4,748149,9229
arunachal-pradesh,2019,4,743053,6114
arunachal-pradesh,2019,4,784419,5376
arunachal-pradesh,2019,4,725900,4309
arunachal-pradesh,2019,4,748325,3838
arunachal-pradesh,2019,4,765384,3260
arunachal-pradesh,2019,4,757015,2834
arunachal-pradesh,2019,4,760726,2642
arunachal-pradesh,2020,1,721169,29151
arunachal-pradesh,2020,1,723392,12852
arunachal-pradesh,2020,1,711798,8243
arunachal-pradesh,2020,1,762718,6483
arunachal-pradesh,2020,1,773241,5222
arunachal-pradesh,2020,1,750781,4364
arunachal-pradesh,2020,1,772696,3695
arunachal-pradesh,2020,1,725252,3113
arunachal-pradesh,2020,1,750994,2666
arunachal-pradesh,2020,1,738596,2594
arunachal-pradesh,2020,2,713943,25451
arunachal-pradesh,2020,2,763025,14470
arunachal-pradesh,2020,2,784374,9040
arunachal-pradesh,2020,2,769845,7106
arunachal-pradesh,2020,2,795322,5539
arunachal-pradesh,2020,2,764279,4579
arunachal-pradesh,2020,2,773517,3837
arunachal-pradesh,2020,2,764507,3156
arunachal-pradesh,2020,2,713974,2607
arunachal-pradesh,2020,2,757214,2416
arunachal-pradesh,2020,3,711072,29943
arunachal-pradesh,2020,3,711146,16166
arunachal-pradesh,2020,3,726733,10291
arunachal-pradesh,2020,3,729403,7349
arunachal-pradesh,2020,3,717152,5548
arunachal-pradesh,2020,3,753094,4815
arunachal-pradesh,2020,3,777998,4445
arunachal-pradesh,2020,3,715264,3575
arunachal-pradesh,2020,3,771588,3279
arunachal-pradesh,2020,3,799150,2736
arunachal-pradesh,2020,4,723939,36451
arunachal-pradesh,2020,4,763023,17605
arunachal-pradesh,2020,4,762339,12993
arunachal-pradesh,2020,4,760777,10136
arunachal-pradesh,2020,4,768265,7094
arunachal-pradesh,2020,4,759234,6077
arunachal-pradesh,2020,4,744328,5474
arunachal-pradesh,2020,4,762391,4777
arunachal-pradesh,2020,4,726941,3826
arunachal-pradesh,2020,4,788068,3779
arunachal-pradesh,2021,1,725013,32644
arunachal-pradesh,2021,1,797109,13528
arunachal-pradesh,2021,1,730653,9997
arunachal-pradesh,2021,1,747461,7582
arunachal-pradesh,2021,1,721570,6226
arunachal-pradesh,2021,1,759854,4556
arunachal-pradesh,2021,1,799747,4379
arunachal-pradesh,2021,1,739095,3231
arunachal-pradesh,2021,1,779538,2998
arunachal-pradesh,2021,1,738366,2709
arunachal-pradesh,2021,2,778386,30402
arunachal-pradesh,2021,2,723841,14562
arunachal-pradesh,2021,2,766919,8994
arunachal-pradesh,2021,2,757229,6538
arunachal-pradesh,2021,2,720132,5879
arunachal-pradesh,2021,2,718433,4716
arunachal-pradesh,2021,2,761694,3946
arunachal-pradesh,2021,2,765871,3401
arunachal-pradesh,2021,2,711471,3087
arunachal-pradesh,2021,2,720766,2605
arunachal-pradesh,2021,3,771076,39316
arunachal-pradesh,2021,3,719253,16166
arunachal-pradesh,2021,3,755065,10576
arunachal-pradesh,2021,3,767010,8281
arunachal-pradesh,2021,3,722796,7052
arunachal-pradesh,2021,3,771214,5732
arunachal-pradesh,2021,3,718384,5057
arunachal-pradesh,2021,3,746587,4004
arunachal-pradesh,2021,3,728779,3642
arunachal-pradesh,2021,3,795826,3096
