state,year,quarter,category,txn_count,txn_amount
andaman-&-nicobar-islands,2020,2,Recharge & bill payments,89610,23298750.54
andaman-&-nicobar-islands,2020,2,Peer-to-peer payments,58239,96095902.09
andaman-&-nicobar-islands,2020,2,Merchant payments,48935,31319032.41
andaman-&-nicobar-islands,2020,2,Financial Services,4321,10586634.25
andaman-&-nicobar-islands,2020,2,Others,8527,6992874.56
andaman-&-nicobar-islands,2020,3,Recharge & bill payments,93663,24352447.31
andaman-&-nicobar-islands,2020,3,Peer-to-peer payments,61982,102271529.49
andaman-&-nicobar-islands,2020,3,Merchant payments,53661,34343481.44
andaman-&-nicobar-islands,2020,3,Financial Services,4636,11358603.77
andaman-&-nicobar-islands,2020,3,Others,9115,7474897.36
andaman-&-nicobar-islands,2020,4,Recharge & bill payments,107498,27949685.85
andaman-&-nicobar-islands,2020,4,Peer-to-peer payments,78244,129103874.05
andaman-&-nicobar-islands,2020,4,Merchant payments,69953,44770096.45
andaman-&-nicobar-islands,2020,4,Financial Services,5729,14038422.77
andaman-&-nicobar-islands,2020,4,Others,10674,8752835.92
andaman-&-nicobar-islands,2021,1,Recharge & bill payments,85124,22132499.65
andaman-&-nicobar-islands,2021,1,Peer-to-peer payments,62173,102585853.46
andaman-&-nicobar-islands,2021,1,Merchant payments,53910,34502683.41
andaman-&-nicobar-islands,2021,1,Financial Services,4409,10803481.38
andaman-&-nicobar-islands,2021,1,Others,8561,7020703.68
andaman-&-nicobar-islands,2021,2,Recharge & bill payments,95154,24740132.94
andaman-&-nicobar-islands,2021,2,Peer-to-peer payments,68284,112668753.29
andaman-&-nicobar-islands,2021,2,Merchant payments,61330,39251774.67
andaman-&-nicobar-islands,2021,2,Financial Services,4902,12010010.92
andaman-&-nicobar-islands,2021,2,Others,9558,7837621.93
andaman-&-nicobar-islands,2021,3,Recharge & bill payments,101152,26299591.37
andaman-&-nicobar-islands,2021,3,Peer-to-peer payments,74648,123169271.86
andaman-&-nicobar-islands,2021,3,Merchant payments,73602,47105573.41
andaman-&-nicobar-islands,2021,3,Financial Services,5717,14008918.67
andaman-&-nicobar-islands,2021,3,Others,10944,8974493.4
andaman-&-nicobar-islands,2021,4,Recharge & bill payments,112003,29120865.72
andaman-&-nicobar-islands,2021,4,Peer-to-peer payments,87415,144235131.35
andaman-&-nicobar-islands,2021,4,Merchant payments,83329,53330804.71
andaman-&-nicobar-islands,2021,4,Financial Services,6681,16370290.18
andaman-&-nicobar-islands,2021,4,Others,12099,9921998.69
andaman-&-nicobar-islands,2022,1,Recharge & bill payments,89747,23334264.97
andaman-&-nicobar-islands,2022,1,Peer-to-peer payments,69002,113853359.62
andaman-&-nicobar-islands,2022,1,Merchant payments,73188,46840383.93
andaman-&-nicobar-islands,2022,1,Financial Services,5558,13619509.9
andaman-&-nicobar-islands,2022,1,Others,10431,8554030.62
andaman-&-nicobar-islands,2022,2,Recharge & bill payments,93859,24403544.04
andaman-&-nicobar-islands,2022,2,Peer-to-peer payments,72756,120048816.01
andaman-&-nicobar-islands,2022,2,Merchant payments,78660,50342779.3
andaman-&-nicobar-islands,2022,2,Financial Services,5634,13803931.17
andaman-&-nicobar-islands,2022,2,Others,10906,8943292.86
andaman-&-nicobar-islands,2022,3,Recharge & bill payments,104758,27237114.04
andaman-&-nicobar-islands,2022,3,Peer-to-peer payments,83788,138250650.25
andaman-&-nicobar-islands,2022,3,Merchant payments,91564,58601494.25
andaman-&-nicobar-islands,2022,3,Financial Services,6722,16470854.91
andaman-&-nicobar-islands,2022,3,Others,12235,10032711.13
andaman-&-nicobar-islands,2022,4,Recharge & bill payments,115634,30064969.96
andaman-&-nicobar-islands,2022,4,Peer-to-peer payments,93714,154629187.65
andaman-&-nicobar-islands,2022,4,Merchant payments,104258,66725239.62
andaman-&-nicobar-islands,2022,4,Financial Services,7597,18614695.73
andaman-&-nicobar-islands,2022,4,Others,14189,11635152.82
andaman-&-nicobar-islands,2023,1,Recharge & bill payments,87976,22873944.09
andaman-&-nicobar-islands,2023,1,Peer-to-peer payments,72300,119296007.28
andaman-&-nicobar-islands,2023,1,Merchant payments,81371,52077902.09
andaman-&-nicobar-islands,2023,1,Financial Services,5672,13898388.68
andaman-&-nicobar-islands,2023,1,Others,10711,8783770.77
andaman-&-nicobar-islands,2023,2,Recharge & bill payments,96938,25204032.08
andaman-&-nicobar-islands,2023,2,Peer-to-peer payments,84327,139141156.82
andaman-&-nicobar-islands,2023,2,Merchant payments,99160,63462909.59
andaman-&-nicobar-islands,2023,2,Financial Services,6791,16638988.76
andaman-&-nicobar-islands,2023,2,Others,12446,10205754.55
andaman-&-nicobar-islands,2023,3,Recharge & bill payments,100763,26198542.65
andaman-&-nicobar-islands,2023,3,Peer-to-peer payments,87594,144530888.5
andaman-&-nicobar-islands,2023,3,Merchant payments,104938,67160724.75
andaman-&-nicobar-islands,2023,3,Financial Services,7142,17498843.73
andaman-&-nicobar-islands,2023,3,Others,13070,10718165.29
andaman-&-nicobar-islands,2023,4,Recharge & bill payments,114536,29779462.9
andaman-&-nicobar-islands,2023,4,Peer-to-peer payments,104475,172384194.05
andaman-&-nicobar-islands,2023,4,Merchant payments,129313,82760552.58
andaman-&-nicobar-islands,2023,4,Financial Services,8125,19907006.56
andaman-&-nicobar-islands,2023,4,Others,15388,12618484.31
andhra-pradesh,2018,1,Recharge & bill payments,2926465,760881090.88
andhra-pradesh,2018,1,Peer-to-peer payments,1754659,2895187617.88
andhra-pradesh,2018,1,Merchant payments,1067007,682885116.73
andhra-pradesh,2018,1,Financial Services,120716,295755299.0
andhra-pradesh,2018,1,Others,229041,187813803.36
andhra-pradesh,2018,2,Recharge & bill payments,3451735,897451270.41
andhra-pradesh,2018,2,Peer-to-peer payments,2046960,3377484872.56
andhra-pradesh,2018,2,Merchant payments,1305054,835234595.55
andhra-pradesh,2018,2,Financial Services,139265,341200955.57
andhra-pradesh,2018,2,Others,271550,222671365.91
andhra-pradesh,2018,3,Recharge & bill payments,4208420,1094189237.02
andhra-pradesh,2018,3,Peer-to-peer payments,2507609,4137556084.61
andhra-pradesh,2018,3,Merchant payments,1674333,1071573450.12
andhra-pradesh,2018,3,Financial Services,179316,439325520.17
andhra-pradesh,2018,3,Others,342928,281201485.46
andhra-pradesh,2018,4,Recharge & bill payments,4653515,1209913927.49
andhra-pradesh,2018,4,Peer-to-peer payments,2804269,4627045094.76
andhra-pradesh,2018,4,Merchant payments,1955058,1251237722.9
andhra-pradesh,2018,4,Financial Services,203716,499104971.46
andhra-pradesh,2018,4,Others,384814,315548237.15
andhra-pradesh,2019,1,Recharge & bill payments,4249143,1104777368.53
andhra-pradesh,2019,1,Peer-to-peer payments,2654114,4379289369.13
andhra-pradesh,2019,1,Merchant payments,1878869,1202476227.65
andhra-pradesh,2019,1,Financial Services,185979,455650570.5
andhra-pradesh,2019,1,Others,357490,293142558.82
andhra-pradesh,2019,2,Recharge & bill payments,4500549,1170142763.24
andhra-pradesh,2019,2,Peer-to-peer payments,2871200,4737480779.08
andhra-pradesh,2019,2,Merchant payments,2064454,1321251039.18
andhra-pradesh,2019,2,Financial Services,190080,465696101.82
andhra-pradesh,2019,2,Others,387110,317430324.94
andhra-pradesh,2019,3,Recharge & bill payments,4816640,1252326412.65
andhra-pradesh,2019,3,Peer-to-peer payments,3073636,5071499774.12
andhra-pradesh,2019,3,Merchant payments,2269010,1452166462.1
andhra-pradesh,2019,3,Financial Services,213695,523554999.26
andhra-pradesh,2019,3,Others,416923,341877289.1
andhra-pradesh,2019,4,Recharge & bill payments,5656466,1470681204.96
andhra-pradesh,2019,4,Peer-to-peer payments,3669555,6054766490.37
andhra-pradesh,2019,4,Merchant payments,2954661,1890983224.54
andhra-pradesh,2019,4,Financial Services,271667,665585898.51
andhra-pradesh,2019,4,Others,519648,426111387.87
andhra-pradesh,2020,1,Recharge & bill payments,4631240,1204122436.44
andhra-pradesh,2020,1,Peer-to-peer payments,3188005,5260208680.75
andhra-pradesh,2020,1,Merchant payments,2509843,1606300075.05
andhra-pradesh,2020,1,Financial Services,222158,544289210.76
andhra-pradesh,2020,1,Others,423330,347130926.5
andhra-pradesh,2020,2,Recharge & bill payments,5024510,1306372603.9
andhra-pradesh,2020,2,Peer-to-peer payments,3454046,5699176603.31
andhra-pradesh,2020,2,Merchant payments,2932273,1876655040.56
andhra-pradesh,2020,2,Financial Services,258619,633618908.17
andhra-pradesh,2020,2,Others,482655,395777689.95
andhra-pradesh,2020,3,Recharge & bill payments,5608729,1458269641.68
andhra-pradesh,2020,3,Peer-to-peer payments,3728936,6152745613.91
andhra-pradesh,2020,3,Merchant payments,3294994,2108796475.46
andhra-pradesh,2020,3,Financial Services,274917,673547630.9
andhra-pradesh,2020,3,Others,537479,440733405.41
andhra-pradesh,2020,4,Recharge & bill payments,5991773,1557861072.43
andhra-pradesh,2020,4,Peer-to-peer payments,4274236,7052490268.43
andhra-pradesh,2020,4,Merchant payments,3824396,2447613781.61
andhra-pradesh,2020,4,Financial Services,318949,781426510.11
andhra-pradesh,2020,4,Others,619286,507814578.75
andhra-pradesh,2021,1,Recharge & bill payments,5020092,1305223922.84
andhra-pradesh,2021,1,Peer-to-peer payments,3617574,5968997981.6
andhra-pradesh,2021,1,Merchant payments,3262045,2087709165.74
andhra-pradesh,2021,1,Financial Services,260101,637248581.57
andhra-pradesh,2021,1,Others,515119,422397763.7
andhra-pradesh,2021,2,Recharge & bill payments,5232466,1360441403.22
andhra-pradesh,2021,2,Peer-to-peer payments,3703765,6111213044.41
andhra-pradesh,2021,2,Merchant payments,3545306,2268996392.38
andhra-pradesh,2021,2,Financial Services,279403,684539619.16
andhra-pradesh,2021,2,Others,531162,435552999.76
andhra-pradesh,2021,3,Recharge & bill payments,5688203,1478932955.87
andhra-pradesh,2021,3,Peer-to-peer payments,4152193,6851120070.85
andhra-pradesh,2021,3,Merchant payments,4027419,2577548608.91
andhra-pradesh,2021,3,Financial Services,320964,786362771.18
andhra-pradesh,2021,3,Others,581987,477230064.83
andhra-pradesh,2021,4,Recharge & bill payments,6407871,1666046510.24
andhra-pradesh,2021,4,Peer-to-peer payments,4950302,8167999306.2
andhra-pradesh,2021,4,Merchant payments,4866011,3114247512.6
andhra-pradesh,2021,4,Financial Services,382721,937667533.82
andhra-pradesh,2021,4,Others,717889,588669658.45
andhra-pradesh,2022,1,Recharge & bill payments,5270465,1370321046.31
andhra-pradesh,2022,1,Peer-to-peer payments,4011684,6619280029.3
andhra-pradesh,2022,1,Merchant payments,4078541,2610266711.14
andhra-pradesh,2022,1,Financial Services,320685,785678461.08
andhra-pradesh,2022,1,Others,598167,490497606.69
andhra-pradesh,2022,2,Recharge & bill payments,5589726,1453328859.36
andhra-pradesh,2022,2,Peer-to-peer payments,4407904,7273041883.49
andhra-pradesh,2022,2,Merchant payments,4759686,3046199155.17
andhra-pradesh,2022,2,Financial Services,347137,850487124.7
andhra-pradesh,2022,2,Others,626738,513925286.12
andhra-pradesh,2022,3,Recharge & bill payments,5850418,1521108798.97
andhra-pradesh,2022,3,Peer-to-peer payments,4740489,7821808314.3
andhra-pradesh,2022,3,Merchant payments,5151101,3296705212.96
andhra-pradesh,2022,3,Financial Services,359062,879703991.06
andhra-pradesh,2022,3,Others,698576,572832674.04
andhra-pradesh,2022,4,Recharge & bill payments,6607179,1717866571.49
andhra-pradesh,2022,4,Peer-to-peer payments,5574143,9197336178.23
andhra-pradesh,2022,4,Merchant payments,6147203,3934210085.3
andhra-pradesh,2022,4,Financial Services,427653,1047751763.05
andhra-pradesh,2022,4,Others,790176,647944483.18
andhra-pradesh,2023,1,Recharge & bill payments,4972619,1292881103.97
andhra-pradesh,2023,1,Peer-to-peer payments,4190281,6913964715.76
andhra-pradesh,2023,1,Merchant payments,4877746,3121757547.27
andhra-pradesh,2023,1,Financial Services,330525,809788383.45
andhra-pradesh,2023,1,Others,616204,505287951.44
andhra-pradesh,2023,2,Recharge & bill payments,5485112,1426129169.56
andhra-pradesh,2023,2,Peer-to-peer payments,4818163,7949969305.79
andhra-pradesh,2023,2,Merchant payments,5655136,3619287678.47
andhra-pradesh,2023,2,Financial Services,382798,937855633.77
andhra-pradesh,2023,2,Others,693664,568804640.49
andhra-pradesh,2023,3,Recharge & bill payments,5720174,1487245281.94
andhra-pradesh,2023,3,Peer-to-peer payments,5220922,8614522204.11
andhra-pradesh,2023,3,Merchant payments,6171870,3949996868.98
andhra-pradesh,2023,3,Financial Services,414159,1014691381.87
andhra-pradesh,2023,3,Others,781977,641221186.51
andhra-pradesh,2023,4,Recharge & bill payments,6401300,1664338163.94
andhra-pradesh,2023,4,Peer-to-peer payments,5861861,9672070920.77
andhra-pradesh,2023,4,Merchant payments,7124193,4559484122.67
andhra-pradesh,2023,4,Financial Services,492021,1205451883.74
andhra-pradesh,2023,4,Others,869851,713277851.54
arunachal-pradesh,2018,1,Recharge & bill payments,104271,27110634.76
arunachal-pradesh,2018,1,Peer-to-peer payments,59963,98939166.67
arunachal-pradesh,2018,1,Merchant payments,37291,23866614.85
arunachal-pradesh,2018,1,Financial Services,4190,10267213.99
arunachal-pradesh,2018,1,Others,8189,6715713.61
arunachal-pradesh,2018,2,Recharge & bill payments,124470,32362414.97
arunachal-pradesh,2018,2,Peer-to-peer payments,75678,124868714.9
arunachal-pradesh,2018,2,Merchant payments,47226,30224934.97
arunachal-pradesh,2018,2,Financial Services,5142,12598841.51
arunachal-pradesh,2018,2,Others,10064,8253247.94
arunachal-pradesh,2018,3,Recharge & bill payments,140654,36570193.13
arunachal-pradesh,2018,3,Peer-to-peer payments,82390,135945015.86
arunachal-pradesh,2018,3,Merchant payments,54981,35187998.46
arunachal-pradesh,2018,3,Financial Services,5617,13761726.43
arunachal-pradesh,2018,3,Others,11522,9448775.83
arunachal-pradesh,2018,4,Recharge & bill payments,167130,43453905.15
arunachal-pradesh,2018,4,Peer-to-peer payments,104704,172761805.15
arunachal-pradesh,2018,4,Merchant payments,72773,46574735.48
arunachal-pradesh,2018,4,Financial Services,7262,17793077.7
arunachal-pradesh,2018,4,Others,14130,11587301.84
arunachal-pradesh,2019,1,Recharge & bill payments,141216,36716209.85
arunachal-pradesh,2019,1,Peer-to-peer payments,84950,140169015.64
arunachal-pradesh,2019,1,Merchant payments,60737,38872310.08
arunachal-pradesh,2019,1,Financial Services,6202,15195351.55
arunachal-pradesh,2019,1,Others,11930,9782640.65
arunachal-pradesh,2019,2,Recharge & bill payments,154616,40200387.28
arunachal-pradesh,2019,2,Peer-to-peer payments,97623,161079135.46
arunachal-pradesh,2019,2,Merchant payments,72395,46333018.66
arunachal-pradesh,2019,2,Financial Services,6987,17120111.6
arunachal-pradesh,2019,2,Others,13394,10983871.51
arunachal-pradesh,2019,3,Recharge & bill payments,162032,42128425.69
arunachal-pradesh,2019,3,Peer-to-peer payments,105160,173514139.88
arunachal-pradesh,2019,3,Merchant payments,81627,52241445.54
arunachal-pradesh,2019,3,Financial Services,7267,17804191.77
arunachal-pradesh,2019,3,Others,14749,12094976.82
arunachal-pradesh,2019,4,Recharge & bill payments,196832,51176437.91
arunachal-pradesh,2019,4,Peer-to-peer payments,128241,211598893.41
arunachal-pradesh,2019,4,Merchant payments,102302,65473460.62
arunachal-pradesh,2019,4,Financial Services,9160,22442739.18
arunachal-pradesh,2019,4,Others,17590,14424231.78
arunachal-pradesh,2020,1,Recharge & bill payments,160344,41689697.5
arunachal-pradesh,2020,1,Peer-to-peer payments,108286,178672372.98
arunachal-pradesh,2020,1,Merchant payments,86312,55239756.34
arunachal-pradesh,2020,1,Financial Services,7992,19580508.29
arunachal-pradesh,2020,1,Others,14999,12299187.6
arunachal-pradesh,2020,2,Recharge & bill payments,180079,46820650.95
arunachal-pradesh,2020,2,Peer-to-peer payments,123231,203331911.75
arunachal-pradesh,2020,2,Merchant payments,103173,66031008.32
arunachal-pradesh,2020,2,Financial Services,8705,21327984.42
arunachal-pradesh,2020,2,Others,17068,13995802.7
arunachal-pradesh,2020,3,Recharge & bill payments,184345,47929839.9
arunachal-pradesh,2020,3,Peer-to-peer payments,127485,210351779.31
arunachal-pradesh,2020,3,Merchant payments,106706,68292042.63
arunachal-pradesh,2020,3,Financial Services,9452,23157954.83
arunachal-pradesh,2020,3,Others,18123,14861276.87
arunachal-pradesh,2020,4,Recharge & bill payments,201131,52294241.25
arunachal-pradesh,2020,4,Peer-to-peer payments,147111,242733187.33
arunachal-pradesh,2020,4,Merchant payments,129043,82588064.46
arunachal-pradesh,2020,4,Financial Services,10332,25314004.27
arunachal-pradesh,2020,4,Others,19860,16285409.39
arunachal-pradesh,2021,1,Recharge & bill payments,164131,42674190.66
arunachal-pradesh,2021,1,Peer-to-peer payments,115453,190498024.53
arunachal-pradesh,2021,1,Merchant payments,106526,68176887.97
arunachal-pradesh,2021,1,Financial Services,8852,21689147.28
arunachal-pradesh,2021,1,Others,16630,13637168.02
arunachal-pradesh,2021,2,Recharge & bill payments,184922,48079915.52
arunachal-pradesh,2021,2,Peer-to-peer payments,133181,219749125.14
arunachal-pradesh,2021,2,Merchant payments,125375,80240415.01
arunachal-pradesh,2021,2,Financial Services,10137,24836824.62
arunachal-pradesh,2021,2,Others,19492,15983703.42
arunachal-pradesh,2021,3,Recharge & bill payments,196250,51025215.92
arunachal-pradesh,2021,3,Peer-to-peer payments,148822,245557195.55
arunachal-pradesh,2021,3,Merchant payments,141606,90627880.35
arunachal-pradesh,2021,3,Financial Services,11106,27210273.88
arunachal-pradesh,2021,3,Others,20024,16419859.42
arunachal-pradesh,2021,4,Recharge & bill payments,215337,55987777.46
arunachal-pradesh,2021,4,Peer-to-peer payments,163729,270153696.95
arunachal-pradesh,2021,4,Merchant payments,162891,104250305.68
arunachal-pradesh,2021,4,Financial Services,11984,29363141.36
arunachal-pradesh,2021,4,Others,23414,19199877.76
arunachal-pradesh,2022,1,Recharge & bill payments,173830,45195862.32
arunachal-pradesh,2022,1,Peer-to-peer payments,132767,219067060.22
arunachal-pradesh,2022,1,Merchant payments,139245,89116853.96
arunachal-pradesh,2022,1,Financial Services,10225,25052927.05
arunachal-pradesh,2022,1,Others,19154,15706752.03
arunachal-pradesh,2022,2,Recharge & bill payments,184368,47935871.97
arunachal-pradesh,2022,2,Peer-to-peer payments,143629,236989280.6
arunachal-pradesh,2022,2,Merchant payments,150621,96398015.3
arunachal-pradesh,2022,2,Financial Services,10670,26141834.01
arunachal-pradesh,2022,2,Others,20115,16494597.68
arunachal-pradesh,2022,3,Recharge & bill payments,202999,52779898.37
arunachal-pradesh,2022,3,Peer-to-peer payments,159810,263688139.09
arunachal-pradesh,2022,3,Merchant payments,169885,108726801.31
arunachal-pradesh,2022,3,Financial Services,12844,31468393.96
arunachal-pradesh,2022,3,Others,23017,18873991.39
arunachal-pradesh,2022,4,Recharge & bill payments,226840,58978471.69
arunachal-pradesh,2022,4,Peer-to-peer payments,184278,304059350.63
arunachal-pradesh,2022,4,Merchant payments,206759,132326371.99
arunachal-pradesh,2022,4,Financial Services,14881,36460375.38
arunachal-pradesh,2022,4,Others,28121,23059662.78
arunachal-pradesh,2023,1,Recharge & bill payments,185466,48221359.93
arunachal-pradesh,2023,1,Peer-to-peer payments,156718,258585417.97
arunachal-pradesh,2023,1,Merchant payments,170788,109304499.43
arunachal-pradesh,2023,1,Financial Services,12422,30434938.84
arunachal-pradesh,2023,1,Others,23098,18940930.59
arunachal-pradesh,2023,2,Recharge & bill payments,190875,49627757.22
arunachal-pradesh,2023,2,Peer-to-peer payments,168516,278051835.51
arunachal-pradesh,2023,2,Merchant payments,196410,125702413.21
arunachal-pradesh,2023,2,Financial Services,13377,32775097.12
arunachal-pradesh,2023,2,Others,24941,20452183.5
arunachal-pradesh,2023,3,Recharge & bill payments,192344,50009581.52
arunachal-pradesh,2023,3,Peer-to-peer payments,173219,285811967.77
arunachal-pradesh,2023,3,Merchant payments,199378,127602187.46
arunachal-pradesh,2023,3,Financial Services,13327,32651738.46
arunachal-pradesh,2023,3,Others,24777,20317157.56
arunachal-pradesh,2023,4,Recharge & bill payments,216754,56356177.8
arunachal-pradesh,2023,4,Peer-to-peer payments,193720,319638888.2
arunachal-pradesh,2023,4,Merchant payments,233123,149199214.89
arunachal-pradesh,2023,4,Financial Services,16274,39871647.21
arunachal-pradesh,2023,4,Others,28921,23715769.7
assam,2018,1,Recharge & bill payments,1019330,265025969.75
assam,2018,1,Peer-to-peer payments,620035,1023058149.49
assam,2018,1,Merchant payments,378027,241937880.87
assam,2018,1,Financial Services,40812,99990382.11
assam,2018,1,Others,80658,66140204.74
assam,2018,2,Recharge & bill payments,1245817,323912462.05
assam,2018,2,Peer-to-peer payments,752305,1241303462.5
assam,2018,2,Merchant payments,472064,302121368.12
assam,2018,2,Financial Services,52334,128219935.51
assam,2018,2,Others,99638,81703908.59
assam,2018,3,Recharge & bill payments,1370187,356248683.63
assam,2018,3,Peer-to-peer payments,876812,1446740644.63
assam,2018,3,Merchant payments,541270,346413230.02
assam,2018,3,Financial Services,59970,146927452.23
assam,2018,3,Others,116929,95882399.59
assam,2018,4,Recharge & bill payments,1636197,425411420.57
assam,2018,4,Peer-to-peer payments,1033506,1705285167.28
assam,2018,4,Merchant payments,719576,460529268.52
assam,2018,4,Financial Services,73338,179679353.95
assam,2018,4,Others,142005,116444308.5
assam,2019,1,Recharge & bill payments,1392149,361958886.69
assam,2019,1,Peer-to-peer payments,912365,1505403866.15
assam,2019,1,Merchant payments,612202,391809335.8
assam,2019,1,Financial Services,62908,154124931.26
assam,2019,1,Others,118751,97376242.82
assam,2019,2,Recharge & bill payments,1489513,387273521.27
assam,2019,2,Peer-to-peer payments,954784,1575394527.88
assam,2019,2,Merchant payments,706894,452412659.64
assam,2019,2,Financial Services,68610,168096570.87
assam,2019,2,Others,133920,109815022.87
assam,2019,3,Recharge & bill payments,1694806,440649685.9
assam,2019,3,Peer-to-peer payments,1123340,1853511556.24
assam,2019,3,Merchant payments,841880,538803509.56
assam,2019,3,Financial Services,77151,189020357.73
assam,2019,3,Others,148300,121606148.7
assam,2019,4,Recharge & bill payments,1937478,503744304.41
assam,2019,4,Peer-to-peer payments,1257910,2075552173.89
assam,2019,4,Merchant payments,996815,637962230.8
assam,2019,4,Financial Services,93613,229352468.19
assam,2019,4,Others,181023,148439635.17
assam,2020,1,Recharge & bill payments,1564365,406734927.7
assam,2020,1,Peer-to-peer payments,1087744,1794777907.72
assam,2020,1,Merchant payments,830870,531757410.81
assam,2020,1,Financial Services,77768,190533181.72
assam,2020,1,Others,144707,118660114.65
assam,2020,2,Recharge & bill payments,1798206,467533613.98
assam,2020,2,Peer-to-peer payments,1268127,2092410000.11
assam,2020,2,Merchant payments,1014913,649544939.19
assam,2020,2,Financial Services,89209,218562878.77
assam,2020,2,Others,172112,141132121.1
assam,2020,3,Recharge & bill payments,1869324,486024359.14
assam,2020,3,Peer-to-peer payments,1275522,2104612432.61
assam,2020,3,Merchant payments,1077220,689421400.46
assam,2020,3,Financial Services,92979,227799695.12
assam,2020,3,Others,173586,142340760.21
assam,2020,4,Recharge & bill payments,2034611,528999112.85
assam,2020,4,Peer-to-peer payments,1495402,2467414441.47
assam,2020,4,Merchant payments,1310915,838986202.75
assam,2020,4,Financial Services,104002,254805655.63
assam,2020,4,Others,201417,165162426.55
assam,2021,1,Recharge & bill payments,1700289,442075164.75
assam,2021,1,Peer-to-peer payments,1184595,1954583197.36
assam,2021,1,Merchant payments,1066698,682687132.76
assam,2021,1,Financial Services,87236,213728456.05
assam,2021,1,Others,171663,140764381.83
assam,2021,2,Recharge & bill payments,1822753,473916016.82
assam,2021,2,Peer-to-peer payments,1337071,2206168679.52
assam,2021,2,Merchant payments,1212492,775994987.42
assam,2021,2,Financial Services,101350,248307672.05
assam,2021,2,Others,191978,157422557.4
assam,2021,3,Recharge & bill payments,1850694,481180521.32
assam,2021,3,Peer-to-peer payments,1407869,2322985451.04
assam,2021,3,Merchant payments,1361779,871538787.96
assam,2021,3,Financial Services,104708,256534735.34
assam,2021,3,Others,207518,170165025.95
assam,2021,4,Recharge & bill payments,2063159,536421529.72
assam,2021,4,Peer-to-peer payments,1641935,2709194153.3
assam,2021,4,Merchant payments,1571993,1006075593.73
assam,2021,4,Financial Services,123072,301528066.27
assam,2021,4,Others,232139,190354568.88
assam,2022,1,Recharge & bill payments,1662241,432182912.72
assam,2022,1,Peer-to-peer payments,1311677,2164267390.48
assam,2022,1,Merchant payments,1293471,827821672.29
assam,2022,1,Financial Services,96332,236015308.16
assam,2022,1,Others,181866,149130133.41
