state,year,quarter,district,registered_users,app_opens
andaman-&-nicobar-islands,2022,2,Andaman And Nicobar Islands District 3,7522,66229
andaman-&-nicobar-islands,2022,2,Andaman And Nicobar Islands District 4,5708,50256
andaman-&-nicobar-islands,2022,2,Andaman And Nicobar Islands District 5,4053,35691
andaman-&-nicobar-islands,2022,3,Andaman And Nicobar Islands District 1,29748,220328
andaman-&-nicobar-islands,2022,3,Andaman And Nicobar Islands District 2,13504,100020
andaman-&-nicobar-islands,2022,3,Andaman And Nicobar Islands District 3,8171,60520
andaman-&-nicobar-islands,2022,3,Andaman And Nicobar Islands District 4,6200,45924
andaman-&-nicobar-islands,2022,3,Andaman And Nicobar Islands District 5,4403,32615
andaman-&-nicobar-islands,2022,4,Andaman And Nicobar Islands District 1,34253,223806
andaman-&-nicobar-islands,2022,4,Andaman And Nicobar Islands District 2,15549,101599
andaman-&-nicobar-islands,2022,4,Andaman And Nicobar Islands District 3,9408,61476
andaman-&-nicobar-islands,2022,4,Andaman And Nicobar Islands District 4,7139,46649
andaman-&-nicobar-islands,2022,4,Andaman And Nicobar Islands District 5,5070,33130
andaman-&-nicobar-islands,2023,1,Andaman And Nicobar Islands District 1,25053,207777
andaman-&-nicobar-islands,2023,1,Andaman And Nicobar Islands District 2,11373,94323
andaman-&-nicobar-islands,2023,1,Andaman And Nicobar Islands District 3,6881,57073
andaman-&-nicobar-islands,2023,1,Andaman And Nicobar Islands District 4,5221,43308
andaman-&-nicobar-islands,2023,1,Andaman And Nicobar Islands District 5,3708,30757
andaman-&-nicobar-islands,2023,2,Andaman And Nicobar Islands District 1,30360,262616
andaman-&-nicobar-islands,2023,2,Andaman And Nicobar Islands District 2,13782,119217
andaman-&-nicobar-islands,2023,2,Andaman And Nicobar Islands District 3,8339,72136
andaman-&-nicobar-islands,2023,2,Andaman And Nicobar Islands District 4,6328,54738
andaman-&-nicobar-islands,2023,2,Andaman And Nicobar Islands District 5,4494,38875
andaman-&-nicobar-islands,2023,3,Andaman And Nicobar Islands District 1,33231,266444
andaman-&-nicobar-islands,2023,3,Andaman And Nicobar Islands District 2,15085,120955
andaman-&-nicobar-islands,2023,3,Andaman And Nicobar Islands District 3,9128,73188
andaman-&-nicobar-islands,2023,3,Andaman And Nicobar Islands District 4,6926,55536
andaman-&-nicobar-islands,2023,3,Andaman And Nicobar Islands District 5,4919,39441
andaman-&-nicobar-islands,2023,4,Andaman And Nicobar Islands District 1,39388,343296
andaman-&-nicobar-islands,2023,4,Andaman And Nicobar Islands District 2,17880,155843
andaman-&-nicobar-islands,2023,4,Andaman And Nicobar Islands District 3,10819,94298
andaman-&-nicobar-islands,2023,4,Andaman And Nicobar Islands District 4,8210,71555
andaman-&-nicobar-islands,2023,4,Andaman And Nicobar Islands District 5,5830,50818
andhra-pradesh,2018,1,Visakhapatnam,534074,4518097
andhra-pradesh,2018,1,Krishna,246414,2084585
andhra-pradesh,2018,1,Guntur,146183,1236667
andhra-pradesh,2018,1,East Godavari,102265,865130
andhra-pradesh,2018,1,Chittoor,82615,698901
andhra-pradesh,2018,1,West Godavari,64570,546246
andhra-pradesh,2018,2,Visakhapatnam,622535,4257158
andhra-pradesh,2018,2,Krishna,287228,1964191
andhra-pradesh,2018,2,Guntur,170396,1165244
andhra-pradesh,2018,2,East Godavari,119203,815165
andhra-pradesh,2018,2,Chittoor,96299,658537
andhra-pradesh,2018,2,West Godavari,75265,514698
andhra-pradesh,2018,3,Visakhapatnam,796116,5638499
andhra-pradesh,2018,3,Krishna,367316,2601523
andhra-pradesh,2018,3,Guntur,217908,1543337
andhra-pradesh,2018,3,East Godavari,152441,1079665
andhra-pradesh,2018,3,Chittoor,123150,872215
andhra-pradesh,2018,3,West Godavari,96251,681705
andhra-pradesh,2018,4,Visakhapatnam,800738,7026373
andhra-pradesh,2018,4,Krishna,369449,3241868
andhra-pradesh,2018,4,Guntur,219173,1923218
andhra-pradesh,2018,4,East Godavari,153326,1345417
andhra-pradesh,2018,4,Chittoor,123865,1086905
andhra-pradesh,2018,4,West Godavari,96810,849502
andhra-pradesh,2019,1,Visakhapatnam,766085,5869599
andhra-pradesh,2019,1,Krishna,353460,2708149
andhra-pradesh,2019,1,Guntur,209688,1606592
andhra-pradesh,2019,1,East Godavari,146690,1123917
andhra-pradesh,2019,1,Chittoor,118505,907964
andhra-pradesh,2019,1,West Godavari,92621,709646
andhra-pradesh,2019,2,Visakhapatnam,919479,7943570
andhra-pradesh,2019,2,Krishna,424234,3665049
andhra-pradesh,2019,2,Guntur,251674,2174268
andhra-pradesh,2019,2,East Godavari,176062,1521043
andhra-pradesh,2019,2,Chittoor,142233,1228785
andhra-pradesh,2019,2,West Godavari,111166,960393
andhra-pradesh,2019,3,Visakhapatnam,993677,8318809
andhra-pradesh,2019,3,Krishna,458468,3838179
andhra-pradesh,2019,3,Guntur,271983,2276976
andhra-pradesh,2019,3,East Godavari,190270,1592894
andhra-pradesh,2019,3,Chittoor,153711,1286831
andhra-pradesh,2019,3,West Godavari,120137,1005760
andhra-pradesh,2019,4,Visakhapatnam,1151509,10684594
andhra-pradesh,2019,4,Krishna,531290,4929719
andhra-pradesh,2019,4,Guntur,315184,2924525
andhra-pradesh,2019,4,East Godavari,220492,2045897
andhra-pradesh,2019,4,Chittoor,178126,1652793
andhra-pradesh,2019,4,West Godavari,139219,1291788
andhra-pradesh,2020,1,Visakhapatnam,1049661,8182125
andhra-pradesh,2020,1,Krishna,484298,3775115
andhra-pradesh,2020,1,Guntur,287307,2239564
andhra-pradesh,2020,1,East Godavari,200990,1566722
andhra-pradesh,2020,1,Chittoor,162371,1265687
andhra-pradesh,2020,1,West Godavari,126906,989234
andhra-pradesh,2020,2,Visakhapatnam,1180744,10872775
andhra-pradesh,2020,2,Krishna,544778,5016543
andhra-pradesh,2020,2,Guntur,323186,2976033
andhra-pradesh,2020,2,East Godavari,226090,2081930
andhra-pradesh,2020,2,Chittoor,182648,1681902
andhra-pradesh,2020,2,West Godavari,142754,1314539
andhra-pradesh,2020,3,Visakhapatnam,1140882,8784814
andhra-pradesh,2020,3,Krishna,526386,4053187
andhra-pradesh,2020,3,Guntur,312275,2404528
andhra-pradesh,2020,3,East Godavari,218457,1682125
andhra-pradesh,2020,3,Chittoor,176482,1358917
andhra-pradesh,2020,3,West Godavari,137934,1062101
andhra-pradesh,2020,4,Visakhapatnam,1462633,12639004
andhra-pradesh,2020,4,Krishna,674837,5831455
andhra-pradesh,2020,4,Guntur,400343,3459475
andhra-pradesh,2020,4,East Godavari,280066,2420130
andhra-pradesh,2020,4,Chittoor,226253,1955119
andhra-pradesh,2020,4,West Godavari,176835,1528080
andhra-pradesh,2021,1,Visakhapatnam,1180274,10639689
andhra-pradesh,2021,1,Krishna,544561,4909000
andhra-pradesh,2021,1,Guntur,323057,2912234
andhra-pradesh,2021,1,East Godavari,226000,2037299
andhra-pradesh,2021,1,Chittoor,182575,1645846
andhra-pradesh,2021,1,West Godavari,142697,1286359
andhra-pradesh,2021,2,Visakhapatnam,1068163,9827746
andhra-pradesh,2021,2,Krishna,492835,4534381
andhra-pradesh,2021,2,Guntur,292371,2689994
andhra-pradesh,2021,2,East Godavari,204533,1881827
andhra-pradesh,2021,2,Chittoor,165233,1520247
andhra-pradesh,2021,2,West Godavari,129143,1188193
andhra-pradesh,2021,3,Visakhapatnam,1422502,13113628
andhra-pradesh,2021,3,Krishna,656322,6050440
andhra-pradesh,2021,3,Guntur,389359,3589386
andhra-pradesh,2021,3,East Godavari,272382,2511011
andhra-pradesh,2021,3,Chittoor,220045,2028538
andhra-pradesh,2021,3,West Godavari,171983,1585463
andhra-pradesh,2021,4,Visakhapatnam,1464874,12516136
andhra-pradesh,2021,4,Krishna,675872,5774766
andhra-pradesh,2021,4,Guntur,400957,3425844
andhra-pradesh,2021,4,East Godavari,280495,2396603
andhra-pradesh,2021,4,Chittoor,226600,1936113
andhra-pradesh,2021,4,West Godavari,177106,1513225
andhra-pradesh,2022,1,Visakhapatnam,1236786,9104251
andhra-pradesh,2022,1,Krishna,570635,4200571
andhra-pradesh,2022,1,Guntur,338525,2491963
andhra-pradesh,2022,1,East Godavari,236821,1743291
andhra-pradesh,2022,1,Chittoor,191317,1408330
andhra-pradesh,2022,1,West Godavari,149529,1100721
andhra-pradesh,2022,2,Visakhapatnam,1545229,14173259
andhra-pradesh,2022,2,Krishna,712946,6539339
andhra-pradesh,2022,2,Guntur,422951,3879422
andhra-pradesh,2022,2,East Godavari,295882,2713910
andhra-pradesh,2022,2,Chittoor,239030,2192452
andhra-pradesh,2022,2,West Godavari,186821,1713574
andhra-pradesh,2022,3,Visakhapatnam,1472032,12581642
andhra-pradesh,2022,3,Krishna,679174,5804989
andhra-pradesh,2022,3,Guntur,402916,3443774
andhra-pradesh,2022,3,East Godavari,281866,2409146
andhra-pradesh,2022,3,Chittoor,227707,1946246
andhra-pradesh,2022,3,West Godavari,177971,1521145
andhra-pradesh,2022,4,Visakhapatnam,1723189,15701703
andhra-pradesh,2022,4,Krishna,795055,7244541
andhra-pradesh,2022,4,Guntur,471661,4297779
andhra-pradesh,2022,4,East Godavari,329958,3006579
andhra-pradesh,2022,4,Chittoor,266559,2428886
andhra-pradesh,2022,4,West Godavari,208337,1898366
andhra-pradesh,2023,1,Visakhapatnam,1392892,12630860
andhra-pradesh,2023,1,Krishna,642660,5827698
andhra-pradesh,2023,1,Guntur,381254,3457246
andhra-pradesh,2023,1,East Godavari,266712,2418570
andhra-pradesh,2023,1,Chittoor,215465,1953859
andhra-pradesh,2023,1,West Godavari,168403,1527095
andhra-pradesh,2023,2,Visakhapatnam,1624189,13100600
andhra-pradesh,2023,2,Krishna,749377,6044429
andhra-pradesh,2023,2,Guntur,444563,3585820
andhra-pradesh,2023,2,East Godavari,311001,2508517
andhra-pradesh,2023,2,Chittoor,251244,2026523
andhra-pradesh,2023,2,West Godavari,196367,1583888
andhra-pradesh,2023,3,Visakhapatnam,1594066,12966624
andhra-pradesh,2023,3,Krishna,735479,5982615
andhra-pradesh,2023,3,Guntur,436318,3549149
andhra-pradesh,2023,3,East Godavari,305233,2482863
andhra-pradesh,2023,3,Chittoor,246585,2005798
andhra-pradesh,2023,3,West Godavari,192725,1567690
andhra-pradesh,2023,4,Visakhapatnam,2132346,16434978
andhra-pradesh,2023,4,Krishna,983834,7582863
andhra-pradesh,2023,4,Guntur,583653,4498487
andhra-pradesh,2023,4,East Godavari,408303,3146987
andhra-pradesh,2023,4,Chittoor,329851,2542316
andhra-pradesh,2023,4,West Godavari,257804,1987020
arunachal-pradesh,2018,1,Arunachal Pradesh District 1,20235,182956
arunachal-pradesh,2018,1,Arunachal Pradesh District 2,9024,81596
arunachal-pradesh,2018,1,Arunachal Pradesh District 3,5847,52871
arunachal-pradesh,2018,1,Arunachal Pradesh District 4,4546,41108
arunachal-pradesh,2018,1,Arunachal Pradesh District 5,3630,32823
arunachal-pradesh,2018,2,Arunachal Pradesh District 1,25448,185549
arunachal-pradesh,2018,2,Arunachal Pradesh District 2,11349,82752
arunachal-pradesh,2018,2,Arunachal Pradesh District 3,7354,53620
arunachal-pradesh,2018,2,Arunachal Pradesh District 4,5718,41691
arunachal-pradesh,2018,2,Arunachal Pradesh District 5,4565,33288
arunachal-pradesh,2018,3,Arunachal Pradesh District 1,26724,223433
arunachal-pradesh,2018,3,Arunachal Pradesh District 2,11918,99648
arunachal-pradesh,2018,3,Arunachal Pradesh District 3,7722,64568
arunachal-pradesh,2018,3,Arunachal Pradesh District 4,6004,50203
arunachal-pradesh,2018,3,Arunachal Pradesh District 5,4794,40085
arunachal-pradesh,2018,4,Arunachal Pradesh District 1,34557,243088
arunachal-pradesh,2018,4,Arunachal Pradesh District 2,15412,108414
arunachal-pradesh,2018,4,Arunachal Pradesh District 3,9986,70248
arunachal-pradesh,2018,4,Arunachal Pradesh District 4,7764,54620
arunachal-pradesh,2018,4,Arunachal Pradesh District 5,6199,43611
arunachal-pradesh,2019,1,Arunachal Pradesh District 1,26771,210705
arunachal-pradesh,2019,1,Arunachal Pradesh District 2,11939,93972
arunachal-pradesh,2019,1,Arunachal Pradesh District 3,7736,60890
arunachal-pradesh,2019,1,Arunachal Pradesh District 4,6015,47343
arunachal-pradesh,2019,1,Arunachal Pradesh District 5,4803,37802
arunachal-pradesh,2019,2,Arunachal Pradesh District 1,29459,206547
arunachal-pradesh,2019,2,Arunachal Pradesh District 2,13138,92117
arunachal-pradesh,2019,2,Arunachal Pradesh District 3,8513,59688
arunachal-pradesh,2019,2,Arunachal Pradesh District 4,6619,46409
arunachal-pradesh,2019,2,Arunachal Pradesh District 5,5285,37056
arunachal-pradesh,2019,3,Arunachal Pradesh District 1,33168,287086
arunachal-pradesh,2019,3,Arunachal Pradesh District 2,14792,128037
arunachal-pradesh,2019,3,Arunachal Pradesh District 3,9585,82963
arunachal-pradesh,2019,3,Arunachal Pradesh District 4,7452,64506
arunachal-pradesh,2019,3,Arunachal Pradesh District 5,5950,51505
arunachal-pradesh,2019,4,Arunachal Pradesh District 1,38318,267344
arunachal-pradesh,2019,4,Arunachal Pradesh District 2,17089,119232
arunachal-pradesh,2019,4,Arunachal Pradesh District 3,11073,77257
arunachal-pradesh,2019,4,Arunachal Pradesh District 4,8609,60070
arunachal-pradesh,2019,4,Arunachal Pradesh District 5,6874,47963
arunachal-pradesh,2020,1,Arunachal Pradesh District 1,36645,309654
arunachal-pradesh,2020,1,Arunachal Pradesh District 2,16343,138102
arunachal-pradesh,2020,1,Arunachal Pradesh District 3,10589,89485
arunachal-pradesh,2020,1,Arunachal Pradesh District 4,8233,69576
arunachal-pradesh,2020,1,Arunachal Pradesh District 5,6574,55554
arunachal-pradesh,2020,2,Arunachal Pradesh District 1,36560,327521
arunachal-pradesh,2020,2,Arunachal Pradesh District 2,16305,146070
arunachal-pradesh,2020,2,Arunachal Pradesh District 3,10565,94648
arunachal-pradesh,2020,2,Arunachal Pradesh District 4,8214,73591
arunachal-pradesh,2020,2,Arunachal Pradesh District 5,6559,58759
arunachal-pradesh,2020,3,Arunachal Pradesh District 1,41210,369792
arunachal-pradesh,2020,3,Arunachal Pradesh District 2,18379,164922
arunachal-pradesh,2020,3,Arunachal Pradesh District 3,11909,106863
arunachal-pradesh,2020,3,Arunachal Pradesh District 4,9259,83089
arunachal-pradesh,2020,3,Arunachal Pradesh District 5,7393,66343
arunachal-pradesh,2020,4,Arunachal Pradesh District 1,50590,328944
arunachal-pradesh,2020,4,Arunachal Pradesh District 2,22562,146705
arunachal-pradesh,2020,4,Arunachal Pradesh District 3,14619,95059
arunachal-pradesh,2020,4,Arunachal Pradesh District 4,11367,73911
arunachal-pradesh,2020,4,Arunachal Pradesh District 5,9076,59015
arunachal-pradesh,2021,1,Arunachal Pradesh District 1,41072,335122
arunachal-pradesh,2021,1,Arunachal Pradesh District 2,18317,149460
arunachal-pradesh,2021,1,Arunachal Pradesh District 3,11869,96844
arunachal-pradesh,2021,1,Arunachal Pradesh District 4,9228,75299
arunachal-pradesh,2021,1,Arunachal Pradesh District 5,7368,60123
arunachal-pradesh,2021,2,Arunachal Pradesh District 1,39333,304872
arunachal-pradesh,2021,2,Arunachal Pradesh District 2,17542,135969
arunachal-pradesh,2021,2,Arunachal Pradesh District 3,11366,88102
arunachal-pradesh,2021,2,Arunachal Pradesh District 4,8837,68502
arunachal-pradesh,2021,2,Arunachal Pradesh District 5,7056,54696
arunachal-pradesh,2021,3,Arunachal Pradesh District 1,48118,416070
arunachal-pradesh,2021,3,Arunachal Pradesh District 2,21460,185562
arunachal-pradesh,2021,3,Arunachal Pradesh District 3,13905,120237
arunachal-pradesh,2021,3,Arunachal Pradesh District 4,10811,93487
arunachal-pradesh,2021,3,Arunachal Pradesh District 5,8632,74646
arunachal-pradesh,2021,4,Arunachal Pradesh District 1,54222,403593
arunachal-pradesh,2021,4,Arunachal Pradesh District 2,24182,179997
arunachal-pradesh,2021,4,Arunachal Pradesh District 3,15669,116631
arunachal-pradesh,2021,4,Arunachal Pradesh District 4,12183,90684
arunachal-pradesh,2021,4,Arunachal Pradesh District 5,9727,72407
arunachal-pradesh,2022,1,Arunachal Pradesh District 1,43981,332418
arunachal-pradesh,2022,1,Arunachal Pradesh District 2,19615,148254
arunachal-pradesh,2022,1,Arunachal Pradesh District 3,12709,96063
arunachal-pradesh,2022,1,Arunachal Pradesh District 4,9882,74691
arunachal-pradesh,2022,1,Arunachal Pradesh District 5,7890,59638
arunachal-pradesh,2022,2,Arunachal Pradesh District 1,50675,384283
arunachal-pradesh,2022,2,Arunachal Pradesh District 2,22600,171385
arunachal-pradesh,2022,2,Arunachal Pradesh District 3,14644,111051
arunachal-pradesh,2022,2,Arunachal Pradesh District 4,11386,86345
arunachal-pradesh,2022,2,Arunachal Pradesh District 5,9091,68943
arunachal-pradesh,2022,3,Arunachal Pradesh District 1,54099,404377
arunachal-pradesh,2022,3,Arunachal Pradesh District 2,24127,180347
arunachal-pradesh,2022,3,Arunachal Pradesh District 3,15633,116858
arunachal-pradesh,2022,3,Arunachal Pradesh District 4,12155,90860
arunachal-pradesh,2022,3,Arunachal Pradesh District 5,9705,72548
arunachal-pradesh,2022,4,Arunachal Pradesh District 1,58638,491861
arunachal-pradesh,2022,4,Arunachal Pradesh District 2,26151,219364
arunachal-pradesh,2022,4,Arunachal Pradesh District 3,16945,142139
arunachal-pradesh,2022,4,Arunachal Pradesh District 4,13175,110517
arunachal-pradesh,2022,4,Arunachal Pradesh District 5,10520,88243
arunachal-pradesh,2023,1,Arunachal Pradesh District 1,48884,360418
arunachal-pradesh,2023,1,Arunachal Pradesh District 2,21802,160742
arunachal-pradesh,2023,1,Arunachal Pradesh District 3,14126,104154
arunachal-pradesh,2023,1,Arunachal Pradesh District 4,10984,80983
arunachal-pradesh,2023,1,Arunachal Pradesh District 5,8770,64661
arunachal-pradesh,2023,2,Arunachal Pradesh District 1,58883,559197
arunachal-pradesh,2023,2,Arunachal Pradesh District 2,26261,249395
arunachal-pradesh,2023,2,Arunachal Pradesh District 3,17016,161598
arunachal-pradesh,2023,2,Arunachal Pradesh District 4,13230,125647
arunachal-pradesh,2023,2,Arunachal Pradesh District 5,10564,100324
arunachal-pradesh,2023,3,Arunachal Pradesh District 1,53255,476848
arunachal-pradesh,2023,3,Arunachal Pradesh District 2,23751,212668
arunachal-pradesh,2023,3,Arunachal Pradesh District 3,15389,137801
arunachal-pradesh,2023,3,Arunachal Pradesh District 4,11966,107144
arunachal-pradesh,2023,3,Arunachal Pradesh District 5,9554,85550
arunachal-pradesh,2023,4,Arunachal Pradesh District 1,66936,565867
arunachal-pradesh,2023,4,Arunachal Pradesh District 2,29852,252369
arunachal-pradesh,2023,4,Arunachal Pradesh District 3,19343,163526
arunachal-pradesh,2023,4,Arunachal Pradesh District 4,15040,127145
arunachal-pradesh,2023,4,Arunachal Pradesh District 5,12008,101520
assam,2018,1,Assam District 1,190436,1408893
assam,2018,1,Assam District 2,74534,551424
assam,2018,1,Assam District 3,53263,394052
assam,2018,1,Assam District 4,33194,245580
assam,2018,1,Assam District 5,29992,221894
assam,2018,2,Assam District 1,265426,2174631
assam,2018,2,Assam District 2,103884,851126
assam,2018,2,Assam District 3,74237,608221
assam,2018,2,Assam District 4,46265,379055
assam,2018,2,Assam District 5,41803,342494
assam,2018,3,Assam District 1,259984,1781274
assam,2018,3,Assam District 2,101754,697170
assam,2018,3,Assam District 3,72714,498203
assam,2018,3,Assam District 4,45317,310489
assam,2018,3,Assam District 5,40946,280542
assam,2018,4,Assam District 1,375302,3093279
assam,2018,4,Assam District 2,146889,1210674
assam,2018,4,Assam District 3,104968,865157
assam,2018,4,Assam District 4,65418,539182
assam,2018,4,Assam District 5,59108,487176
assam,2019,1,Assam District 1,288217,1917567
assam,2019,1,Assam District 2,112804,750514
assam,2019,1,Assam District 3,80611,536323
assam,2019,1,Assam District 4,50238,334246
assam,2019,1,Assam District 5,45392,302007
assam,2019,2,Assam District 1,299475,2824955
assam,2019,2,Assam District 2,117211,1105655
assam,2019,2,Assam District 3,83760,790110
assam,2019,2,Assam District 4,52200,492411
assam,2019,2,Assam District 5,47165,444917
assam,2019,3,Assam District 1,375803,2963993
assam,2019,3,Assam District 2,147085,1160073
assam,2019,3,Assam District 3,105108,828997
assam,2019,3,Assam District 4,65505,516646
assam,2019,3,Assam District 5,59187,466815
assam,2019,4,Assam District 1,472888,3616329
assam,2019,4,Assam District 2,185083,1415390
