state,year,quarter,district,policy_count,premium_amount
andaman-&-nicobar-islands,2021,3,Andaman And Nicobar Islands District 2,195,90343.14
andaman-&-nicobar-islands,2021,3,Andaman And Nicobar Islands District 3,118,54665.06
andaman-&-nicobar-islands,2021,3,Andaman And Nicobar Islands District 4,89,41480.79
andaman-&-nicobar-islands,2021,3,Andaman And Nicobar Islands District 5,63,29459.5
andaman-&-nicobar-islands,2021,4,Andaman And Nicobar Islands District 1,462,213391.44
andaman-&-nicobar-islands,2021,4,Andaman And Nicobar Islands District 2,210,96871.49
andaman-&-nicobar-islands,2021,4,Andaman And Nicobar Islands District 3,127,58615.25
andaman-&-nicobar-islands,2021,4,Andaman And Nicobar Islands District 4,96,44478.26
andaman-&-nicobar-islands,2021,4,Andaman And Nicobar Islands District 5,68,31588.29
andaman-&-nicobar-islands,2022,1,Andaman And Nicobar Islands District 1,424,196051.29
andaman-&-nicobar-islands,2022,1,Andaman And Nicobar Islands District 2,192,88999.72
andaman-&-nicobar-islands,2022,1,Andaman And Nicobar Islands District 3,116,53852.18
andaman-&-nicobar-islands,2022,1,Andaman And Nicobar Islands District 4,88,40863.97
andaman-&-nicobar-islands,2022,1,Andaman And Nicobar Islands District 5,62,29021.43
andaman-&-nicobar-islands,2022,2,Andaman And Nicobar Islands District 1,472,217884.38
andaman-&-nicobar-islands,2022,2,Andaman And Nicobar Islands District 2,214,98911.1
andaman-&-nicobar-islands,2022,2,Andaman And Nicobar Islands District 3,129,59849.38
andaman-&-nicobar-islands,2022,2,Andaman And Nicobar Islands District 4,98,45414.75
andaman-&-nicobar-islands,2022,2,Andaman And Nicobar Islands District 5,69,32253.38
andaman-&-nicobar-islands,2022,3,Andaman And Nicobar Islands District 1,541,249948.0
andaman-&-nicobar-islands,2022,3,Andaman And Nicobar Islands District 2,246,113466.75
andaman-&-nicobar-islands,2022,3,Andaman And Nicobar Islands District 3,148,68656.75
andaman-&-nicobar-islands,2022,3,Andaman And Nicobar Islands District 4,112,52097.93
andaman-&-nicobar-islands,2022,3,Andaman And Nicobar Islands District 5,80,36999.75
andaman-&-nicobar-islands,2022,4,Andaman And Nicobar Islands District 1,637,293978.41
andaman-&-nicobar-islands,2022,4,Andaman And Nicobar Islands District 2,289,133454.86
andaman-&-nicobar-islands,2022,4,Andaman And Nicobar Islands District 3,175,80751.21
andaman-&-nicobar-islands,2022,4,Andaman And Nicobar Islands District 4,132,61275.41
andaman-&-nicobar-islands,2022,4,Andaman And Nicobar Islands District 5,94,43517.56
andaman-&-nicobar-islands,2023,1,Andaman And Nicobar Islands District 1,503,232277.64
andaman-&-nicobar-islands,2023,1,Andaman And Nicobar Islands District 2,228,105445.09
andaman-&-nicobar-islands,2023,1,Andaman And Nicobar Islands District 3,138,63802.99
andaman-&-nicobar-islands,2023,1,Andaman And Nicobar Islands District 4,104,48414.81
andaman-&-nicobar-islands,2023,1,Andaman And Nicobar Islands District 5,74,34384.01
andaman-&-nicobar-islands,2023,2,Andaman And Nicobar Islands District 1,618,285178.98
andaman-&-nicobar-islands,2023,2,Andaman And Nicobar Islands District 2,280,129460.26
andaman-&-nicobar-islands,2023,2,Andaman And Nicobar Islands District 3,169,78334.14
andaman-&-nicobar-islands,2023,2,Andaman And Nicobar Islands District 4,128,59441.3
andaman-&-nicobar-islands,2023,2,Andaman And Nicobar Islands District 5,91,42214.98
andaman-&-nicobar-islands,2023,3,Andaman And Nicobar Islands District 1,639,294848.96
andaman-&-nicobar-islands,2023,3,Andaman And Nicobar Islands District 2,290,133850.06
andaman-&-nicobar-islands,2023,3,Andaman And Nicobar Islands District 3,175,80990.33
andaman-&-nicobar-islands,2023,3,Andaman And Nicobar Islands District 4,133,61456.87
andaman-&-nicobar-islands,2023,3,Andaman And Nicobar Islands District 5,94,43646.43
andaman-&-nicobar-islands,2023,4,Andaman And Nicobar Islands District 1,692,319151.59
andaman-&-nicobar-islands,2023,4,Andaman And Nicobar Islands District 2,314,144882.51
andaman-&-nicobar-islands,2023,4,Andaman And Nicobar Islands District 3,190,87665.88
andaman-&-nicobar-islands,2023,4,Andaman And Nicobar Islands District 4,144,66522.39
andaman-&-nicobar-islands,2023,4,Andaman And Nicobar Islands District 5,102,47243.94
andhra-pradesh,2020,1,Visakhapatnam,13347,7394638.59
andhra-pradesh,2020,1,Krishna,6158,3411780.49
andhra-pradesh,2020,1,Guntur,3653,2024017.82
andhra-pradesh,2020,1,East Godavari,2555,1415933.35
andhra-pradesh,2020,1,Chittoor,2064,1143871.94
andhra-pradesh,2020,1,West Godavari,1613,894026.2
andhra-pradesh,2020,2,Visakhapatnam,14770,8182915.52
andhra-pradesh,2020,2,Krishna,6814,3775480.19
andhra-pradesh,2020,2,Guntur,4042,2239780.44
andhra-pradesh,2020,2,East Godavari,2828,1566873.46
andhra-pradesh,2020,2,Chittoor,2284,1265810.0
andhra-pradesh,2020,2,West Godavari,1785,989330.42
andhra-pradesh,2020,3,Visakhapatnam,18860,10448958.66
andhra-pradesh,2020,3,Krishna,8702,4821000.09
andhra-pradesh,2020,3,Guntur,5162,2860028.69
andhra-pradesh,2020,3,East Godavari,3611,2000777.84
andhra-pradesh,2020,3,Chittoor,2917,1616342.77
andhra-pradesh,2020,3,West Godavari,2280,1263299.45
andhra-pradesh,2020,4,Visakhapatnam,22261,12332898.0
andhra-pradesh,2020,4,Krishna,10270,5690222.75
andhra-pradesh,2020,4,Guntur,6093,3375689.7
andhra-pradesh,2020,4,East Godavari,4262,2361516.57
andhra-pradesh,2020,4,Chittoor,3443,1907768.15
andhra-pradesh,2020,4,West Godavari,2691,1491071.38
andhra-pradesh,2021,1,Visakhapatnam,19690,10908336.0
andhra-pradesh,2021,1,Krishna,9084,5032950.22
andhra-pradesh,2021,1,Guntur,5389,2985766.81
andhra-pradesh,2021,1,East Godavari,3770,2088739.91
andhra-pradesh,2021,1,Chittoor,3045,1687403.56
andhra-pradesh,2021,1,West Godavari,2380,1318839.06
andhra-pradesh,2021,2,Visakhapatnam,20836,11543476.64
andhra-pradesh,2021,2,Krishna,9613,5325995.03
andhra-pradesh,2021,2,Guntur,5703,3159613.84
andhra-pradesh,2021,2,East Godavari,3989,2210357.32
andhra-pradesh,2021,2,Chittoor,3223,1785653.06
andhra-pradesh,2021,2,West Godavari,2519,1395628.8
andhra-pradesh,2021,3,Visakhapatnam,20803,11524965.44
andhra-pradesh,2021,3,Krishna,9598,5317454.22
andhra-pradesh,2021,3,Guntur,5694,3154547.06
andhra-pradesh,2021,3,East Godavari,3983,2206812.77
andhra-pradesh,2021,3,Chittoor,3218,1782789.58
andhra-pradesh,2021,3,West Godavari,2515,1393390.76
andhra-pradesh,2021,4,Visakhapatnam,25839,14315444.44
andhra-pradesh,2021,4,Krishna,11922,6604941.33
andhra-pradesh,2021,4,Guntur,7072,3918340.88
andhra-pradesh,2021,4,East Godavari,4947,2741136.69
andhra-pradesh,2021,4,Chittoor,3997,2214447.0
andhra-pradesh,2021,4,West Godavari,3124,1730765.1
andhra-pradesh,2022,1,Visakhapatnam,23455,12994481.57
andhra-pradesh,2022,1,Krishna,10822,5995467.95
andhra-pradesh,2022,1,Guntur,6420,3556774.54
andhra-pradesh,2022,1,East Godavari,4491,2488197.3
andhra-pradesh,2022,1,Chittoor,3628,2010108.09
andhra-pradesh,2022,1,West Godavari,2835,1571058.12
andhra-pradesh,2022,2,Visakhapatnam,27709,15351487.37
andhra-pradesh,2022,2,Krishna,12784,7082956.72
andhra-pradesh,2022,2,Guntur,7584,4201920.57
andhra-pradesh,2022,2,East Godavari,5305,2939519.31
andhra-pradesh,2022,2,Chittoor,4286,2374711.82
andhra-pradesh,2022,2,West Godavari,3350,1856024.71
andhra-pradesh,2022,3,Visakhapatnam,26814,14855532.54
andhra-pradesh,2022,3,Krishna,12372,6854130.25
andhra-pradesh,2022,3,Guntur,7339,4066170.68
andhra-pradesh,2022,3,East Godavari,5134,2844553.34
andhra-pradesh,2022,3,Chittoor,4147,2297992.89
andhra-pradesh,2022,3,West Godavari,3241,1796062.81
andhra-pradesh,2022,4,Visakhapatnam,35104,19448062.66
andhra-pradesh,2022,4,Krishna,16196,8973057.96
andhra-pradesh,2022,4,Guntur,9608,5323211.53
andhra-pradesh,2022,4,East Godavari,6721,3723935.95
andhra-pradesh,2022,4,Chittoor,5430,3008408.45
andhra-pradesh,2022,4,West Godavari,4244,2351308.64
andhra-pradesh,2023,1,Visakhapatnam,26145,14484429.23
andhra-pradesh,2023,1,Krishna,12062,6682908.49
andhra-pradesh,2023,1,Guntur,7156,3964594.42
andhra-pradesh,2023,1,East Godavari,5006,2773494.08
andhra-pradesh,2023,1,Chittoor,4044,2240587.15
andhra-pradesh,2023,1,West Godavari,3160,1751195.69
andhra-pradesh,2023,2,Visakhapatnam,29505,16346078.96
andhra-pradesh,2023,2,Krishna,13613,7541847.05
andhra-pradesh,2023,2,Guntur,8076,4474154.45
andhra-pradesh,2023,2,East Godavari,5649,3129964.78
andhra-pradesh,2023,2,Chittoor,4564,2528564.56
andhra-pradesh,2023,2,West Godavari,3567,1976272.77
andhra-pradesh,2023,3,Visakhapatnam,36222,20067410.03
andhra-pradesh,2023,3,Krishna,16712,9258815.98
andhra-pradesh,2023,3,Guntur,9914,5492735.72
andhra-pradesh,2023,3,East Godavari,6935,3842529.25
andhra-pradesh,2023,3,Chittoor,5603,3104214.9
andhra-pradesh,2023,3,West Godavari,4379,2426188.94
andhra-pradesh,2023,4,Visakhapatnam,40533,22455412.21
andhra-pradesh,2023,4,Krishna,18701,10360606.04
andhra-pradesh,2023,4,Guntur,11094,6146365.9
andhra-pradesh,2023,4,East Godavari,7761,4299786.48
andhra-pradesh,2023,4,Chittoor,6270,3473613.44
andhra-pradesh,2023,4,West Godavari,4900,2714903.06
arunachal-pradesh,2020,1,Arunachal Pradesh District 1,426,156987.31
arunachal-pradesh,2020,1,Arunachal Pradesh District 2,190,70014.43
arunachal-pradesh,2020,1,Arunachal Pradesh District 3,123,45366.71
arunachal-pradesh,2020,1,Arunachal Pradesh District 4,95,35273.81
arunachal-pradesh,2020,1,Arunachal Pradesh District 5,76,28164.67
arunachal-pradesh,2020,2,Arunachal Pradesh District 1,439,161802.26
arunachal-pradesh,2020,2,Arunachal Pradesh District 2,195,72161.83
arunachal-pradesh,2020,2,Arunachal Pradesh District 3,126,46758.15
arunachal-pradesh,2020,2,Arunachal Pradesh District 4,98,36355.69
arunachal-pradesh,2020,2,Arunachal Pradesh District 5,78,29028.51
arunachal-pradesh,2020,3,Arunachal Pradesh District 1,490,180520.0
arunachal-pradesh,2020,3,Arunachal Pradesh District 2,218,80509.72
arunachal-pradesh,2020,3,Arunachal Pradesh District 3,141,52167.26
arunachal-pradesh,2020,3,Arunachal Pradesh District 4,110,40561.42
arunachal-pradesh,2020,3,Arunachal Pradesh District 5,87,32386.61
arunachal-pradesh,2020,4,Arunachal Pradesh District 1,594,218781.37
arunachal-pradesh,2020,4,Arunachal Pradesh District 2,264,97573.83
arunachal-pradesh,2020,4,Arunachal Pradesh District 3,171,63224.16
arunachal-pradesh,2020,4,Arunachal Pradesh District 4,133,49158.45
arunachal-pradesh,2020,4,Arunachal Pradesh District 5,106,39250.97
arunachal-pradesh,2021,1,Arunachal Pradesh District 1,478,176272.26
arunachal-pradesh,2021,1,Arunachal Pradesh District 2,213,78615.28
arunachal-pradesh,2021,1,Arunachal Pradesh District 3,138,50939.74
arunachal-pradesh,2021,1,Arunachal Pradesh District 4,107,39606.98
arunachal-pradesh,2021,1,Arunachal Pradesh District 5,85,31624.53
arunachal-pradesh,2021,2,Arunachal Pradesh District 1,603,222217.67
arunachal-pradesh,2021,2,Arunachal Pradesh District 2,269,99106.37
arunachal-pradesh,2021,2,Arunachal Pradesh District 3,174,64217.19
arunachal-pradesh,2021,2,Arunachal Pradesh District 4,135,49930.55
arunachal-pradesh,2021,2,Arunachal Pradesh District 5,108,39867.47
arunachal-pradesh,2021,3,Arunachal Pradesh District 1,647,238157.34
arunachal-pradesh,2021,3,Arunachal Pradesh District 2,288,106215.27
arunachal-pradesh,2021,3,Arunachal Pradesh District 3,186,68823.49
arunachal-pradesh,2021,3,Arunachal Pradesh District 4,145,53512.07
arunachal-pradesh,2021,3,Arunachal Pradesh District 5,116,42727.16
arunachal-pradesh,2021,4,Arunachal Pradesh District 1,735,270853.39
arunachal-pradesh,2021,4,Arunachal Pradesh District 2,328,120797.31
arunachal-pradesh,2021,4,Arunachal Pradesh District 3,212,78272.1
arunachal-pradesh,2021,4,Arunachal Pradesh District 4,165,60858.62
arunachal-pradesh,2021,4,Arunachal Pradesh District 5,132,48593.07
arunachal-pradesh,2022,1,Arunachal Pradesh District 1,715,263277.81
arunachal-pradesh,2022,1,Arunachal Pradesh District 2,318,117418.69
arunachal-pradesh,2022,1,Arunachal Pradesh District 3,206,76082.89
arunachal-pradesh,2022,1,Arunachal Pradesh District 4,160,59156.44
arunachal-pradesh,2022,1,Arunachal Pradesh District 5,128,47233.96
arunachal-pradesh,2022,2,Arunachal Pradesh District 1,735,270791.12
arunachal-pradesh,2022,2,Arunachal Pradesh District 2,328,120769.54
arunachal-pradesh,2022,2,Arunachal Pradesh District 3,212,78254.11
arunachal-pradesh,2022,2,Arunachal Pradesh District 4,165,60844.62
arunachal-pradesh,2022,2,Arunachal Pradesh District 5,132,48581.9
arunachal-pradesh,2022,3,Arunachal Pradesh District 1,859,316207.54
arunachal-pradesh,2022,3,Arunachal Pradesh District 2,383,141024.71
arunachal-pradesh,2022,3,Arunachal Pradesh District 3,248,91378.7
arunachal-pradesh,2022,3,Arunachal Pradesh District 4,193,71049.34
arunachal-pradesh,2022,3,Arunachal Pradesh District 5,154,56729.94
arunachal-pradesh,2022,4,Arunachal Pradesh District 1,1047,385490.95
arunachal-pradesh,2022,4,Arunachal Pradesh District 2,467,171924.26
arunachal-pradesh,2022,4,Arunachal Pradesh District 3,302,111400.44
arunachal-pradesh,2022,4,Arunachal Pradesh District 4,235,86616.77
arunachal-pradesh,2022,4,Arunachal Pradesh District 5,187,69159.89
arunachal-pradesh,2023,1,Arunachal Pradesh District 1,922,339498.04
arunachal-pradesh,2023,1,Arunachal Pradesh District 2,411,151411.99
arunachal-pradesh,2023,1,Arunachal Pradesh District 3,266,98109.26
arunachal-pradesh,2023,1,Arunachal Pradesh District 4,207,76282.53
arunachal-pradesh,2023,1,Arunachal Pradesh District 5,165,60908.43
arunachal-pradesh,2023,2,Arunachal Pradesh District 1,954,351419.15
arunachal-pradesh,2023,2,Arunachal Pradesh District 2,425,156728.66
arunachal-pradesh,2023,2,Arunachal Pradesh District 3,275,101554.26
arunachal-pradesh,2023,2,Arunachal Pradesh District 4,214,78961.11
arunachal-pradesh,2023,2,Arunachal Pradesh District 5,171,63047.16
arunachal-pradesh,2023,3,Arunachal Pradesh District 1,945,348039.34
arunachal-pradesh,2023,3,Arunachal Pradesh District 2,421,155221.3
arunachal-pradesh,2023,3,Arunachal Pradesh District 3,273,100577.55
arunachal-pradesh,2023,3,Arunachal Pradesh District 4,212,78201.69
arunachal-pradesh,2023,3,Arunachal Pradesh District 5,169,62440.8
arunachal-pradesh,2023,4,Arunachal Pradesh District 1,1354,498633.51
arunachal-pradesh,2023,4,Arunachal Pradesh District 2,604,222384.47
arunachal-pradesh,2023,4,Arunachal Pradesh District 3,391,144096.75
arunachal-pradesh,2023,4,Arunachal Pradesh District 4,304,112039.01
arunachal-pradesh,2023,4,Arunachal Pradesh District 5,243,89458.49
assam,2020,1,Assam District 1,4743,1980884.07
assam,2020,1,Assam District 2,1856,775295.56
assam,2020,1,Assam District 3,1326,554032.29
assam,2020,1,Assam District 4,826,345283.3
assam,2020,1,Assam District 5,747,311979.93
assam,2020,2,Assam District 1,5764,2407404.48
assam,2020,2,Assam District 2,2256,942230.82
assam,2020,2,Assam District 3,1612,673325.53
assam,2020,2,Assam District 4,1004,419629.08
assam,2020,2,Assam District 5,907,379154.89
assam,2020,3,Assam District 1,6424,2682985.37
assam,2020,3,Assam District 2,2514,1050090.05
assam,2020,3,Assam District 3,1796,750402.58
assam,2020,3,Assam District 4,1119,467664.94
assam,2020,3,Assam District 5,1011,422557.58
assam,2020,4,Assam District 1,6478,2705425.56
assam,2020,4,Assam District 2,2535,1058872.89
assam,2020,4,Assam District 3,1811,756678.86
assam,2020,4,Assam District 4,1129,471576.44
assam,2020,4,Assam District 5,1020,426091.81
assam,2021,1,Assam District 1,5341,2230824.09
assam,2021,1,Assam District 2,2090,873119.25
assam,2021,1,Assam District 3,1494,623937.86
assam,2021,1,Assam District 4,931,388849.76
assam,2021,1,Assam District 5,841,351344.31
assam,2021,2,Assam District 1,7054,2946306.63
assam,2021,2,Assam District 2,2761,1153151.01
assam,2021,2,Assam District 3,1973,824050.75
assam,2021,2,Assam District 4,1229,513563.86
assam,2021,2,Assam District 5,1111,464029.44
assam,2021,3,Assam District 1,7183,2999942.08
assam,2021,3,Assam District 2,2811,1174143.31
assam,2021,3,Assam District 3,2009,839052.01
assam,2021,3,Assam District 4,1252,522912.93
assam,2021,3,Assam District 5,1131,472476.77
assam,2021,4,Assam District 1,9097,3799401.76
assam,2021,4,Assam District 2,3560,1487042.76
assam,2021,4,Assam District 3,2544,1062652.41
assam,2021,4,Assam District 4,1585,662264.89
assam,2021,4,Assam District 5,1432,598387.92
assam,2022,1,Assam District 1,7839,3274040.9
assam,2022,1,Assam District 2,3068,1281422.48
assam,2022,1,Assam District 3,2192,915714.55
assam,2022,1,Assam District 4,1366,570690.46
assam,2022,1,Assam District 5,1234,515646.05
assam,2022,2,Assam District 1,8326,3477047.09
assam,2022,2,Assam District 2,3258,1360876.8
assam,2022,2,Assam District 3,2328,972493.23
assam,2022,2,Assam District 4,1451,606075.99
assam,2022,2,Assam District 5,1311,547618.57
assam,2022,3,Assam District 1,10235,4274393.1
assam,2022,3,Assam District 2,4005,1672948.99
assam,2022,3,Assam District 3,2862,1195502.46
assam,2022,3,Assam District 4,1784,745059.52
assam,2022,3,Assam District 5,1612,673196.82
assam,2022,4,Assam District 1,10404,4344853.16
assam,2022,4,Assam District 2,4072,1700526.26
assam,2022,4,Assam District 3,2909,1215209.39
assam,2022,4,Assam District 4,1813,757341.25
assam,2022,4,Assam District 5,1638,684293.95
assam,2023,1,Assam District 1,10176,4249990.99
assam,2023,1,Assam District 2,3983,1663398.28
assam,2023,1,Assam District 3,2846,1188677.45
assam,2023,1,Assam District 4,1773,740806.05
assam,2023,1,Assam District 5,1602,669353.6
assam,2023,2,Assam District 1,10724,4478749.99
assam,2023,2,Assam District 2,4197,1752931.96
assam,2023,2,Assam District 3,2999,1252658.92
assam,2023,2,Assam District 4,1869,780680.5
assam,2023,2,Assam District 5,1689,705382.07
assam,2023,3,Assam District 1,11217,4684565.17
assam,2023,3,Assam District 2,4390,1833485.69
assam,2023,3,Assam District 3,3137,1310223.24
assam,2023,3,Assam District 4,1955,816555.66
assam,2023,3,Assam District 5,1766,737796.99
assam,2023,4,Assam District 1,12873,5376274.93
assam,2023,4,Assam District 2,5038,2104213.04
assam,2023,4,Assam District 3,3600,1503687.13
assam,2023,4,Assam District 4,2244,937125.98
assam,2023,4,Assam District 5,2027,846738.03
bihar,2020,1,Patna,8266,3144724.71
bihar,2020,1,Gaya,3827,1456149.86
bihar,2020,1,Muzaffarpur,2074,789169.41
bihar,2020,1,Bhagalpur,1759,669372.23
bihar,2020,1,Darbhanga,1222,465118.97
bihar,2020,2,Patna,8920,3393522.06
bihar,2020,2,Gaya,4130,1571354.29
bihar,2020,2,Muzaffarpur,2238,851605.16
bihar,2020,2,Bhagalpur,1898,722330.13
bihar,2020,2,Darbhanga,1319,501917.22
bihar,2020,3,Patna,9527,3624460.09
bihar,2020,3,Gaya,4411,1678289.05
bihar,2020,3,Muzaffarpur,2391,909559.11
bihar,2020,3,Bhagalpur,2028,771486.58
bihar,2020,3,Darbhanga,1409,536074.0
bihar,2020,4,Patna,12379,4709082.83
bihar,2020,4,Gaya,5732,2180518.46
bihar,2020,4,Muzaffarpur,3106,1181745.45
bihar,2020,4,Bhagalpur,2635,1002354.59
bihar,2020,4,Darbhanga,1830,696494.59
bihar,2021,1,Patna,10828,4119265.4
bihar,2021,1,Gaya,5014,1907406.3
bihar,2021,1,Muzaffarpur,2717,1033730.62
bihar,2021,1,Bhagalpur,2304,876808.66
bihar,2021,1,Darbhanga,1601,609257.94
bihar,2021,2,Patna,10802,4109402.07
bihar,2021,2,Gaya,5002,1902839.13
bihar,2021,2,Muzaffarpur,2710,1031255.42
bihar,2021,2,Bhagalpur,2299,874709.19
bihar,2021,2,Darbhanga,1597,607799.11
bihar,2021,3,Patna,13254,5042037.56
bihar,2021,3,Gaya,6137,2334691.57
bihar,2021,3,Muzaffarpur,3326,1265300.51
bihar,2021,3,Bhagalpur,2821,1073225.87
bihar,2021,3,Darbhanga,1960,745740.1
bihar,2021,4,Patna,13214,5026930.76
bihar,2021,4,Gaya,6118,2327696.44
bihar,2021,4,Muzaffarpur,3316,1261509.46
bihar,2021,4,Bhagalpur,2812,1070010.3
bihar,2021,4,Darbhanga,1954,743505.74
bihar,2022,1,Patna,11612,4417740.82
bihar,2022,1,Gaya,5377,2045613.93
bihar,2022,1,Muzaffarpur,2914,1108633.1
bihar,2022,1,Bhagalpur,2471,940340.82
bihar,2022,1,Darbhanga,1717,653403.8
bihar,2022,2,Patna,14340,5455013.56
bihar,2022,2,Gaya,6640,2525918.15
bihar,2022,2,Muzaffarpur,3598,1368936.94
bihar,2022,2,Bhagalpur,3052,1161130.12
bihar,2022,2,Darbhanga,2120,806821.12
bihar,2022,3,Patna,15414,5863657.06
bihar,2022,3,Gaya,7137,2715138.59
bihar,2022,3,Muzaffarpur,3868,1471486.12
bihar,2022,3,Bhagalpur,3281,1248112.17
bihar,2022,3,Darbhanga,2279,867261.33
bihar,2022,4,Patna,17113,6510265.92
bihar,2022,4,Gaya,7924,3014547.75
bihar,2022,4,Muzaffarpur,4294,1633752.77
bihar,2022,4,Bhagalpur,3642,1385746.48
bihar,2022,4,Darbhanga,2531,962897.7
bihar,2023,1,Patna,14814,5635370.08
bihar,2023,1,Gaya,6859,2609431.38
bihar,2023,1,Muzaffarpur,3717,1414197.45
bihar,2023,1,Bhagalpur,3153,1199520.01
bihar,2023,1,Darbhanga,2191,833496.66
bihar,2023,2,Patna,18055,6868197.88
bihar,2023,2,Gaya,8360,3180286.45
bihar,2023,2,Muzaffarpur,4530,1723575.88
bihar,2023,2,Bhagalpur,3843,1461934.3
bihar,2023,2,Darbhanga,2670,1015837.45
bihar,2023,3,Patna,18123,6894353.24
bihar,2023,3,Gaya,8392,3192397.56
bihar,2023,3,Muzaffarpur,4548,1730139.57
bihar,2023,3,Bhagalpur,3857,1467501.61
bihar,2023,3,Darbhanga,2680,1019705.95
bihar,2023,4,Patna,20131,7657936.19
bihar,2023,4,Gaya,9321,3545971.02
bihar,2023,4,Muzaffarpur,5051,1921760.89
bihar,2023,4,Bhagalpur,4285,1630034.51
bihar,2023,4,Darbhanga,2977,1132643.31
chandigarh,2020,1,Chandigarh District 1,1039,737327.12
chandigarh,2020,1,Chandigarh District 2,540,383646.41
chandigarh,2020,1,Chandigarh District 3,308,218545.82
chandigarh,2020,1,Chandigarh District 4,231,164007.29
chandigarh,2020,1,Chandigarh District 5,187,133236.09
chandigarh,2020,2,Chandigarh District 1,1126,799005.04
chandigarh,2020,2,Chandigarh District 2,586,415738.7
chandigarh,2020,2,Chandigarh District 3,333,236827.33
chandigarh,2020,2,Chandigarh District 4,250,177726.61
chandigarh,2020,2,Chandigarh District 5,203,144381.38
chandigarh,2020,3,Chandigarh District 1,1362,966276.13
chandigarh,2020,3,Chandigarh District 2,709,502773.28
chandigarh,2020,3,Chandigarh District 3,403,286406.95
chandigarh,2020,3,Chandigarh District 4,303,214933.54
chandigarh,2020,3,Chandigarh District 5,246,174607.51
chandigarh,2020,4,Chandigarh District 1,1359,964054.99
chandigarh,2020,4,Chandigarh District 2,707,501617.57
chandigarh,2020,4,Chandigarh District 3,402,285748.6
chandigarh,2020,4,Chandigarh District 4,302,214439.49
chandigarh,2020,4,Chandigarh District 5,245,174206.14
chandigarh,2021,1,Chandigarh District 1,1270,901221.26
chandigarh,2021,1,Chandigarh District 2,661,468923.89
chandigarh,2021,1,Chandigarh District 3,376,267124.51
chandigarh,2021,1,Chandigarh District 4,282,200463.07
chandigarh,2021,1,Chandigarh District 5,229,162852.0
chandigarh,2021,2,Chandigarh District 1,1387,984046.67
chandigarh,2021,2,Chandigarh District 2,722,512019.65
chandigarh,2021,2,Chandigarh District 3,411,291674.19
chandigarh,2021,2,Chandigarh District 4,308,218886.33
chandigarh,2021,2,Chandigarh District 5,250,177818.67
chandigarh,2021,3,Chandigarh District 1,1695,1202062.66
chandigarh,2021,3,Chandigarh District 2,882,625457.84
chandigarh,2021,3,Chandigarh District 3,502,356294.74
chandigarh,2021,3,Chandigarh District 4,377,267380.7
chandigarh,2021,3,Chandigarh District 5,306,217214.48
chandigarh,2021,4,Chandigarh District 1,1827,1295602.13
