state,year,quarter,brand,user_count,percentage
andaman-&-nicobar-islands,2020,4,Xiaomi,14089,0.26
andaman-&-nicobar-islands,2020,4,Samsung,10564,0.2
andaman-&-nicobar-islands,2020,4,Vivo,7383,0.145
andaman-&-nicobar-islands,2020,4,Oppo,6276,0.115
andaman-&-nicobar-islands,2020,4,Realme,4935,0.095
andaman-&-nicobar-islands,2020,4,OnePlus,2339,0.045
andaman-&-nicobar-islands,2020,4,Apple,1950,0.035
andaman-&-nicobar-islands,2020,4,Motorola,1093,0.02
andaman-&-nicobar-islands,2020,4,Others,4745,0.085
andaman-&-nicobar-islands,2021,1,Xiaomi,11318,0.26
andaman-&-nicobar-islands,2021,1,Samsung,8714,0.2
andaman-&-nicobar-islands,2021,1,Vivo,6616,0.145
andaman-&-nicobar-islands,2021,1,Oppo,5069,0.115
andaman-&-nicobar-islands,2021,1,Realme,4160,0.095
andaman-&-nicobar-islands,2021,1,OnePlus,2010,0.045
andaman-&-nicobar-islands,2021,1,Apple,1555,0.035
andaman-&-nicobar-islands,2021,1,Motorola,865,0.02
andaman-&-nicobar-islands,2021,1,Others,3526,0.085
andaman-&-nicobar-islands,2021,2,Xiaomi,11565,0.26
andaman-&-nicobar-islands,2021,2,Samsung,8095,0.2
andaman-&-nicobar-islands,2021,2,Vivo,6242,0.145
andaman-&-nicobar-islands,2021,2,Oppo,4782,0.115
andaman-&-nicobar-islands,2021,2,Realme,3863,0.095
andaman-&-nicobar-islands,2021,2,OnePlus,1858,0.045
andaman-&-nicobar-islands,2021,2,Apple,1460,0.035
andaman-&-nicobar-islands,2021,2,Motorola,846,0.02
andaman-&-nicobar-islands,2021,2,Others,3670,0.085
andaman-&-nicobar-islands,2021,3,Xiaomi,14160,0.26
andaman-&-nicobar-islands,2021,3,Samsung,10753,0.2
andaman-&-nicobar-islands,2021,3,Vivo,8136,0.145
andaman-&-nicobar-islands,2021,3,Oppo,6170,0.115
andaman-&-nicobar-islands,2021,3,Realme,5253,0.095
andaman-&-nicobar-islands,2021,3,OnePlus,2464,0.045
andaman-&-nicobar-islands,2021,3,Apple,1997,0.035
andaman-&-nicobar-islands,2021,3,Motorola,1137,0.02
andaman-&-nicobar-islands,2021,3,Others,4515,0.085
andaman-&-nicobar-islands,2021,4,Xiaomi,16374,0.26
andaman-&-nicobar-islands,2021,4,Samsung,12028,0.2
andaman-&-nicobar-islands,2021,4,Vivo,9114,0.145
andaman-&-nicobar-islands,2021,4,Oppo,7130,0.115
andaman-&-nicobar-islands,2021,4,Realme,5430,0.095
andaman-&-nicobar-islands,2021,4,OnePlus,2826,0.045
andaman-&-nicobar-islands,2021,4,Apple,2137,0.035
andaman-&-nicobar-islands,2021,4,Motorola,1181,0.02
andaman-&-nicobar-islands,2021,4,Others,5154,0.085
andaman-&-nicobar-islands,2022,1,Xiaomi,12571,0.26
andaman-&-nicobar-islands,2022,1,Samsung,9786,0.2
andaman-&-nicobar-islands,2022,1,Vivo,7259,0.145
andaman-&-nicobar-islands,2022,1,Oppo,6048,0.115
andaman-&-nicobar-islands,2022,1,Realme,4823,0.095
andaman-&-nicobar-islands,2022,1,OnePlus,2218,0.045
andaman-&-nicobar-islands,2022,1,Apple,1718,0.035
andaman-&-nicobar-islands,2022,1,Motorola,998,0.02
andaman-&-nicobar-islands,2022,1,Others,4500,0.085
andaman-&-nicobar-islands,2022,2,Xiaomi,15025,0.26
andaman-&-nicobar-islands,2022,2,Samsung,11521,0.2
andaman-&-nicobar-islands,2022,2,Vivo,8063,0.145
andaman-&-nicobar-islands,2022,2,Oppo,6366,0.115
andaman-&-nicobar-islands,2022,2,Realme,5260,0.095
andaman-&-nicobar-islands,2022,2,OnePlus,2532,0.045
andaman-&-nicobar-islands,2022,2,Apple,1998,0.035
andaman-&-nicobar-islands,2022,2,Motorola,1121,0.02
andaman-&-nicobar-islands,2022,2,Others,4754,0.085
andaman-&-nicobar-islands,2022,3,Xiaomi,15775,0.26
andaman-&-nicobar-islands,2022,3,Samsung,12727,0.2
andaman-&-nicobar-islands,2022,3,Vivo,9292,0.145
andaman-&-nicobar-islands,2022,3,Oppo,7447,0.115
andaman-&-nicobar-islands,2022,3,Realme,5820,0.095
andaman-&-nicobar-islands,2022,3,OnePlus,2668,0.045
andaman-&-nicobar-islands,2022,3,Apple,2158,0.035
andaman-&-nicobar-islands,2022,3,Motorola,1212,0.02
andaman-&-nicobar-islands,2022,3,Others,5254,0.085
andaman-&-nicobar-islands,2022,4,Xiaomi,19394,0.26
andaman-&-nicobar-islands,2022,4,Samsung,14991,0.2
andaman-&-nicobar-islands,2022,4,Vivo,10541,0.145
andaman-&-nicobar-islands,2022,4,Oppo,7860,0.115
andaman-&-nicobar-islands,2022,4,Realme,6527,0.095
andaman-&-nicobar-islands,2022,4,OnePlus,3108,0.045
andaman-&-nicobar-islands,2022,4,Apple,2557,0.035
andaman-&-nicobar-islands,2022,4,Motorola,1376,0.02
andaman-&-nicobar-islands,2022,4,Others,6221,0.085
andaman-&-nicobar-islands,2023,1,Xiaomi,13408,0.26
andaman-&-nicobar-islands,2023,1,Samsung,10636,0.2
andaman-&-nicobar-islands,2023,1,Vivo,7510,0.145
andaman-&-nicobar-islands,2023,1,Oppo,5771,0.115
andaman-&-nicobar-islands,2023,1,Realme,4837,0.095
andaman-&-nicobar-islands,2023,1,OnePlus,2429,0.045
andaman-&-nicobar-islands,2023,1,Apple,1745,0.035
andaman-&-nicobar-islands,2023,1,Motorola,1083,0.02
andaman-&-nicobar-islands,2023,1,Others,4602,0.085
andaman-&-nicobar-islands,2023,2,Xiaomi,17239,0.26
andaman-&-nicobar-islands,2023,2,Samsung,12372,0.2
andaman-&-nicobar-islands,2023,2,Vivo,9137,0.145
andaman-&-nicobar-islands,2023,2,Oppo,7568,0.115
andaman-&-nicobar-islands,2023,2,Realme,6262,0.095
andaman-&-nicobar-islands,2023,2,OnePlus,2784,0.045
andaman-&-nicobar-islands,2023,2,Apple,2217,0.035
andaman-&-nicobar-islands,2023,2,Motorola,1266,0.02
andaman-&-nicobar-islands,2023,2,Others,5143,0.085
andaman-&-nicobar-islands,2023,3,Xiaomi,17543,0.26
andaman-&-nicobar-islands,2023,3,Samsung,13228,0.2
andaman-&-nicobar-islands,2023,3,Vivo,10405,0.145
andaman-&-nicobar-islands,2023,3,Oppo,8328,0.115
andaman-&-nicobar-islands,2023,3,Realme,6906,0.095
andaman-&-nicobar-islands,2023,3,OnePlus,3150,0.045
andaman-&-nicobar-islands,2023,3,Apple,2511,0.035
andaman-&-nicobar-islands,2023,3,Motorola,1352,0.02
andaman-&-nicobar-islands,2023,3,Others,5823,0.085
andaman-&-nicobar-islands,2023,4,Xiaomi,20992,0.26
andaman-&-nicobar-islands,2023,4,Samsung,16872,0.2
andaman-&-nicobar-islands,2023,4,Vivo,11546,0.145
andaman-&-nicobar-islands,2023,4,Oppo,9370,0.115
andaman-&-nicobar-islands,2023,4,Realme,7906,0.095
andaman-&-nicobar-islands,2023,4,OnePlus,3653,0.045
andaman-&-nicobar-islands,2023,4,Apple,2900,0.035
andaman-&-nicobar-islands,2023,4,Motorola,1621,0.02
andaman-&-nicobar-islands,2023,4,Others,6714,0.085
andhra-pradesh,2018,1,Xiaomi,311906,0.26
andhra-pradesh,2018,1,Samsung,227166,0.2
andhra-pradesh,2018,1,Vivo,168552,0.145
andhra-pradesh,2018,1,Oppo,137079,0.115
andhra-pradesh,2018,1,Realme,111991,0.095
andhra-pradesh,2018,1,OnePlus,50413,0.045
andhra-pradesh,2018,1,Apple,41754,0.035
andhra-pradesh,2018,1,Motorola,22726,0.02
andhra-pradesh,2018,1,Others,98987,0.085
andhra-pradesh,2018,2,Xiaomi,346715,0.26
andhra-pradesh,2018,2,Samsung,281559,0.2
andhra-pradesh,2018,2,Vivo,201010,0.145
andhra-pradesh,2018,2,Oppo,151347,0.115
andhra-pradesh,2018,2,Realme,128746,0.095
andhra-pradesh,2018,2,OnePlus,60537,0.045
andhra-pradesh,2018,2,Apple,45817,0.035
andhra-pradesh,2018,2,Motorola,28046,0.02
andhra-pradesh,2018,2,Others,115706,0.085
andhra-pradesh,2018,3,Xiaomi,467781,0.26
andhra-pradesh,2018,3,Samsung,346520,0.2
andhra-pradesh,2018,3,Vivo,253099,0.145
andhra-pradesh,2018,3,Oppo,203626,0.115
andhra-pradesh,2018,3,Realme,160179,0.095
andhra-pradesh,2018,3,OnePlus,76653,0.045
andhra-pradesh,2018,3,Apple,59933,0.035
andhra-pradesh,2018,3,Motorola,33427,0.02
andhra-pradesh,2018,3,Others,141596,0.085
andhra-pradesh,2018,4,Xiaomi,454876,0.26
andhra-pradesh,2018,4,Samsung,358010,0.2
andhra-pradesh,2018,4,Vivo,262602,0.145
andhra-pradesh,2018,4,Oppo,208795,0.115
andhra-pradesh,2018,4,Realme,163016,0.095
andhra-pradesh,2018,4,OnePlus,77081,0.045
andhra-pradesh,2018,4,Apple,60201,0.035
andhra-pradesh,2018,4,Motorola,35566,0.02
andhra-pradesh,2018,4,Others,149969,0.085
andhra-pradesh,2019,1,Xiaomi,417423,0.26
andhra-pradesh,2019,1,Samsung,347931,0.2
andhra-pradesh,2019,1,Vivo,249968,0.145
andhra-pradesh,2019,1,Oppo,198403,0.115
andhra-pradesh,2019,1,Realme,155910,0.095
andhra-pradesh,2019,1,OnePlus,79672,0.045
andhra-pradesh,2019,1,Apple,57213,0.035
andhra-pradesh,2019,1,Motorola,32471,0.02
andhra-pradesh,2019,1,Others,150052,0.085
andhra-pradesh,2019,2,Xiaomi,522114,0.26
andhra-pradesh,2019,2,Samsung,394978,0.2
andhra-pradesh,2019,2,Vivo,289411,0.145
andhra-pradesh,2019,2,Oppo,227909,0.115
andhra-pradesh,2019,2,Realme,197637,0.095
andhra-pradesh,2019,2,OnePlus,90002,0.045
andhra-pradesh,2019,2,Apple,67842,0.035
andhra-pradesh,2019,2,Motorola,40076,0.02
andhra-pradesh,2019,2,Others,176295,0.085
andhra-pradesh,2019,3,Xiaomi,560989,0.26
andhra-pradesh,2019,3,Samsung,446661,0.2
andhra-pradesh,2019,3,Vivo,318824,0.145
andhra-pradesh,2019,3,Oppo,250077,0.115
andhra-pradesh,2019,3,Realme,210965,0.095
andhra-pradesh,2019,3,OnePlus,96163,0.045
andhra-pradesh,2019,3,Apple,76699,0.035
andhra-pradesh,2019,3,Motorola,44557,0.02
andhra-pradesh,2019,3,Others,178069,0.085
andhra-pradesh,2019,4,Xiaomi,678731,0.26
andhra-pradesh,2019,4,Samsung,505485,0.2
andhra-pradesh,2019,4,Vivo,368199,0.145
andhra-pradesh,2019,4,Oppo,290237,0.115
andhra-pradesh,2019,4,Realme,242574,0.095
andhra-pradesh,2019,4,OnePlus,110571,0.045
andhra-pradesh,2019,4,Apple,91065,0.035
andhra-pradesh,2019,4,Motorola,51014,0.02
andhra-pradesh,2019,4,Others,217787,0.085
andhra-pradesh,2020,1,Xiaomi,616775,0.26
andhra-pradesh,2020,1,Samsung,479461,0.2
andhra-pradesh,2020,1,Vivo,332768,0.145
andhra-pradesh,2020,1,Oppo,254240,0.115
andhra-pradesh,2020,1,Realme,213105,0.095
andhra-pradesh,2020,1,OnePlus,104411,0.045
andhra-pradesh,2020,1,Apple,76985,0.035
andhra-pradesh,2020,1,Motorola,46725,0.02
andhra-pradesh,2020,1,Others,201189,0.085
andhra-pradesh,2020,2,Xiaomi,646253,0.26
andhra-pradesh,2020,2,Samsung,496898,0.2
andhra-pradesh,2020,2,Vivo,363160,0.145
andhra-pradesh,2020,2,Oppo,290541,0.115
andhra-pradesh,2020,2,Realme,257258,0.095
andhra-pradesh,2020,2,OnePlus,115245,0.045
andhra-pradesh,2020,2,Apple,90037,0.035
andhra-pradesh,2020,2,Motorola,53881,0.02
andhra-pradesh,2020,2,Others,219161,0.085
andhra-pradesh,2020,3,Xiaomi,624079,0.26
andhra-pradesh,2020,3,Samsung,511838,0.2
andhra-pradesh,2020,3,Vivo,356819,0.145
andhra-pradesh,2020,3,Oppo,293758,0.115
andhra-pradesh,2020,3,Realme,238033,0.095
andhra-pradesh,2020,3,OnePlus,115171,0.045
andhra-pradesh,2020,3,Apple,86045,0.035
andhra-pradesh,2020,3,Motorola,47826,0.02
andhra-pradesh,2020,3,Others,208736,0.085
andhra-pradesh,2020,4,Xiaomi,812257,0.26
andhra-pradesh,2020,4,Samsung,645771,0.2
andhra-pradesh,2020,4,Vivo,483966,0.145
andhra-pradesh,2020,4,Oppo,367191,0.115
andhra-pradesh,2020,4,Realme,318856,0.095
andhra-pradesh,2020,4,OnePlus,142650,0.045
andhra-pradesh,2020,4,Apple,117783,0.035
andhra-pradesh,2020,4,Motorola,61320,0.02
andhra-pradesh,2020,4,Others,270114,0.085
andhra-pradesh,2021,1,Xiaomi,679935,0.26
andhra-pradesh,2021,1,Samsung,537852,0.2
andhra-pradesh,2021,1,Vivo,385845,0.145
andhra-pradesh,2021,1,Oppo,312754,0.115
andhra-pradesh,2021,1,Realme,253131,0.095
andhra-pradesh,2021,1,OnePlus,111417,0.045
andhra-pradesh,2021,1,Apple,88932,0.035
andhra-pradesh,2021,1,Motorola,51572,0.02
andhra-pradesh,2021,1,Others,211609,0.085
andhra-pradesh,2021,2,Xiaomi,602143,0.26
andhra-pradesh,2021,2,Samsung,447497,0.2
andhra-pradesh,2021,2,Vivo,328435,0.145
andhra-pradesh,2021,2,Oppo,269712,0.115
andhra-pradesh,2021,2,Realme,220691,0.095
andhra-pradesh,2021,2,OnePlus,110723,0.045
andhra-pradesh,2021,2,Apple,80333,0.035
andhra-pradesh,2021,2,Motorola,48515,0.02
andhra-pradesh,2021,2,Others,201329,0.085
andhra-pradesh,2021,3,Xiaomi,773986,0.26
andhra-pradesh,2021,3,Samsung,618134,0.2
andhra-pradesh,2021,3,Vivo,457265,0.145
andhra-pradesh,2021,3,Oppo,373521,0.115
andhra-pradesh,2021,3,Realme,288668,0.095
andhra-pradesh,2021,3,OnePlus,144230,0.045
andhra-pradesh,2021,3,Apple,109280,0.035
andhra-pradesh,2021,3,Motorola,65321,0.02
andhra-pradesh,2021,3,Others,260603,0.085
andhra-pradesh,2021,4,Xiaomi,838805,0.26
andhra-pradesh,2021,4,Samsung,669504,0.2
andhra-pradesh,2021,4,Vivo,481294,0.145
andhra-pradesh,2021,4,Oppo,359560,0.115
andhra-pradesh,2021,4,Realme,319362,0.095
andhra-pradesh,2021,4,OnePlus,140612,0.045
andhra-pradesh,2021,4,Apple,112022,0.035
andhra-pradesh,2021,4,Motorola,61310,0.02
andhra-pradesh,2021,4,Others,265466,0.085
andhra-pradesh,2022,1,Xiaomi,742451,0.26
andhra-pradesh,2022,1,Samsung,558517,0.2
andhra-pradesh,2022,1,Vivo,375324,0.145
andhra-pradesh,2022,1,Oppo,308352,0.115
andhra-pradesh,2022,1,Realme,264926,0.095
andhra-pradesh,2022,1,OnePlus,125412,0.045
andhra-pradesh,2022,1,Apple,90856,0.035
andhra-pradesh,2022,1,Motorola,53170,0.02
andhra-pradesh,2022,1,Others,227089,0.085
andhra-pradesh,2022,2,Xiaomi,842955,0.26
andhra-pradesh,2022,2,Samsung,683996,0.2
andhra-pradesh,2022,2,Vivo,501186,0.145
andhra-pradesh,2022,2,Oppo,389619,0.115
andhra-pradesh,2022,2,Realme,312689,0.095
andhra-pradesh,2022,2,OnePlus,155095,0.045
andhra-pradesh,2022,2,Apple,123375,0.035
andhra-pradesh,2022,2,Motorola,65629,0.02
andhra-pradesh,2022,2,Others,276442,0.085
andhra-pradesh,2022,3,Xiaomi,872034,0.26
andhra-pradesh,2022,3,Samsung,637559,0.2
andhra-pradesh,2022,3,Vivo,473790,0.145
andhra-pradesh,2022,3,Oppo,359332,0.115
andhra-pradesh,2022,3,Realme,300650,0.095
andhra-pradesh,2022,3,OnePlus,151447,0.045
andhra-pradesh,2022,3,Apple,109563,0.035
andhra-pradesh,2022,3,Motorola,67288,0.02
andhra-pradesh,2022,3,Others,265673,0.085
andhra-pradesh,2022,4,Xiaomi,1002194,0.26
andhra-pradesh,2022,4,Samsung,742195,0.2
andhra-pradesh,2022,4,Vivo,552963,0.145
andhra-pradesh,2022,4,Oppo,446649,0.115
andhra-pradesh,2022,4,Realme,373947,0.095
andhra-pradesh,2022,4,OnePlus,174673,0.045
andhra-pradesh,2022,4,Apple,135503,0.035
andhra-pradesh,2022,4,Motorola,75033,0.02
andhra-pradesh,2022,4,Others,319810,0.085
andhra-pradesh,2023,1,Xiaomi,777025,0.26
andhra-pradesh,2023,1,Samsung,633053,0.2
andhra-pradesh,2023,1,Vivo,443811,0.145
andhra-pradesh,2023,1,Oppo,361799,0.115
andhra-pradesh,2023,1,Realme,288243,0.095
andhra-pradesh,2023,1,OnePlus,140683,0.045
andhra-pradesh,2023,1,Apple,105270,0.035
andhra-pradesh,2023,1,Motorola,59648,0.02
andhra-pradesh,2023,1,Others,258022,0.085
andhra-pradesh,2023,2,Xiaomi,976000,0.26
andhra-pradesh,2023,2,Samsung,734665,0.2
andhra-pradesh,2023,2,Vivo,529479,0.145
andhra-pradesh,2023,2,Oppo,391406,0.115
andhra-pradesh,2023,2,Realme,335660,0.095
andhra-pradesh,2023,2,OnePlus,159955,0.045
andhra-pradesh,2023,2,Apple,122773,0.035
andhra-pradesh,2023,2,Motorola,68687,0.02
andhra-pradesh,2023,2,Others,306685,0.085
andhra-pradesh,2023,3,Xiaomi,931247,0.26
andhra-pradesh,2023,3,Samsung,716636,0.2
andhra-pradesh,2023,3,Vivo,528179,0.145
andhra-pradesh,2023,3,Oppo,421122,0.115
andhra-pradesh,2023,3,Realme,336144,0.095
andhra-pradesh,2023,3,OnePlus,161279,0.045
andhra-pradesh,2023,3,Apple,119113,0.035
andhra-pradesh,2023,3,Motorola,68548,0.02
andhra-pradesh,2023,3,Others,301787,0.085
andhra-pradesh,2023,4,Xiaomi,1179599,0.26
andhra-pradesh,2023,4,Samsung,928075,0.2
andhra-pradesh,2023,4,Vivo,652951,0.145
andhra-pradesh,2023,4,Oppo,537617,0.115
andhra-pradesh,2023,4,Realme,465956,0.095
andhra-pradesh,2023,4,OnePlus,202706,0.045
andhra-pradesh,2023,4,Apple,160024,0.035
andhra-pradesh,2023,4,Motorola,97649,0.02
andhra-pradesh,2023,4,Others,382154,0.085
arunachal-pradesh,2018,1,Xiaomi,11245,0.26
arunachal-pradesh,2018,1,Samsung,8665,0.2
arunachal-pradesh,2018,1,Vivo,6332,0.145
arunachal-pradesh,2018,1,Oppo,4889,0.115
arunachal-pradesh,2018,1,Realme,4119,0.095
arunachal-pradesh,2018,1,OnePlus,1881,0.045
arunachal-pradesh,2018,1,Apple,1493,0.035
arunachal-pradesh,2018,1,Motorola,898,0.02
arunachal-pradesh,2018,1,Others,3712,0.085
arunachal-pradesh,2018,2,Xiaomi,14389,0.26
arunachal-pradesh,2018,2,Samsung,10765,0.2
arunachal-pradesh,2018,2,Vivo,7551,0.145
arunachal-pradesh,2018,2,Oppo,6119,0.115
arunachal-pradesh,2018,2,Realme,4988,0.095
arunachal-pradesh,2018,2,OnePlus,2570,0.045
arunachal-pradesh,2018,2,Apple,1864,0.035
arunachal-pradesh,2018,2,Motorola,1120,0.02
arunachal-pradesh,2018,2,Others,4529,0.085
arunachal-pradesh,2018,3,Xiaomi,15571,0.26
arunachal-pradesh,2018,3,Samsung,10968,0.2
arunachal-pradesh,2018,3,Vivo,8224,0.145
arunachal-pradesh,2018,3,Oppo,6781,0.115
arunachal-pradesh,2018,3,Realme,5253,0.095
arunachal-pradesh,2018,3,OnePlus,2603,0.045
arunachal-pradesh,2018,3,Apple,2058,0.035
arunachal-pradesh,2018,3,Motorola,1120,0.02
arunachal-pradesh,2018,3,Others,4854,0.085
arunachal-pradesh,2018,4,Xiaomi,18743,0.26
arunachal-pradesh,2018,4,Samsung,14699,0.2
arunachal-pradesh,2018,4,Vivo,10570,0.145
arunachal-pradesh,2018,4,Oppo,8767,0.115
arunachal-pradesh,2018,4,Realme,7056,0.095
arunachal-pradesh,2018,4,OnePlus,3378,0.045
arunachal-pradesh,2018,4,Apple,2475,0.035
arunachal-pradesh,2018,4,Motorola,1542,0.02
arunachal-pradesh,2018,4,Others,6439,0.085
arunachal-pradesh,2019,1,Xiaomi,15510,0.26
arunachal-pradesh,2019,1,Samsung,11544,0.2
arunachal-pradesh,2019,1,Vivo,8214,0.145
arunachal-pradesh,2019,1,Oppo,6383,0.115
arunachal-pradesh,2019,1,Realme,5422,0.095
arunachal-pradesh,2019,1,OnePlus,2590,0.045
arunachal-pradesh,2019,1,Apple,1965,0.035
arunachal-pradesh,2019,1,Motorola,1115,0.02
arunachal-pradesh,2019,1,Others,5023,0.085
arunachal-pradesh,2019,2,Xiaomi,16057,0.26
arunachal-pradesh,2019,2,Samsung,12530,0.2
arunachal-pradesh,2019,2,Vivo,9100,0.145
arunachal-pradesh,2019,2,Oppo,6974,0.115
arunachal-pradesh,2019,2,Realme,5693,0.095
arunachal-pradesh,2019,2,OnePlus,2961,0.045
arunachal-pradesh,2019,2,Apple,2129,0.035
arunachal-pradesh,2019,2,Motorola,1248,0.02
arunachal-pradesh,2019,2,Others,5574,0.085
arunachal-pradesh,2019,3,Xiaomi,18647,0.26
arunachal-pradesh,2019,3,Samsung,14398,0.2
arunachal-pradesh,2019,3,Vivo,10530,0.145
arunachal-pradesh,2019,3,Oppo,7816,0.115
arunachal-pradesh,2019,3,Realme,6855,0.095
arunachal-pradesh,2019,3,OnePlus,3098,0.045
arunachal-pradesh,2019,3,Apple,2531,0.035
arunachal-pradesh,2019,3,Motorola,1404,0.02
arunachal-pradesh,2019,3,Others,5822,0.085
